Date,Open,High,Low,Close,Adj Close,Volume
2015-02-01,73.080002,74.000000,63.169998,69.400002,69.400002,28811300
2015-03-01,69.389999,85.627998,68.349998,79.699997,79.699997,41217900
2015-04-01,78.529999,79.300003,65.442001,65.910004,65.910004,31926000
2015-05-01,66.800003,86.750000,66.019997,82.150002,82.150002,41420200
2015-06-01,82.500000,88.349998,77.599998,80.269997,80.269997,97100500
2015-07-01,81.250000,82.250000,57.099998,57.950001,57.950001,53436200
2015-08-01,57.520000,59.680000,45.000000,55.509998,55.509998,58701800
2015-09-01,53.889999,59.450001,42.730000,45.049999,45.049999,40584600
2015-10-01,44.459999,51.625000,42.240002,43.930000,43.930000,33472700
2015-11-01,44.130001,58.430000,43.959999,58.070000,58.070000,43237900
2015-12-01,58.310001,60.000000,49.480000,50.900002,50.900002,29597700
2016-01-01,49.680000,50.970001,35.160000,39.599998,39.599998,49759400
2016-02-01,39.450001,46.639999,33.299999,45.080002,45.080002,42181700
2016-03-01,45.520000,51.950001,45.500000,50.410000,50.410000,33886600
2016-04-01,50.150002,51.270000,43.970001,45.029999,45.029999,26930700
2016-05-01,45.070000,51.560001,43.790001,50.970001,50.970001,32194600
2016-06-01,50.650002,58.299999,50.250000,55.259998,55.259998,36863300
2016-07-01,54.400002,64.800003,50.450001,63.230000,63.230000,29942800
2016-08-01,63.500000,64.480003,52.459999,57.430000,57.430000,46858600
2016-09-01,57.459999,58.330002,51.189999,55.740002,55.740002,38176400
2016-10-01,55.400002,57.490002,52.599998,55.650002,55.650002,23742900
2016-11-01,55.660000,57.680000,48.279999,53.410000,53.410000,41940500
2016-12-01,53.410000,59.119999,49.529999,52.730000,52.730000,27721100
2017-01-01,53.180000,64.510002,52.119999,64.209999,64.209999,37281400
2017-02-01,65.150002,68.660004,61.119999,66.099998,66.099998,33313400
2017-03-01,66.500000,69.709999,64.790001,68.559998,68.559998,30000900
2017-04-01,68.559998,72.419998,67.059998,68.029999,68.029999,28577500
2017-05-01,68.260002,79.338997,65.389999,77.949997,77.949997,47631100
2017-06-01,78.070000,79.110001,63.029999,63.320000,63.320000,39529200
2017-07-01,63.490002,70.269997,62.680000,68.559998,68.559998,28836700
2017-08-01,68.669998,73.660004,64.699997,73.220001,73.220001,27040100
2017-09-01,73.389999,76.470001,67.697998,70.680000,70.680000,21865500
2017-10-01,70.839996,77.055000,69.120003,75.809998,75.809998,21010100
2017-11-01,76.160004,81.199997,71.190002,76.580002,76.580002,28707800
2017-12-01,76.089996,76.300003,64.529999,66.599998,66.599998,34280300
2018-01-01,67.059998,75.080002,65.559998,71.769997,71.769997,43580000
2018-02-01,79.320000,85.239998,74.110001,80.709999,80.709999,50300200
