Date,Open,High,Low,Close,Adj Close,Volume
1993-05-01,9.125000,9.187500,7.812500,8.687500,5.583975,8528400
1993-06-01,8.750000,9.750000,8.437500,9.500000,6.106219,3774000
1993-07-01,9.500000,11.687500,9.187500,11.687500,7.512255,4145200
1993-08-01,11.687500,12.312500,11.125000,11.875000,7.632771,3643400
1993-09-01,11.875000,12.500000,11.250000,12.250000,7.931786,2605600
1993-10-01,12.250000,13.750000,11.562500,13.250000,8.579277,3140000
1993-11-01,13.187500,13.625000,11.750000,12.875000,8.336466,1230800
1993-12-01,12.875000,13.500000,11.750000,13.375000,8.691824,927400
1994-01-01,13.437500,14.187500,13.125000,13.562500,8.813670,945400
1994-02-01,13.562500,14.500000,13.062500,13.687500,8.894899,1426600
1994-03-01,13.687500,13.750000,12.375000,12.437500,8.110127,1254800
1994-04-01,12.187500,13.875000,11.812500,13.875000,9.047474,1556800
1994-05-01,13.875000,14.562500,13.187500,14.562500,9.495777,862800
1994-06-01,14.562500,14.687500,13.375000,13.875000,9.076650,944200
1994-07-01,13.875000,15.000000,13.687500,14.437500,9.444625,774000
1994-08-01,14.437500,15.000000,14.312500,14.687500,9.608162,593200
1994-09-01,14.687500,14.687500,12.875000,13.000000,8.536215,1460600
1994-10-01,13.000000,15.250000,12.937500,14.875000,9.767397,2146000
1994-11-01,14.812500,14.812500,13.312500,13.750000,9.028689,1199600
1994-12-01,13.625000,14.250000,12.687500,14.250000,9.395287,991400
1995-01-01,14.250000,14.250000,13.000000,13.750000,9.065623,1087800
1995-02-01,13.750000,13.875000,12.000000,12.750000,8.406303,2454400
1995-03-01,12.750000,13.062500,12.000000,13.062500,8.649113,1466600
1995-04-01,13.000000,13.375000,11.687500,11.937500,7.904214,3005400
1995-05-01,11.875000,13.187500,11.687500,12.500000,8.276658,3490400
1995-06-01,12.500000,12.687500,10.687500,11.000000,7.314861,2793600
1995-07-01,10.937500,11.937500,10.750000,10.875000,7.231739,1911800
1995-08-01,10.875000,11.437500,10.625000,10.875000,7.231739,2026600
1995-09-01,10.750000,12.187500,10.750000,12.125000,8.104628,1659000
1995-10-01,12.062500,12.062500,11.250000,11.500000,7.686861,991600
1995-11-01,11.625000,12.625000,11.500000,12.125000,8.104628,1036400
1995-12-01,12.125000,12.250000,10.437500,11.000000,7.391475,1657400
1996-01-01,10.937500,11.437500,10.750000,11.187500,7.517468,1036600
1996-02-01,11.062500,12.500000,11.062500,11.687500,7.853440,1680800
1996-03-01,11.812500,12.500000,11.562500,12.187500,8.234488,1335200
1996-04-01,12.250000,14.187500,12.000000,14.062500,9.501341,2003800
1996-05-01,14.062500,14.500000,13.687500,14.375000,9.712476,940800
1996-06-01,14.312500,14.562500,13.500000,14.250000,9.672533,1107000
1996-07-01,14.125000,14.250000,11.437500,12.250000,8.314984,1551600
1996-08-01,12.250000,13.250000,12.250000,13.187500,8.951336,516600
1996-09-01,13.125000,13.500000,13.062500,13.312500,9.036180,545400
1996-10-01,13.437500,13.625000,13.125000,13.437500,9.169016,1169400
1996-11-01,13.437500,13.625000,12.625000,12.937500,8.827844,2275400
1996-12-01,12.875000,13.000000,11.500000,11.687500,8.018082,1912600
1997-01-01,11.750000,13.250000,11.625000,13.187500,9.047144,3097000
1997-02-01,13.125000,14.875000,13.062500,14.625000,10.033325,5113000
1997-03-01,14.625000,16.437500,14.437500,15.250000,10.462104,4132200
1997-04-01,15.250000,16.062500,14.937500,15.937500,10.984384,2475800
1997-05-01,15.875000,17.625000,15.562500,17.437500,12.018208,2651400
1997-06-01,17.437500,19.687500,16.812500,17.468750,12.088101,8103200
1997-07-01,17.375000,20.375000,17.218750,19.843750,13.731557,6077800
1997-08-01,19.843750,21.062500,18.750000,20.437500,14.142418,5365800
1997-09-01,20.406250,22.937500,19.937500,21.875000,15.191734,10241000
1997-10-01,21.812500,24.250000,20.812500,23.218750,16.124935,5141000
1997-11-01,23.250000,24.031250,22.375000,24.000000,16.667496,3672400
1997-12-01,24.000000,26.812500,23.625000,26.656250,18.512209,7552000
1998-01-01,26.625000,26.781250,24.812500,26.187500,18.242161,7014000
1998-02-01,26.312500,27.625000,24.750000,27.375000,19.069368,9142600
1998-03-01,27.500000,35.437500,27.437500,35.187500,24.579512,22678200
1998-04-01,36.250000,36.468750,32.625000,34.187500,23.880980,11168600
1998-05-01,34.218750,36.187500,32.875000,34.843750,24.339386,6572000
1998-06-01,34.875000,40.375000,34.468750,39.750000,27.826063,6478400
1998-07-01,39.875000,43.906250,36.875000,37.375000,26.163506,9982000
1998-08-01,38.000000,38.000000,23.125000,24.500000,17.150656,11586700
1998-09-01,24.250000,31.187500,23.562500,26.562500,18.649723,10390200
1998-10-01,26.500000,28.000000,17.000000,27.875000,19.571239,18906700
1998-11-01,28.625000,31.375000,25.500000,30.375000,21.326506,11544800
1998-12-01,30.000000,37.125000,29.750000,37.000000,25.977961,11722700
1999-01-01,36.500000,40.000000,34.125000,39.750000,27.990351,7356400
1999-02-01,39.687500,40.250000,31.375000,33.187500,23.369305,8070200
1999-03-01,33.125000,39.125000,31.750000,39.000000,27.535397,8537500
1999-04-01,39.000000,40.000000,31.875000,36.937500,26.079191,10525500
1999-05-01,37.000000,44.500000,36.312500,39.125000,27.694630,6911100
1999-06-01,39.000000,44.500000,38.062500,43.750000,31.042459,8408700
1999-07-01,43.500000,49.000000,41.062500,47.000000,33.348454,9639300
1999-08-01,46.750000,51.625000,44.375000,46.812500,33.215416,4652900
1999-09-01,46.937500,48.375000,42.125000,45.000000,31.929365,14856400
1999-10-01,44.625000,53.187500,42.625000,53.062500,37.739334,11969100
1999-11-01,52.875000,58.875000,48.250000,49.375000,35.116692,8673500
1999-12-01,49.250000,54.000000,45.312500,49.312500,35.072227,12978800
2000-01-01,49.062500,56.375000,44.500000,49.437500,35.239639,13743700
2000-02-01,49.500000,49.500000,33.125000,35.375000,25.215733,18871100
2000-03-01,34.750000,34.750000,25.312500,28.000000,20.023642,27537200
2000-04-01,28.187500,28.312500,19.812500,20.812500,14.883644,15520200
2000-05-01,21.500000,25.187500,20.500000,24.625000,17.610077,12719400
2000-06-01,24.875000,24.875000,16.125000,18.500000,13.229902,19725100
2000-07-01,18.625000,20.750000,18.562500,19.875000,14.278146,7764500
2000-08-01,19.812500,25.937500,19.187500,22.875000,16.433331,11492800
2000-09-01,22.812500,25.750000,22.125000,25.740000,18.491539,8687300
2000-10-01,25.730000,26.889999,19.820000,22.500000,16.257868,14451000
2000-11-01,22.200001,22.500000,18.150000,19.820000,14.321381,10036400
2000-12-01,19.820000,27.799999,19.600000,26.450001,19.112028,10630600
2001-01-01,26.129999,29.219999,23.139999,26.180000,19.025171,30107000
2001-02-01,26.430000,30.250000,25.299999,28.250000,20.529457,28844800
2001-03-01,28.090000,28.090000,19.870001,23.049999,16.829853,21731800
2001-04-01,22.900000,23.090000,19.350000,20.379999,14.880366,19364000
2001-05-01,20.129999,22.450001,19.299999,21.480000,15.683526,24577600
2001-06-01,21.400000,22.190001,18.650000,22.110001,16.143518,18369800
2001-07-01,22.030001,24.290001,19.280001,23.629999,17.359486,26523300
2001-08-01,23.639999,24.879999,22.730000,23.340000,17.146446,15693700
2001-09-01,23.330000,24.040001,7.750000,10.730000,7.882664,55504800
2001-10-01,10.930000,11.250000,8.320000,11.000000,8.130612,52031800
2001-11-01,11.030000,17.600000,10.660000,15.510000,11.464168,47314900
2001-12-01,15.500000,16.799999,13.460000,16.200001,11.974179,17055600
2002-01-01,16.400000,19.510000,16.030001,18.059999,13.455654,32500300
2002-02-01,18.150000,18.629999,16.260000,18.480000,13.768576,14515800
2002-03-01,18.320000,23.950001,18.250000,22.549999,16.800936,25691000
2002-04-01,22.549999,23.700001,20.600000,23.590000,17.683981,14414100
2002-05-01,23.680000,24.379999,22.020000,22.510000,16.874367,14428800
2002-06-01,22.520000,22.980000,19.350000,19.500000,14.617958,12872900
2002-07-01,19.980000,20.590000,16.670000,19.820000,14.944139,14846600
2002-08-01,19.900000,19.900000,16.750000,17.700001,13.345678,15370100
2002-09-01,17.389999,17.750000,14.000000,15.920000,12.003575,24126300
2002-10-01,15.950000,20.200001,15.000000,18.360001,13.959723,26708200
2002-11-01,18.330000,22.440001,18.030001,21.680000,16.484035,18769600
2002-12-01,22.049999,22.299999,16.510000,16.700001,12.697568,22671100
2003-01-01,17.020000,18.209999,14.980000,15.970000,12.226353,24870600
2003-02-01,15.930000,15.930000,12.720000,13.550000,10.373644,20725100
2003-03-01,13.650000,17.000000,12.420000,15.030000,11.621158,25002300
2003-04-01,14.830000,18.750000,14.600000,18.570000,14.358276,24892000
2003-05-01,18.580000,21.150000,18.000000,20.760000,16.051580,19313900
2003-06-01,20.750000,23.420000,20.650000,23.160000,17.907251,21570100
2003-07-01,22.910000,29.730000,22.270000,29.250000,22.758541,27924600
2003-08-01,29.049999,31.299999,27.809999,31.150000,24.236877,20179400
2003-09-01,31.000000,32.680000,28.040001,28.110001,21.871542,29219300
2003-10-01,28.299999,31.780001,28.280001,29.709999,23.211308,33661400
2003-11-01,29.920000,30.420000,27.080000,30.270000,23.648825,20510900
2003-12-01,30.299999,35.000000,29.500000,34.790001,27.180136,27933300
2004-01-01,34.980000,42.990002,34.820000,42.369999,33.231049,35448500
2004-02-01,42.150002,45.000000,40.340000,44.250000,34.705551,25899300
2004-03-01,44.500000,46.919998,38.299999,44.099998,34.692112,35491400
2004-04-01,44.250000,45.990002,40.160000,40.529999,31.883698,32006900
2004-05-01,40.299999,43.130001,37.799999,39.119999,30.774506,27930900
2004-06-01,39.150002,45.490002,37.919998,43.410000,34.262470,27497100
2004-07-01,43.349998,44.500000,39.599998,42.750000,33.741550,24168700
2004-08-01,42.700001,42.980000,39.099998,41.299999,32.597095,22640800
2004-09-01,41.150002,44.950001,40.669998,43.599998,34.412418,21381800
2004-10-01,43.959999,48.700001,43.599998,46.599998,36.893837,29603400
2004-11-01,46.480000,49.799999,46.470001,49.700001,39.348148,18581400
2004-12-01,49.810001,55.470001,49.810001,54.439999,43.100880,18983100
2005-01-01,54.650002,55.230000,52.000000,53.000000,42.064316,21360300
2005-02-01,50.750000,51.200001,45.709999,47.250000,37.500729,37265700
2005-03-01,47.299999,48.650002,43.049999,44.689999,35.567802,48042800
2005-04-01,44.900002,45.180000,40.720001,42.020000,33.442822,37544500
2005-05-01,42.369999,46.150002,41.700001,46.110001,36.697945,27811800
2005-06-01,45.950001,49.000000,45.139999,48.360001,38.488670,33524400
2005-07-01,48.080002,49.470001,45.119999,45.450001,36.274303,24039900
2005-08-01,45.660000,46.480000,42.480000,42.720001,34.095455,31645100
2005-09-01,42.900002,44.689999,41.560001,43.200001,34.478546,45527700
2005-10-01,43.000000,44.020000,38.590000,41.439999,33.191990,39985200
2005-11-01,41.279999,46.330002,40.980000,45.860001,36.732258,24257500
2005-12-01,46.090000,47.349998,44.000000,45.060001,36.091473,21475300
2006-01-01,45.480000,45.939999,40.900002,40.900002,32.864037,27216900
2006-02-01,40.880001,46.770000,40.590000,44.060001,35.403164,35972100
2006-03-01,44.099998,44.900002,40.799999,42.020000,33.878178,37816000
2006-04-01,42.150002,43.860001,40.400002,41.790001,33.692734,26662000
2006-05-01,41.830002,43.290001,35.290001,38.080002,30.701590,37908700
2006-06-01,37.869999,39.549999,35.000000,38.250000,30.838646,40088500
2006-07-01,38.360001,38.799999,33.880001,33.900002,27.441816,31225600
2006-08-01,33.900002,36.490002,32.470001,36.480000,29.530304,38527600
2006-09-01,36.480000,39.279999,35.779999,38.810001,31.416412,33915800
2006-10-01,39.000000,41.669998,38.060001,40.500000,32.911377,28536600
2006-11-01,40.950001,43.970001,40.500000,42.450001,34.496006,25560100
2006-12-01,42.580002,42.599998,39.389999,41.380001,33.626484,20623900
2007-01-01,41.900002,45.560001,41.799999,44.930000,36.648907,27055800
2007-02-01,45.430000,46.360001,39.849998,40.529999,33.059872,29755800
2007-03-01,40.000000,43.860001,38.970001,42.160000,34.514057,33026400
2007-04-01,42.380001,43.070000,40.570000,41.570000,34.031055,26255300
2007-05-01,41.770000,43.540001,40.619999,43.480000,35.594654,33479700
2007-06-01,43.459999,45.169998,41.040001,42.980000,35.185337,41739300
2007-07-01,42.950001,42.950001,37.759998,38.529999,31.654268,33157700
2007-08-01,38.240002,42.360001,33.880001,38.029999,31.243479,40109400
2007-09-01,38.189999,40.650002,35.900002,39.029999,32.065025,35700500
2007-10-01,38.700001,43.500000,38.570000,42.880001,35.364639,47116500
2007-11-01,41.860001,42.400002,37.369999,40.560001,33.451267,31746200
2007-12-01,40.000000,43.959999,39.590000,42.439999,35.001743,27658900
2008-01-01,42.590000,42.590000,32.009998,40.220001,33.285355,72232400
2008-02-01,40.139999,41.990002,34.820000,35.009998,28.973656,44355700
2008-03-01,35.220001,36.470001,30.219999,32.900002,27.227457,58240200
2008-04-01,33.150002,35.980000,30.110001,31.900000,26.519619,45023100
2008-05-01,31.700001,33.779999,26.879999,29.719999,24.707306,58772700
2008-06-01,29.750000,30.740000,22.150000,22.469999,18.680117,64825400
2008-07-01,21.770000,28.750000,19.160000,25.480000,21.292612,79670000
2008-08-01,26.120001,30.350000,25.000000,27.180000,22.713230,57713100
2008-09-01,28.120001,29.900000,19.040001,20.750000,17.339943,75276100
2008-10-01,20.559999,21.340000,11.750000,13.560000,11.394571,120883600
2008-11-01,14.020000,15.500000,5.970000,9.420000,7.915697,85165000
2008-12-01,9.000000,14.000000,8.300000,13.750000,11.554229,79261700
2009-01-01,13.930000,15.500000,6.350000,6.490000,5.453595,106449000
2009-02-01,6.450000,7.890000,5.500000,6.000000,5.041846,110690100
2009-03-01,5.800000,9.490000,5.400000,8.010000,6.730864,88752200
2009-04-01,7.810000,14.950000,7.750000,14.730000,12.377731,157718700
2009-05-01,14.790000,17.879999,13.250000,15.060000,12.655031,109345200
2009-06-01,15.740000,16.250000,11.900000,13.540000,11.377763,105817700
2009-07-01,13.480000,17.049999,11.800000,14.520000,12.201264,108448100
2009-08-01,15.270000,20.360001,15.160000,19.080000,16.033062,88167300
2009-09-01,18.840000,25.020000,17.820000,24.080000,20.234608,85781200
2009-10-01,24.139999,24.709999,19.680000,20.230000,16.999420,71553300
2009-11-01,20.660000,25.000000,18.950001,24.570000,20.646351,83761100
2009-12-01,24.889999,27.389999,24.049999,25.280001,21.242977,62483200
2010-01-01,26.139999,27.620001,24.730000,26.090000,21.923624,78535800
2010-02-01,26.670000,28.469999,24.139999,28.270000,23.755495,67612900
2010-03-01,28.299999,33.930000,27.910000,32.990002,27.721754,64012000
2010-04-01,33.380001,38.119999,32.570000,35.840000,30.116621,87562500
2010-05-01,36.290001,37.020000,26.110001,29.000000,24.368919,88866200
2010-06-01,28.740000,30.889999,22.549999,22.770000,19.133801,94849400
2010-07-01,22.900000,29.570000,21.969999,28.860001,24.251276,81228400
2010-08-01,29.559999,30.110001,23.500000,24.559999,20.637953,51298700
2010-09-01,25.280001,32.730000,25.280001,31.530001,26.494900,51091900
2010-10-01,32.049999,40.930000,30.870001,39.540001,33.225769,67845200
2010-11-01,39.279999,43.310001,38.619999,40.250000,33.822372,52541300
2010-12-01,41.340000,47.830002,40.549999,47.000000,39.494438,43706200
2011-01-01,47.490002,49.990002,44.619999,44.900002,37.729805,64574800
2011-02-01,45.230000,48.270000,41.639999,43.790001,36.797070,55178600
2011-03-01,43.849998,44.639999,40.259998,41.259998,34.671082,83245900
2011-04-01,41.889999,42.299999,36.680000,39.820000,33.461040,72747600
2011-05-01,40.439999,42.110001,37.189999,39.000000,32.771999,52556400
2011-06-01,38.650002,38.650002,32.680000,37.639999,31.629168,70244600
2011-07-01,37.869999,39.430000,30.540001,30.620001,25.730219,54384000
2011-08-01,31.430000,31.600000,22.270000,25.959999,21.814381,101972300
2011-09-01,25.850000,26.480000,21.500000,21.639999,18.255232,66720900
2011-10-01,21.290001,30.990000,18.700001,29.719999,25.071417,75261900
2011-11-01,27.850000,29.400000,22.950001,27.709999,23.375805,59466800
2011-12-01,27.490000,28.830000,23.629999,24.770000,20.895662,48250700
2012-01-01,25.950001,29.660000,25.400000,27.180000,23.022179,77609200
2012-02-01,27.660000,31.959999,26.540001,28.490000,24.131783,78832400
2012-03-01,28.830000,30.940001,26.480000,29.430000,25.015793,66560800
2012-04-01,29.340000,29.450001,25.760000,27.370001,23.264774,59662200
2012-05-01,27.360001,28.309999,23.100000,23.549999,20.017729,45005400
2012-06-01,22.889999,27.000000,22.120001,26.030001,22.217800,51938800
2012-07-01,26.430000,26.590000,22.450001,24.980000,21.321575,45656500
2012-08-01,24.940001,27.490000,24.160000,27.020000,23.062807,40732700
2012-09-01,27.190001,31.969999,26.580000,30.209999,25.785616,49701800
2012-10-01,30.290001,34.750000,30.260000,33.669998,28.850756,44560900
2012-11-01,34.000000,35.500000,32.830002,35.250000,30.204601,36963900
2012-12-01,35.580002,36.180000,32.919998,34.000000,29.133516,38633500
2013-01-01,34.770000,38.560001,34.750000,36.200001,31.125835,40930500
2013-02-01,36.709999,37.430000,33.470001,34.869999,29.982260,46132700
2013-03-01,34.500000,35.360001,31.719999,33.220001,28.659954,60106200
2013-04-01,33.250000,37.360001,31.350000,36.529999,31.515600,51342200
2013-05-01,36.369999,38.619999,34.950001,35.009998,30.204241,36092800
2013-06-01,35.090000,35.099998,31.370001,33.340000,28.854893,39270600
2013-07-01,33.590000,38.240002,33.310001,38.090000,32.965897,32623800
2013-08-01,38.520000,39.900002,35.669998,36.689999,31.754238,33659500
2013-09-01,36.990002,40.709999,36.389999,38.279999,33.130325,38663100
2013-10-01,38.430000,43.529999,35.970001,42.040001,36.610844,50426500
2013-11-01,42.099998,44.689999,42.000000,44.049999,38.361275,26374500
2013-12-01,43.959999,47.660000,42.599998,47.419998,41.296051,24304500
2014-01-01,47.169998,51.000000,45.950001,49.599998,43.444439,47661100
2014-02-01,49.700001,53.419998,47.660000,52.930000,46.361164,32854400
2014-03-01,51.200001,54.930000,49.980000,54.560001,48.020996,38960700
2014-04-01,54.970001,56.660000,49.650002,53.130001,46.762386,39568800
2014-05-01,53.099998,55.439999,50.650002,55.290001,48.663517,30015400
2014-06-01,55.119999,57.380001,53.130001,55.599998,49.172993,27879200
2014-07-01,55.590000,63.470001,53.660000,59.650002,52.754841,35192200
2014-08-01,59.419998,64.279999,58.889999,63.759998,56.389748,27660800
2014-09-01,63.860001,69.309998,63.599998,67.290001,59.511700,26448100
2014-10-01,67.059998,68.730003,52.320000,67.970001,60.379734,98240500
2014-11-01,68.400002,74.760002,66.080002,73.739998,65.505394,32043700
2014-12-01,73.779999,83.900002,71.610001,82.430000,73.224983,101615900
2015-01-01,82.930000,85.559998,74.720001,75.550003,67.360222,47396800
2015-02-01,74.900002,78.349998,72.790001,76.419998,68.135895,44591100
2015-03-01,76.419998,82.029999,73.239998,81.849998,73.263649,51592100
2015-04-01,81.800003,83.320000,67.580002,68.059998,60.920273,60899500
2015-05-01,68.239998,77.820000,65.910004,75.980003,68.009445,48026000
2015-06-01,75.500000,81.820000,75.410004,78.690002,70.720123,42204800
2015-07-01,79.959999,90.879997,77.739998,89.849998,80.749809,38000700
2015-08-01,90.349998,92.680000,79.730003,88.160004,79.230972,46667000
2015-09-01,86.040001,97.599998,85.110001,89.089996,80.066788,46799000
2015-10-01,89.230003,100.389999,87.080002,98.349998,88.736664,44532500
2015-11-01,98.610001,99.930000,91.379997,92.610001,83.557701,35159100
2015-12-01,93.239998,103.400002,90.529999,101.209999,91.317108,39140900
2016-01-01,99.599998,99.809998,75.559998,81.959999,74.235291,65476800
2016-02-01,81.610001,85.699997,64.209999,74.370003,67.360657,101314600
2016-03-01,75.050003,82.779999,69.000000,82.150002,74.790031,70463900
2016-04-01,81.750000,84.559998,73.379997,77.400002,70.465576,58576800
2016-05-01,78.129997,80.300003,72.470001,77.389999,70.456482,45345400
2016-06-01,77.120003,77.680000,64.949997,67.150002,61.431133,46748500
2016-07-01,67.470001,74.360001,65.709999,72.440002,66.270615,39445800
2016-08-01,72.330002,75.300003,66.849998,71.110001,65.053879,65655300
2016-09-01,71.760002,75.720001,65.099998,74.949997,68.566841,52137000
2016-10-01,74.489998,77.500000,67.529999,76.870003,70.798965,45844800
2016-11-01,77.110001,84.500000,74.620003,80.970001,74.575150,42109500
2016-12-01,80.559998,86.839996,78.769997,82.040001,75.560638,33847600
2017-01-01,82.720001,96.089996,82.720001,93.629997,86.730713,42859900
2017-02-01,93.940002,97.419998,93.610001,96.099998,89.018707,26933900
2017-03-01,96.870003,101.110001,93.400002,98.110001,90.880600,28441500
2017-04-01,98.320000,110.599998,93.860001,106.599998,99.235146,33028800
2017-05-01,106.800003,111.449997,103.519997,110.180000,102.567833,29513100
2017-06-01,110.610001,115.629997,106.660004,109.230003,102.127365,29162700
2017-07-01,109.709999,116.889999,107.790001,113.070000,105.717667,22212500
2017-08-01,117.980003,124.510002,114.660004,124.459999,116.367050,41453600
2017-09-01,124.910004,125.000000,113.199997,118.540001,110.832001,38678200
2017-10-01,118.379997,128.089996,117.550003,123.769997,116.325981,34644700
2017-11-01,124.250000,133.750000,120.070000,123.879997,116.429359,33257400
2017-12-01,123.849998,129.669998,119.209999,119.279999,112.106033,25040100
2018-01-01,120.169998,135.649994,119.580002,133.550003,126.115730,34036800
2018-02-01,133.350006,134.190002,119.760002,126.599998,119.552605,28584500
2018-03-01,126.339996,127.449997,115.940002,117.739998,111.185806,30331200
2018-04-01,118.000000,120.730003,107.959999,108.190002,102.675049,37510000
2018-05-01,108.360001,110.419998,103.760002,104.980003,99.628677,42855400
2018-06-01,104.919998,115.550003,101.199997,103.599998,98.319023,50713900
2018-07-01,103.050003,114.370003,102.639999,112.760002,107.627228,31817400
2018-08-01,113.089996,124.629997,104.239998,122.580002,117.000229,39116600
2018-09-01,122.239998,133.600006,119.970001,129.940002,124.025200,34711800
2018-10-01,130.330002,131.479996,97.480003,104.730003,100.498787,48069100
2018-11-01,105.010002,113.650002,103.690002,113.070000,108.501831,32989700
2018-12-01,114.239998,116.480003,89.480003,97.790001,93.839157,34866500
2019-01-01,96.400002,121.459999,91.879997,120.050003,115.969444,38475300
2019-02-01,120.540001,124.250000,112.809998,118.480003,114.452812,29092500
2019-03-01,119.970001,121.250000,110.629997,114.620003,110.724007,27521900
2019-04-01,115.790001,124.809998,115.010002,120.940002,117.518105,30043800
2019-05-01,127.260002,131.039993,119.769997,121.760002,118.314903,28555900
2019-06-01,121.199997,125.580002,114.389999,121.209999,117.780457,31448600
