Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.756293,3.815293,3.323631,3.736627,1.880052,83315721
1991-02-01,3.736627,4.002124,3.608795,3.913625,1.969108,159983063
1991-03-01,3.864459,4.051290,3.657961,3.815293,1.937799,77732607
1991-04-01,3.825126,3.933291,3.471130,3.618628,1.837913,150070246
1991-05-01,3.638295,3.687461,3.402297,3.687461,1.872873,109498624
1991-06-01,3.677627,3.726794,3.451463,3.500629,1.796405,94601431
1991-07-01,3.500629,3.844792,3.421963,3.667794,1.882189,99177753
1991-08-01,3.648128,3.864459,3.382631,3.766126,1.932649,82094096
1991-09-01,3.785793,3.805459,3.451463,3.539962,1.834586,63561273
1991-10-01,3.520296,3.864459,3.313798,3.825126,1.982373,107190125
1991-11-01,3.844792,3.972624,3.638295,3.746460,1.941602,74854611
1991-12-01,3.707127,4.287288,3.579295,4.267621,2.231987,72642726
1992-01-01,4.169289,4.483952,3.834959,3.992291,2.087986,131562842
1992-02-01,3.992291,4.198789,3.825126,3.962791,2.072559,80491113
1992-03-01,3.982458,4.257788,3.982458,4.090623,2.140491,69152009
1992-04-01,4.080790,4.444619,4.002124,4.247955,2.222817,86249648
1992-05-01,4.247955,4.336454,4.002124,4.129956,2.161072,53155227
1992-06-01,4.129956,4.218455,3.943125,4.110289,2.169287,91315382
1992-07-01,4.120123,4.513452,3.933291,4.483952,2.366496,128814512
1992-08-01,4.464286,4.552785,4.149622,4.326621,2.283462,66319777
1992-09-01,4.326621,4.434786,3.697294,3.854626,2.050617,136362896
1992-10-01,3.874292,3.913625,3.441630,3.598962,1.914606,120203403
1992-11-01,3.618628,3.638295,3.264632,3.530129,1.877988,82261893
1992-12-01,3.530129,3.854626,3.480963,3.785793,2.034573,75684705
1993-01-01,3.805459,3.923458,3.628461,3.687461,1.981727,93550151
1993-02-01,3.687461,3.913625,3.441630,3.520296,1.891888,124652599
1993-03-01,3.510463,3.825126,3.510463,3.716960,2.017873,67170209
1993-04-01,3.716960,3.972624,3.638295,3.874292,2.103285,63331185
1993-05-01,3.913625,4.247955,3.825126,4.159456,2.258095,79803391
1993-06-01,4.139789,4.395453,4.110289,4.247955,2.326368,89118747
1993-07-01,4.247955,4.365953,4.051290,4.267621,2.337139,77048702
1993-08-01,4.267621,4.670784,4.257788,4.474119,2.450228,86404735
1993-09-01,4.493785,4.552785,4.257788,4.365953,2.409289,69317265
1993-10-01,4.365953,5.083779,4.365953,4.877281,2.691458,103517631
1993-11-01,4.867448,5.201778,4.788782,4.867448,2.686032,94911607
1993-12-01,4.877281,4.995280,4.808449,4.877281,2.710479,70741009
1994-01-01,4.867448,5.378776,4.562618,5.300110,2.945460,93403961
1994-02-01,5.260777,5.663940,4.965780,5.349276,2.972783,102116769
1994-03-01,5.319777,5.516441,4.778949,4.887115,2.733707,99761233
1994-04-01,4.818282,5.221444,4.778949,5.014947,2.805214,89863671
1994-05-01,5.005113,5.270610,4.916614,5.221444,2.920722,78980926
1994-06-01,5.211611,5.368943,4.995280,5.054279,2.847235,51755637
1994-07-01,5.083779,5.329610,4.700283,4.739616,2.669975,95061608
1994-08-01,4.818282,5.073946,4.710116,5.005113,2.819539,110753302
1994-09-01,5.024780,5.103446,4.759283,4.926447,2.797832,86314482
1994-10-01,4.946114,5.073946,4.680617,4.955947,2.814587,112618149
1994-11-01,4.955947,4.955947,4.326621,4.601951,2.613544,113777485
1994-12-01,4.601951,4.985447,4.542952,4.946114,2.832806,77988121
1995-01-01,4.936281,5.182111,4.896948,5.054279,2.894756,68034624
1995-02-01,5.034613,5.280444,5.005113,5.221444,2.990497,72139327
1995-03-01,5.172278,5.467275,5.073946,5.437775,3.137903,74084267
1995-04-01,5.408276,5.899937,5.309943,5.752439,3.319481,80810183
1995-05-01,5.762272,6.017936,5.703272,5.968770,3.444316,93171331
1995-06-01,5.968770,6.244100,5.919604,6.145768,3.570177,86085663
1995-07-01,6.145768,6.657096,6.135935,6.607930,3.838655,101553626
1995-08-01,6.607930,6.676762,6.283433,6.558763,3.810092,95505258
1995-09-01,6.578430,6.971759,6.480098,6.952093,4.062913,99810812
1995-10-01,6.942259,7.099591,6.519430,6.981592,4.080151,93954392
1995-11-01,6.942259,7.414254,6.765261,7.374921,4.310019,101746846
1995-12-01,7.394588,7.689585,7.178257,7.463420,4.389172,77177095
1996-01-01,7.394588,8.102580,7.119257,8.073081,4.747708,119917382
1996-02-01,8.033748,8.643408,7.827250,8.446743,4.967456,108555395
1996-03-01,8.495909,9.282568,8.259912,8.830239,5.220967,116237258
1996-04-01,8.859739,9.066237,8.377911,8.692574,5.139570,103290085
1996-05-01,8.653241,8.869572,7.896082,8.604075,5.087247,104127806
1996-06-01,8.564742,9.144902,8.535242,9.046570,5.375814,63730340
1996-07-01,9.026904,9.282568,7.984581,8.849906,5.258951,97931977
1996-08-01,8.820406,9.253068,8.781073,8.869572,5.270636,61742182
1996-09-01,8.800739,9.567731,8.712240,9.469399,5.653882,66542235
1996-10-01,9.489065,10.226558,9.400566,10.128225,6.047249,82498337
1996-11-01,10.187225,11.082048,10.138059,11.032882,6.587389,71609236
1996-12-01,10.993549,11.032882,9.833228,10.423222,6.249175,93629601
1997-01-01,10.423222,11.229547,10.246224,10.973883,6.579322,92817304
1997-02-01,10.796885,12.271869,10.718219,11.839207,7.098122,102331602
1997-03-01,11.721208,12.507867,11.485211,11.917873,7.174259,84862132
1997-04-01,11.839207,12.409534,11.052549,11.898206,7.162424,104610226
1997-05-01,11.898206,12.822530,11.799874,12.645532,7.612292,93600362
1997-06-01,12.625865,13.805853,12.409534,13.058527,7.892686,76830057
1997-07-01,13.097860,13.992684,13.058527,13.304358,8.041266,97103152
1997-08-01,13.353524,13.471523,12.114537,12.281702,7.423163,98079436
1997-09-01,12.389868,13.343691,12.075205,12.743864,7.731818,127057075
1997-10-01,12.704531,12.871696,10.501888,11.013216,6.681817,196983244
1997-11-01,11.170548,11.878540,10.836218,11.790041,7.153124,117307609
1997-12-01,11.790041,12.566866,10.816551,11.455711,6.979644,124533742
1998-01-01,11.534377,13.038861,10.541221,12.783197,7.788446,118794274
1998-02-01,13.019194,14.159849,13.019194,14.051683,8.561298,76415646
1998-03-01,14.002517,14.779342,13.786186,14.523678,8.880675,79032411
1998-04-01,14.504012,15.703666,14.415513,15.487335,9.469918,84043483
1998-05-01,15.556167,15.752832,14.474512,14.789176,9.043015,71834239
1998-06-01,14.720343,14.877675,13.225692,14.553178,8.932563,124246454
1998-07-01,14.563011,15.595500,14.415513,15.084172,9.258480,81394935
