Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,14.218750,14.562500,12.625000,14.437500,7.192642,50333600
1991-02-01,14.437500,16.125000,14.000000,15.875000,7.908787,71482400
1991-03-01,15.687500,16.187500,14.250000,14.562500,7.289767,56088000
1991-04-01,14.625000,15.875000,14.000000,15.312500,7.665205,52626800
1991-05-01,15.375000,16.250000,14.968750,16.031250,8.025002,37935600
1991-06-01,15.968750,16.093750,14.187500,14.718750,7.404546,35347200
1991-07-01,14.781250,17.625000,13.937500,17.500000,8.803710,53060400
1991-08-01,17.562500,18.500000,16.437500,18.187500,9.149570,49225200
1991-09-01,18.093750,18.312500,16.125000,16.875000,8.524145,56956800
1991-10-01,16.937500,17.656250,15.968750,17.375000,8.776709,38472400
1991-11-01,17.312500,17.687500,14.750000,15.250000,7.703300,37806800
1991-12-01,15.031250,16.250000,14.531250,15.593750,7.876941,48081200
1992-01-01,15.593750,16.187500,14.312500,14.875000,7.550704,66942400
1992-02-01,14.937500,15.687500,14.343750,15.000000,7.614159,45563200
1992-03-01,14.937500,15.218750,13.562500,13.968750,7.126241,52448400
1992-04-01,13.812500,15.843750,13.156250,15.531250,7.923363,62240400
1992-05-01,15.687500,17.218750,15.500000,16.437500,8.385691,54860400
1992-06-01,16.437500,17.156250,15.218750,15.718750,8.056271,35795200
1992-07-01,15.750000,16.750000,14.875000,16.656250,8.536760,39152000
1992-08-01,16.625000,17.250000,16.187500,17.218750,8.825061,34671600
1992-09-01,17.187500,17.468750,16.281250,16.906250,8.703009,40556000
1992-10-01,17.062500,17.656250,15.875000,15.875000,8.172138,39170800
1992-11-01,15.968750,16.218750,14.750000,15.250000,7.850405,48192800
1992-12-01,15.250000,15.250000,13.906250,14.312500,7.367796,74927600
1993-01-01,14.281250,15.093750,13.843750,14.468750,7.486875,57034000
1993-02-01,14.468750,15.625000,14.125000,14.906250,7.713258,52754000
1993-03-01,15.062500,15.406250,14.156250,14.875000,7.735527,72725600
1993-04-01,14.937500,16.500000,14.750000,16.000000,8.320568,51352800
1993-05-01,16.062500,16.718750,15.718750,16.312500,8.483073,39980000
1993-06-01,16.687500,17.218750,15.812500,15.843750,8.277587,43487200
1993-07-01,16.000000,16.250000,15.312500,15.906250,8.310241,34386000
1993-08-01,15.937500,16.906250,15.281250,16.843750,8.800041,43775200
1993-09-01,16.625000,17.000000,15.218750,16.656250,8.741891,50911600
1993-10-01,16.593750,17.093750,15.406250,15.781250,8.282656,45611600
1993-11-01,15.687500,15.937500,14.156250,14.375000,7.544599,54602400
1993-12-01,14.468750,15.093750,14.218750,14.781250,7.757812,52132800
1994-01-01,14.937500,15.375000,13.656250,14.843750,7.830523,60080400
1994-02-01,14.906250,15.187500,14.062500,14.218750,7.500810,35917200
1994-03-01,14.218750,14.687500,12.687500,13.218750,7.009540,61236000
1994-04-01,12.843750,14.031250,12.750000,13.750000,7.291245,48945200
1994-05-01,13.687500,14.531250,13.656250,14.312500,7.589523,32187200
1994-06-01,14.312500,15.343750,13.812500,14.781250,7.879929,46438800
1994-07-01,14.812500,15.750000,14.593750,14.750000,7.863266,41187600
1994-08-01,14.875000,15.187500,13.968750,14.250000,7.596718,40245600
1994-09-01,14.187500,14.375000,13.343750,13.593750,7.285466,38319600
1994-10-01,13.656250,14.750000,13.437500,14.718750,7.888398,45132400
1994-11-01,14.531250,14.593750,13.281250,13.281250,7.117987,34249200
