Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,21.333332,21.583332,18.250000,20.333332,8.939029,2543100
1991-02-01,20.250000,23.000000,19.416668,20.833332,9.158837,2960700
1991-03-01,20.416668,21.666668,20.166668,21.250000,9.419981,3231600
1991-04-01,21.250000,21.500000,19.166668,20.666668,9.161394,2091900
1991-05-01,20.500000,21.000000,19.166668,20.166668,8.939744,2818650
1991-06-01,20.000000,21.500000,19.666668,19.833332,8.868918,2635350
1991-07-01,19.750000,22.916668,19.750000,21.833332,9.763258,2149950
1991-08-01,21.833332,22.666668,20.333332,21.000000,9.390616,2107050
1991-09-01,20.833332,21.500000,19.750000,21.000000,9.468679,2196600
1991-10-01,21.000000,22.250000,19.833332,20.250000,9.130511,3621600
1991-11-01,20.583332,21.416668,18.916668,20.166668,9.092941,1909050
1991-12-01,20.000000,21.583332,18.916668,21.583332,9.817550,2921850
1992-01-01,21.750000,24.000000,21.500000,22.333332,10.158701,2149650
1992-02-01,22.333332,25.166668,21.833332,24.166668,10.992625,2217150
1992-03-01,24.166668,26.666668,24.166668,25.000000,11.460088,3666900
1992-04-01,25.000000,25.833332,23.000000,23.666668,10.848883,2394900
1992-05-01,23.666668,23.666668,22.000000,22.083332,10.123078,1797600
1992-06-01,22.166668,22.250000,19.416668,20.750000,9.585817,4147350
1992-07-01,20.750000,22.000000,20.333332,21.000000,9.701313,2924700
1992-08-01,20.916668,22.166668,20.416668,20.583332,9.508825,2400000
1992-09-01,20.416668,21.750000,20.333332,21.750000,10.131319,2200050
1992-10-01,21.750000,21.750000,18.916668,19.166668,8.927973,3228000
1992-11-01,19.166668,19.500000,18.000000,19.083332,8.889157,2195550
1992-12-01,19.083332,21.250000,19.083332,20.916668,9.835106,2006100
1993-01-01,21.000000,21.583332,20.333332,21.416668,10.070204,1822800
1993-02-01,21.333332,23.166668,21.333332,22.333332,10.501227,2866500
1993-03-01,22.416668,22.833332,21.416668,22.416668,10.626055,1914450
1993-04-01,22.333332,25.083332,22.166668,24.500000,11.613606,2317500
1993-05-01,24.416668,25.416668,23.583332,25.000000,11.850616,1440150
1993-06-01,25.166668,26.166668,25.000000,26.000000,12.415545,2148750
