Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,6.562500,7.078125,6.218750,7.078125,3.553010,15896800
1991-02-01,7.093750,7.375000,6.953125,7.093750,3.560855,19488000
1991-03-01,7.062500,7.468750,6.968750,7.312500,3.705800,14068000
1991-04-01,7.343750,7.843750,7.296875,7.453125,3.777064,19993600
1991-05-01,7.468750,8.031250,7.453125,7.875000,3.990862,15235200
1991-06-01,7.890625,8.093750,7.250000,7.421875,3.795594,10048000
1991-07-01,7.468750,7.718750,6.921875,7.000000,3.579844,17772000
1991-08-01,6.968750,7.046875,6.718750,6.781250,3.467973,17538400
1991-09-01,6.781250,6.843750,6.343750,6.421875,3.317589,11357600
1991-10-01,6.437500,6.812500,6.265625,6.750000,3.487104,19774400
1991-11-01,6.750000,7.062500,6.453125,6.453125,3.333733,13420000
1991-12-01,6.437500,7.281250,6.343750,7.171875,3.743898,16645600
1992-01-01,7.156250,7.750000,7.062500,7.343750,3.833619,18246400
1992-02-01,7.328125,7.500000,7.062500,7.359375,3.841776,14309600
1992-03-01,7.328125,7.921875,7.125000,7.750000,4.084628,24107200
1992-04-01,7.718750,8.312500,7.421875,8.140625,4.290507,17224800
1992-05-01,8.109375,8.187500,7.515625,7.656250,4.035216,22100800
1992-06-01,7.687500,7.703125,7.187500,7.234375,3.846198,8764800
1992-07-01,7.234375,7.375000,6.625000,7.078125,3.763126,20435200
1992-08-01,7.046875,7.421875,6.968750,7.234375,3.846198,10036000
1992-09-01,7.234375,7.390625,7.109375,7.328125,3.934023,10828000
1992-10-01,7.359375,7.546875,7.187500,7.468750,4.009516,9460000
1992-11-01,7.437500,7.781250,7.437500,7.578125,4.068233,8354400
1992-12-01,7.546875,7.906250,7.421875,7.671875,4.157123,11708800
1993-01-01,7.640625,7.890625,7.468750,7.687500,4.165586,10258400
1993-02-01,7.687500,7.984375,7.062500,7.359375,3.987788,13387200
1993-03-01,7.375000,7.937500,7.312500,7.937500,4.342743,13500000
1993-04-01,7.937500,8.046875,7.593750,7.609375,4.163221,10292000
1993-05-01,7.609375,7.671875,7.062500,7.250000,3.966601,12020800
1993-06-01,7.250000,7.390625,6.906250,7.375000,4.074692,13196000
1993-07-01,7.375000,8.375000,7.296875,8.171875,4.514965,23571200
1993-08-01,8.125000,8.734375,8.000000,8.593750,4.748051,29008000
1993-09-01,8.578125,8.703125,8.187500,8.468750,4.717610,19711200
1993-10-01,8.468750,9.359375,8.375000,9.281250,5.170224,27264800
1993-11-01,9.281250,9.406250,8.500000,8.718750,4.856876,24039200
1993-12-01,8.750000,8.796875,8.218750,8.453125,4.747917,24300000
1994-01-01,8.437500,8.921875,8.265625,8.656250,4.862008,22864800
1994-02-01,8.671875,8.843750,8.390625,8.812500,4.949771,17697600
1994-03-01,8.843750,9.125000,8.062500,8.171875,4.628227,22221600
1994-04-01,8.046875,8.593750,7.812500,8.140625,4.610526,21323200
1994-05-01,8.171875,8.359375,8.062500,8.250000,4.672474,14049600
1994-06-01,8.218750,8.734375,8.203125,8.312500,4.749372,16084800
1994-07-01,8.328125,8.875000,8.296875,8.687500,4.963631,14427200
1994-08-01,8.687500,8.796875,8.468750,8.703125,4.972557,18410400
1994-09-01,8.703125,9.656250,8.671875,9.156250,5.275556,24337600
1994-10-01,9.187500,9.343750,8.843750,9.343750,5.383585,18304000
1994-11-01,9.250000,9.328125,8.421875,8.484375,4.888442,17526400
1994-12-01,8.500000,8.671875,7.984375,8.359375,4.855881,26610400
1995-01-01,8.359375,8.437500,7.953125,8.125000,4.719734,23914400
1995-02-01,8.156250,8.843750,8.031250,8.812500,5.119096,14780000
1995-03-01,8.812500,9.171875,8.625000,8.968750,5.254901,17769600
1995-04-01,8.968750,9.406250,8.906250,9.328125,5.465465,14303200
1995-05-01,9.296875,9.484375,9.031250,9.250000,5.419689,19499200
1995-06-01,9.265625,9.703125,9.187500,9.484375,5.602053,18538400
1995-07-01,9.500000,9.718750,9.437500,9.609375,5.675885,14601600
1995-08-01,9.625000,9.984375,9.421875,9.843750,5.814324,16302400
1995-09-01,9.859375,10.593750,9.859375,10.218750,6.082017,14966400
1995-10-01,10.250000,10.484375,9.875000,10.234375,6.091312,15737600
1995-11-01,10.203125,10.890625,10.203125,10.468750,6.230812,12164000
1995-12-01,10.500000,10.953125,10.406250,10.890625,6.527110,14645600
1996-01-01,10.828125,11.156250,10.671875,11.125000,6.667581,21280800
1996-02-01,11.156250,11.546875,10.921875,10.921875,6.545842,18955200
1996-03-01,10.937500,11.359375,10.828125,10.843750,6.546433,24709600
1996-04-01,10.875000,11.234375,10.515625,11.031250,6.659625,21234400
1996-05-01,11.031250,12.312500,11.000000,11.718750,7.074676,22538000
1996-06-01,11.656250,12.093750,10.843750,11.437500,6.952436,13050800
1996-07-01,11.406250,11.468750,9.312500,9.750000,5.926666,19621600
1996-08-01,9.812500,10.812500,9.718750,10.250000,6.230594,17783600
1996-09-01,10.187500,10.875000,10.031250,10.656250,6.528991,11848400
1996-10-01,10.687500,12.031250,10.656250,11.718750,7.179973,15866800
1996-11-01,11.781250,11.875000,11.281250,11.375000,6.969363,17396400
1996-12-01,11.187500,12.062500,10.625000,11.531250,7.115597,19916400
1997-01-01,11.593750,12.562500,11.218750,12.437500,7.674816,27158800
1997-02-01,12.468750,13.125000,12.375000,12.968750,8.002637,18027200
1997-03-01,12.968750,13.281250,12.343750,12.781250,7.943281,20542800
1997-04-01,12.750000,13.187500,12.468750,12.718750,7.904436,24917200
1997-05-01,12.718750,13.812500,12.593750,13.687500,8.506494,18672000
1997-06-01,13.750000,15.718750,13.593750,14.703125,9.198307,23869600
