Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,1.812500,2.562500,1.812500,2.312500,1.736798,9568400
1992-07-01,2.312500,2.625000,1.875000,2.562500,1.924560,4338800
1992-08-01,2.562500,2.875000,2.375000,2.812500,2.112323,2223600
1992-09-01,2.812500,3.562500,2.750000,2.937500,2.206203,6295200
1992-10-01,2.937500,3.750000,2.437500,3.750000,2.816429,5324000
1992-11-01,3.750000,4.437500,3.500000,3.906250,2.933781,6050400
1992-12-01,4.000000,4.500000,3.812500,4.406250,3.309305,8876400
1993-01-01,4.312500,5.125000,4.250000,4.562500,3.426656,10078000
1993-02-01,4.562500,4.687500,3.375000,3.500000,2.628668,11510800
1993-03-01,3.562500,4.312500,3.187500,4.062500,3.051132,11038800
1993-04-01,4.062500,4.250000,3.250000,3.812500,2.863370,11354800
1993-05-01,3.750000,4.625000,3.562500,4.437500,3.332774,14286000
1993-06-01,4.500000,4.687500,4.125000,4.562500,3.426656,10933600
1993-07-01,4.437500,4.937500,4.250000,4.562500,3.426656,9352000
1993-08-01,4.687500,4.875000,4.437500,4.687500,3.520538,10670800
1993-09-01,4.750000,5.312500,4.187500,4.875000,3.661357,11430800
1993-10-01,4.750000,5.062500,4.125000,4.937500,3.708299,14855600
1993-11-01,4.750000,4.937500,4.187500,4.312500,3.238895,10434000
1993-12-01,4.343750,5.000000,4.000000,4.687500,3.520538,15428800
1994-01-01,4.687500,5.937500,4.625000,5.937500,4.459348,12748800
1994-02-01,5.812500,7.062500,5.625000,6.937500,5.210395,18028800
1994-03-01,6.875000,7.000000,5.531250,5.875000,4.412407,16170000
1994-04-01,5.812500,7.000000,4.937500,7.000000,5.257336,11346400
1994-05-01,6.875000,7.000000,4.500000,5.125000,3.849119,16420400
1994-06-01,5.187500,5.750000,4.625000,4.843750,3.637887,16881600
1994-07-01,4.812500,5.312500,4.187500,4.562500,3.426656,13390800
1994-08-01,4.625000,6.000000,4.500000,5.625000,4.224646,12932000
1994-09-01,5.500000,6.687500,5.437500,6.625000,4.975693,9257600
1994-10-01,6.500000,7.000000,6.187500,6.968750,5.233866,8695600
