Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,4.375000,4.671875,3.859375,4.484375,2.784480,35427200
1991-02-01,4.531250,5.468750,4.468750,5.156250,3.201667,28780800
1991-03-01,5.125000,6.093750,5.031250,5.687500,3.531535,34788000
1991-04-01,5.687500,6.203125,5.468750,5.937500,3.700981,51232000
1991-05-01,5.937500,6.046875,5.171875,5.875000,3.662022,56949600
1991-06-01,5.843750,6.234375,5.500000,5.593750,3.486713,26882400
1991-07-01,5.578125,6.375000,5.484375,6.171875,3.862401,42335200
1991-08-01,6.203125,7.046875,6.015625,6.968750,4.361091,30362400
1991-09-01,6.968750,6.968750,6.093750,6.953125,4.351312,25736800
1991-10-01,6.937500,7.500000,6.531250,7.500000,4.710045,30707200
1991-11-01,7.500000,7.593750,6.812500,7.406250,4.651170,30212800
1991-12-01,7.375000,8.031250,7.312500,8.031250,5.043673,25656000
1992-01-01,8.000000,8.125000,7.312500,7.546875,4.755993,36561600
1992-02-01,7.531250,8.281250,7.531250,8.000000,5.041549,28508800
1992-03-01,8.046875,8.093750,7.593750,8.031250,5.061241,20851200
1992-04-01,8.031250,8.812500,7.687500,8.812500,5.572155,27212000
1992-05-01,8.812500,9.437500,8.218750,9.281250,5.868543,34128000
1992-06-01,9.187500,9.687500,8.687500,8.937500,5.651193,33159200
1992-07-01,8.968750,9.500000,8.406250,9.125000,5.788006,32939200
1992-08-01,9.125000,9.437500,8.562500,9.000000,5.708716,10423200
1992-09-01,9.062500,9.750000,8.968750,9.218750,5.847473,19784800
1992-10-01,9.218750,9.375000,8.843750,9.062500,5.764941,19626800
1992-11-01,9.125000,10.750000,9.000000,10.687500,6.798656,23273600
1992-12-01,10.750000,11.218750,10.125000,10.937500,6.957689,18429200
1993-01-01,10.875000,11.187500,10.250000,11.125000,7.096148,15275200
1993-02-01,11.093750,12.281250,11.093750,11.812500,7.534673,28406800
1993-03-01,11.812500,11.875000,11.093750,11.125000,7.096148,25550800
1993-04-01,11.125000,11.437500,7.562500,8.812500,5.636014,99158400
1993-05-01,8.812500,9.125000,7.687500,7.718750,4.936506,50421600
1993-06-01,7.812500,8.312500,7.312500,8.281250,5.296252,46212400
1993-07-01,8.312500,8.687500,7.937500,8.656250,5.558490,27687200
