Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.833333,1.166667,0.750000,1.000000,0.889481,318000
1991-02-01,1.000000,1.416667,0.958333,1.333333,1.185974,532200
1991-03-01,1.291667,1.333333,1.208333,1.291667,1.148913,191400
1991-04-01,1.291667,1.333333,1.000000,1.000000,0.889481,402900
1991-05-01,1.000000,1.291667,1.000000,1.166667,1.037728,253500
1991-06-01,1.208333,1.333333,1.041667,1.166667,1.037728,214200
1991-07-01,1.125000,1.250000,1.041667,1.041667,0.926543,221400
1991-08-01,1.041667,1.333333,1.041667,1.166667,1.037728,293100
1991-09-01,1.166667,1.250000,0.791667,1.000000,0.889481,438300
1991-10-01,1.000000,1.041667,0.791667,0.833333,0.741234,148800
1991-11-01,0.833333,0.875000,0.750000,0.791667,0.704173,228300
1991-12-01,0.791667,0.875000,0.541667,0.833333,0.741234,838500
1992-01-01,0.833333,0.958333,0.750000,0.833333,0.741234,381900
1992-02-01,0.833333,0.916667,0.791667,0.875000,0.778296,131700
1992-03-01,0.916667,0.916667,0.666667,0.791667,0.704173,277800
1992-04-01,0.750000,1.291667,0.708333,1.208333,1.074789,1933200
1992-05-01,1.166667,1.208333,0.833333,0.916667,0.815358,1348500
1992-06-01,0.916667,1.000000,0.791667,0.833333,0.741234,440100
1992-07-01,0.875000,1.083333,0.833333,0.916667,0.815358,360900
1992-08-01,0.916667,1.000000,0.833333,0.916667,0.815358,327600
1992-09-01,0.916667,0.958333,0.875000,0.916667,0.815358,406500
1992-10-01,0.916667,1.041667,0.833333,1.041667,0.926543,344100
1992-11-01,1.000000,1.083333,0.958333,1.041667,0.926543,393000
1992-12-01,1.041667,1.250000,1.020833,1.125000,1.000666,428400
1993-01-01,1.166667,1.250000,1.083333,1.083333,0.963604,530700
1993-02-01,1.083333,1.125000,0.958333,1.041667,0.926543,604800
1993-03-01,1.000000,1.145833,0.958333,0.958333,0.852419,181200
1993-04-01,0.916667,1.041667,0.875000,1.000000,0.889481,138300
1993-05-01,1.000000,1.125000,0.958333,1.083333,0.963604,486000
1993-06-01,1.041667,1.208333,1.020833,1.166667,1.037728,356100
1993-07-01,1.125000,1.145833,1.000000,1.083333,0.963604,357900
