Date,Open,High,Low,Close,Adj Close,Volume
2007-07-01,39.200001,41.279999,35.099998,35.820000,26.236235,72073300
2007-08-01,34.919998,37.000000,32.000000,34.869999,25.540415,68793500
2007-09-01,34.869999,36.689999,32.400002,35.430000,25.950581,55006600
2007-10-01,35.700001,37.500000,33.480000,35.669998,26.230753,48859100
2007-11-01,35.619999,37.450001,31.309999,37.389999,27.495598,55892500
2007-12-01,37.009998,38.459999,36.099998,37.130001,27.304407,35929300
2008-01-01,37.130001,37.779999,30.190001,33.740002,24.811489,50693700
2008-02-01,34.040001,36.349998,32.049999,32.900002,24.295698,39113700
2008-03-01,32.869999,34.430000,30.580000,34.320000,25.344332,47070500
2008-04-01,34.410000,38.200001,33.599998,37.410000,27.626202,37955400
2008-05-01,38.270000,40.259998,37.020000,40.119999,29.746689,46687300
2008-06-01,40.040001,40.340000,35.389999,35.820000,26.558481,55526500
2008-07-01,35.669998,37.570000,31.100000,33.139999,24.571421,57097100
2008-08-01,33.330002,35.250000,31.730000,32.910000,24.497908,54818300
2008-09-01,32.849998,33.410000,24.900000,27.660000,20.589857,93846400
2008-10-01,27.440001,27.910000,16.690001,19.440001,14.470968,105267900
2008-11-01,19.500000,20.900000,12.850000,16.480000,12.356825,92047900
2008-12-01,15.780000,18.160000,14.550000,16.209999,12.154376,68403500
2009-01-01,16.490000,17.860001,13.800000,14.160000,10.617273,83887200
2009-02-01,13.960000,14.940000,9.380000,9.480000,7.175510,89116100
2009-03-01,9.270000,12.190000,7.400000,11.040000,8.356286,118818300
2009-04-01,10.870000,18.350000,10.490000,17.440001,13.200513,110313000
2009-05-01,17.410000,18.709999,16.059999,17.370001,13.320956,81297300
2009-06-01,17.730000,21.770000,17.690001,18.590000,14.256563,280962800
2009-07-01,18.600000,22.000000,16.120001,21.469999,16.465221,111998900
2009-08-01,21.590000,24.240000,21.410000,22.820000,17.500526,56079500
2009-09-01,22.590000,24.200001,21.500000,22.280001,17.086405,49184400
2009-10-01,21.990000,24.389999,20.900000,21.250000,16.409569,57233700
2009-11-01,21.330000,24.959999,21.010000,23.209999,17.923111,47891000
2009-12-01,23.480000,24.959999,22.510000,24.549999,18.957886,47910400
2010-01-01,24.820000,26.360001,24.400000,24.879999,19.344473,44064900
2010-02-01,25.110001,26.730000,24.129999,25.629999,19.927612,51644500
2010-03-01,25.690001,28.440001,25.590000,27.480000,21.365999,55499600
2010-04-01,27.549999,32.590000,27.309999,32.119999,25.129133,55053000
2010-05-01,32.209999,32.980000,26.700001,28.820000,22.547382,87166400
2010-06-01,28.350000,29.690001,24.950001,25.379999,19.856085,72732000
2010-07-01,25.299999,27.540001,23.850000,27.000000,21.239996,63533900
2010-08-01,27.309999,28.580000,24.350000,24.520000,19.289066,55639100
2010-09-01,24.980000,29.959999,24.900000,29.219999,22.986397,48819300
2010-10-01,29.620001,31.990000,29.219999,31.680000,25.081476,39772100
2010-11-01,31.930000,33.950001,29.969999,30.420000,24.083914,35554000
2010-12-01,31.110001,35.740002,30.900000,35.400002,28.026651,38582900
2011-01-01,35.529999,37.250000,34.029999,36.230000,28.823103,52253000
2011-02-01,36.669998,38.590000,34.910000,36.040001,28.671951,47572400
2011-03-01,36.230000,37.150002,32.290001,34.820000,27.701366,62316100
2011-04-01,35.000000,36.000000,33.119999,35.849998,28.645500,68014100
2011-05-01,35.869999,38.060001,35.130001,36.830002,29.428564,50235400
2011-06-01,36.610001,37.130001,33.270000,36.759998,29.520020,44768400
2011-07-01,36.730000,38.520000,33.959999,34.430000,27.648926,50766900
2011-08-01,34.889999,34.939999,27.430000,30.620001,24.589312,76853300
2011-09-01,30.760000,31.110001,26.670000,28.139999,22.729477,50400600
2011-10-01,27.850000,37.200001,26.580000,35.549999,28.714752,184145300
2011-11-01,34.080002,35.880001,30.100000,31.709999,25.613064,61998800
2011-12-01,31.480000,33.230000,29.690001,30.809999,25.032028,53101200
2012-01-01,31.629999,36.970001,29.389999,34.099998,27.705029,54196000
2012-02-01,34.299999,37.029999,34.230000,36.549999,29.695572,33190800
2012-03-01,36.580002,37.689999,34.480000,36.750000,30.007683,39050100
2012-04-01,36.740002,37.200001,33.889999,36.459999,29.770882,41934400
2012-05-01,36.340000,36.930000,30.610001,31.420000,25.655554,39141000
2012-06-01,30.799999,33.340000,30.180000,31.910000,26.225479,37059600
2012-07-01,32.070000,33.930000,30.410000,33.009998,27.129519,33671300
2012-08-01,33.180000,36.189999,31.830000,35.169998,28.904736,35955100
2012-09-01,35.250000,37.490002,33.330002,34.009998,28.120007,30358400
2012-10-01,34.180000,34.630001,31.870001,32.180000,26.606928,31377300
2012-11-01,32.369999,35.630001,31.740000,35.189999,29.095650,42786900
2012-12-01,35.410000,38.000000,34.980000,37.119999,30.878326,32622000
2013-01-01,37.849998,39.869999,36.689999,38.880001,32.342377,36893000
2013-02-01,39.099998,41.450001,38.830002,40.130001,33.382202,31781300
2013-03-01,39.959999,42.599998,39.560001,41.930000,35.064529,29526200
2013-04-01,41.939999,43.619999,38.750000,43.549999,36.419292,37591000
2013-05-01,43.270000,46.459999,42.680000,44.389999,37.121754,35361700
2013-06-01,44.549999,46.889999,43.880001,45.540001,38.294472,31028900
2013-07-01,45.799999,51.459999,45.770000,51.040001,42.919415,39211700
2013-08-01,51.480000,51.630001,48.290001,49.000000,41.203979,32521900
2013-09-01,49.650002,54.189999,49.250000,51.779999,43.766388,34886500
2013-10-01,51.779999,55.810001,49.220001,51.490002,43.521267,36960400
2013-11-01,51.549999,53.439999,50.849998,52.720001,44.560905,37448400
2013-12-01,52.639999,55.110001,51.650002,55.110001,46.801952,33880900
2014-01-01,54.889999,61.139999,54.160000,56.509998,47.990910,46924800
2014-02-01,56.590000,59.049999,54.169998,58.580002,49.748844,34684300
2014-03-01,57.990002,60.730000,56.919998,60.209999,51.355534,32777800
2014-04-01,60.560001,62.160000,57.799999,58.980000,50.306419,38976400
2014-05-01,59.080002,59.849998,56.279999,59.459999,50.715843,26241300
2014-06-01,59.520000,62.630001,59.000000,61.840000,53.009575,30678600
