Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.339844,0.386719,0.300781,0.375000,0.245691,217398400
1991-02-01,0.371094,0.488281,0.355469,0.484375,0.317351,147987200
1991-03-01,0.480469,0.562500,0.472656,0.531250,0.351431,191644800
1991-04-01,0.519531,0.621094,0.484375,0.535156,0.354015,133110400
1991-05-01,0.531250,0.605469,0.519531,0.601563,0.397944,115632000
1991-06-01,0.593750,0.609375,0.535156,0.562500,0.374548,138560000
1991-07-01,0.558594,0.636719,0.554688,0.636719,0.423967,109008000
1991-08-01,0.636719,0.636719,0.546875,0.605469,0.403159,138768000
1991-09-01,0.605469,0.609375,0.488281,0.511719,0.342743,132393600
1991-10-01,0.511719,0.542969,0.449219,0.472656,0.316579,202448000
1991-11-01,0.457031,0.511719,0.433594,0.453125,0.303497,150908800
1991-12-01,0.449219,0.527344,0.449219,0.527344,0.355915,142681600
1992-01-01,0.523438,0.566406,0.488281,0.554688,0.374370,107235200
1992-02-01,0.558594,0.605469,0.492188,0.589844,0.400769,185769600
1992-03-01,0.570313,0.625000,0.550781,0.582031,0.395460,175744000
1992-04-01,0.578125,0.593750,0.480469,0.507813,0.345033,138598400
1992-05-01,0.511719,0.554688,0.488281,0.550781,0.374228,99734400
1992-06-01,0.546875,0.585938,0.515625,0.585938,0.400953,84524800
1992-07-01,0.585938,0.640625,0.542969,0.640625,0.438374,99564800
1992-08-01,0.625000,0.683594,0.613281,0.675781,0.465073,265104000
1992-09-01,0.671875,0.691406,0.644531,0.679688,0.467762,99478400
1992-10-01,0.675781,0.828125,0.628906,0.792969,0.545722,278928000
1992-11-01,0.800781,0.886719,0.781250,0.871094,0.602126,253715200
1992-12-01,0.863281,0.906250,0.835938,0.882813,0.610226,272016000
1993-01-01,0.898438,0.898438,0.820313,0.839844,0.580525,200905600
1993-02-01,0.843750,0.914063,0.843750,0.886719,0.615524,160582400
1993-03-01,0.886719,1.035156,0.882813,1.015625,0.705005,266342400
1993-04-01,1.023438,1.039063,0.855469,0.941406,0.653485,159654400
1993-05-01,0.945313,1.070313,0.933594,1.019531,0.707717,184332800
1993-06-01,1.019531,1.070313,0.921875,1.058594,0.737725,117753600
1993-07-01,1.054688,1.058594,0.812500,0.843750,0.588003,285833600
1993-08-01,0.843750,0.937500,0.843750,0.882813,0.615225,196419200
1993-09-01,0.882813,0.976563,0.765625,0.941406,0.658923,352316800
1993-10-01,0.945313,1.042969,0.945313,0.953125,0.667125,212707200
1993-11-01,0.953125,1.070313,0.851563,0.867188,0.606975,240585600
1993-12-01,0.878906,0.929688,0.859375,0.910156,0.639578,297180800
1994-01-01,0.906250,0.914063,0.792969,0.882813,0.620363,307046400
1994-02-01,0.882813,0.902344,0.820313,0.839844,0.590169,268070400
1994-03-01,0.839844,0.917969,0.804688,0.824219,0.581939,310486400
1994-04-01,0.812500,0.875000,0.714844,0.750000,0.529537,387347200
1994-05-01,0.750000,0.757813,0.683594,0.757813,0.535053,298332800
1994-06-01,0.757813,0.777344,0.683594,0.683594,0.485607,193612800
1994-07-01,0.691406,0.695313,0.566406,0.625000,0.443983,352656000
1994-08-01,0.628906,0.679688,0.597656,0.679688,0.482832,168614400
1994-09-01,0.675781,0.726563,0.640625,0.656250,0.469532,167740800
1994-10-01,0.652344,0.652344,0.488281,0.492188,0.352149,349104000
1994-11-01,0.492188,0.496094,0.445313,0.472656,0.338174,192867200
1994-12-01,0.472656,0.492188,0.449219,0.488281,0.352512,204758400
1995-01-01,0.484375,0.503906,0.406250,0.417969,0.301751,219747200
1995-02-01,0.414063,0.437500,0.398438,0.421875,0.304571,214294400
1995-03-01,0.421875,0.425781,0.367188,0.410156,0.299213,282675200
1995-04-01,0.414063,0.429688,0.347656,0.359375,0.262168,174380800
1995-05-01,0.363281,0.425781,0.355469,0.417969,0.304913,255254400
1995-06-01,0.417969,0.421875,0.382813,0.414063,0.305629,208096000
1995-07-01,0.414063,0.484375,0.410156,0.457031,0.337345,291635200
1995-08-01,0.453125,0.460938,0.386719,0.390625,0.288329,275369600
1995-09-01,0.394531,0.406250,0.359375,0.371094,0.276783,177808000
