Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.000000,2.041667,1.375000,2.041667,2.041667,12594600
1991-02-01,0.000000,2.208333,1.750000,1.916667,1.916667,11922600
1991-03-01,0.000000,2.541667,1.875000,2.520833,2.520833,8967600
1991-04-01,0.000000,2.875000,2.375000,2.500000,2.500000,11622000
1991-05-01,0.000000,2.791667,2.125000,2.458333,2.458333,7328400
1991-06-01,0.000000,2.916667,2.229167,2.354167,2.354167,10269600
1991-07-01,0.000000,2.708333,2.125000,2.625000,2.625000,16257600
1991-08-01,0.000000,2.708333,2.291667,2.583333,2.583333,10260000
1991-09-01,0.000000,3.208333,2.541667,2.791667,2.791667,26058000
1991-10-01,0.000000,3.041667,2.416667,2.875000,2.875000,14190600
1991-11-01,0.000000,2.916667,2.375000,2.541667,2.541667,10660800
1991-12-01,2.541667,3.000000,2.291667,2.791667,2.791667,20765400
1992-01-01,2.791667,3.000000,2.250000,2.416667,2.416667,20385600
1992-02-01,2.375000,2.666667,1.958333,2.000000,2.000000,16165800
1992-03-01,1.958333,2.208333,1.750000,1.833333,1.833333,21227400
1992-04-01,1.833333,2.125000,1.541667,1.833333,1.833333,17143800
1992-05-01,1.833333,1.833333,1.500000,1.625000,1.625000,9526200
1992-06-01,1.625000,1.666667,1.291667,1.458333,1.458333,10051200
1992-07-01,1.416667,1.666667,1.291667,1.375000,1.375000,6617400
1992-08-01,1.333333,1.500000,1.208333,1.250000,1.250000,2982000
1992-09-01,1.208333,1.333333,1.083333,1.208333,1.208333,5103600
1992-10-01,1.187500,1.375000,1.083333,1.333333,1.333333,7330200
1992-11-01,1.333333,1.916667,1.291667,1.562500,1.562500,9232800
1992-12-01,1.500000,1.666667,1.375000,1.416667,1.416667,7422000
1993-01-01,1.375000,1.958333,1.333333,1.583333,1.583333,8365800
1993-02-01,1.541667,1.750000,1.291667,1.333333,1.333333,5610600
1993-03-01,1.416667,1.708333,1.208333,1.333333,1.333333,7117200
1993-04-01,1.291667,1.458333,1.291667,1.458333,1.458333,5322600
1993-05-01,1.416667,1.583333,1.291667,1.416667,1.416667,5814000
1993-06-01,1.333333,1.708333,1.333333,1.666667,1.666667,8113200
1993-07-01,1.625000,2.166667,1.625000,1.916667,1.916667,21775200
1993-08-01,1.916667,2.208333,1.875000,2.125000,2.125000,11868000
1993-09-01,2.125000,2.250000,1.750000,2.020833,2.020833,5596800
1993-10-01,2.000000,2.041667,1.625000,1.770833,1.770833,5652600
1993-11-01,1.708333,1.916667,1.625000,1.833333,1.833333,5144400
1993-12-01,1.791667,1.854167,1.458333,1.479167,1.479167,6928200
1994-01-01,1.479167,1.750000,1.479167,1.604167,1.604167,7861200
1994-02-01,1.604167,1.895833,1.583333,1.666667,1.666667,6498000
1994-03-01,1.645833,1.750000,1.500000,1.541667,1.541667,3645600
1994-04-01,1.520833,1.708333,1.437500,1.687500,1.687500,4023600
1994-05-01,1.645833,1.791667,1.458333,1.552083,1.552083,4752000
1994-06-01,1.625000,1.729167,1.562500,1.562500,1.562500,3397200
1994-07-01,1.625000,1.979167,1.562500,1.979167,1.979167,5106600
1994-08-01,1.916667,2.250000,1.854167,2.166667,2.166667,14713200
1994-09-01,2.166667,2.562500,2.145833,2.375000,2.375000,25354800
1994-10-01,2.416667,2.583333,2.312500,2.354167,2.354167,15317400
1994-11-01,2.395833,2.395833,2.125000,2.229167,2.229167,7914600
1994-12-01,2.291667,2.791667,2.229167,2.750000,2.750000,17187600
1995-01-01,2.750000,3.083333,2.583333,2.927083,2.927083,25219200
1995-02-01,2.937500,3.166667,2.916667,2.958333,2.958333,23618400
1995-03-01,2.958333,3.291667,2.812500,3.166667,3.166667,14982600
1995-04-01,3.166667,3.187500,2.583333,3.166667,3.166667,28749600
1995-05-01,3.166667,4.458333,3.104167,3.958333,3.958333,44286600
1995-06-01,3.958333,5.125000,3.895833,4.729167,4.729167,30841200
1995-07-01,4.708333,5.687500,4.500000,5.666667,5.666667,26410800
1995-08-01,5.750000,5.791667,4.791667,5.354167,5.354167,47092200
1995-09-01,5.354167,5.895833,4.083333,4.208333,4.208333,45348600
1995-10-01,4.229167,4.250000,2.604167,3.291667,3.291667,91201800
1995-11-01,3.312500,4.166667,3.291667,3.395833,3.395833,39670800
1995-12-01,3.395833,3.666667,2.416667,3.104167,3.104167,58954800
1996-01-01,3.145833,3.229167,2.625000,2.666667,2.666667,19528800
1996-02-01,2.666667,3.520833,2.625000,3.395833,3.395833,26770200
1996-03-01,3.395833,4.000000,3.062500,3.812500,3.812500,25648200
1996-04-01,3.812500,4.375000,3.312500,4.020833,4.020833,43971000
1996-05-01,4.062500,4.250000,3.604167,4.020833,4.020833,29303400
1996-06-01,4.020833,4.208333,3.062500,3.208333,3.208333,27090600
1996-07-01,3.208333,3.208333,2.687500,3.020833,3.020833,16783200
