Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.500000,1.531250,1.171875,1.328125,0.667398,11206400
1991-02-01,1.328125,1.625000,1.296875,1.484375,0.745915,18678400
1991-03-01,1.484375,1.843750,1.484375,1.781250,0.895098,7454400
1991-04-01,1.812500,1.921875,1.640625,1.687500,0.853404,16110400
1991-05-01,1.656250,1.937500,1.656250,1.734375,0.877110,6561600
1991-06-01,1.718750,1.781250,1.546875,1.718750,0.869207,7361600
1991-07-01,1.703125,2.015625,1.687500,1.984375,1.009654,6779200
1991-08-01,2.000000,2.109375,1.906250,2.070313,1.053379,7267200
1991-09-01,2.093750,2.171875,2.015625,2.125000,1.081204,5108800
1991-10-01,2.140625,2.375000,2.109375,2.296875,1.174396,19260800
1991-11-01,2.265625,2.312500,2.046875,2.054688,1.050565,13795200
1991-12-01,2.093750,2.859375,2.062500,2.812500,1.438037,13017600
1992-01-01,2.750000,3.109375,2.562500,2.906250,1.493653,31608000
1992-02-01,2.859375,2.890625,2.734375,2.843750,1.461531,10611200
1992-03-01,2.796875,2.890625,2.281250,2.296875,1.180467,15196800
1992-04-01,2.296875,2.343750,2.046875,2.156250,1.113365,21188800
1992-05-01,2.132813,2.359375,2.109375,2.234375,1.153705,14094400
1992-06-01,2.250000,2.359375,2.140625,2.335938,1.206146,9363200
1992-07-01,2.359375,2.625000,2.328125,2.593750,1.346316,12758400
1992-08-01,2.593750,2.671875,2.343750,2.382813,1.236826,8192000
1992-09-01,2.406250,2.562500,2.218750,2.296875,1.192219,9062400
1992-10-01,2.328125,2.500000,2.281250,2.375000,1.238716,6129600
1992-11-01,2.390625,2.718750,2.359375,2.703125,1.409855,8320000
1992-12-01,2.679688,2.921875,2.664063,2.843750,1.483200,19024000
1993-01-01,2.796875,3.187500,2.796875,3.070313,1.609226,17345600
1993-02-01,3.062500,3.109375,2.656250,2.828125,1.482289,12222400
1993-03-01,2.812500,3.000000,2.718750,2.765625,1.449532,9464000
1993-04-01,2.718750,2.765625,2.531250,2.726563,1.435649,17625600
1993-05-01,2.781250,3.015625,2.734375,2.921875,1.538487,11491200
1993-06-01,2.875000,2.921875,2.687500,2.875000,1.513807,12001600
1993-07-01,2.867188,3.406250,2.828125,3.390625,1.793769,24323200
1993-08-01,3.375000,3.812500,3.187500,3.765625,1.992159,33182400
1993-09-01,3.734375,3.953125,3.609375,3.835938,2.029357,20760000
1993-10-01,3.796875,4.109375,3.515625,3.687500,1.957567,20220800
1993-11-01,3.687500,3.984375,3.531250,3.750000,1.990745,25001600
1993-12-01,3.812500,3.906250,3.375000,3.625000,1.924388,18460800
1994-01-01,3.562500,4.062500,3.281250,4.062500,2.166523,24936800
1994-02-01,4.062500,4.250000,3.812500,3.906250,2.083196,18502400
1994-03-01,3.812500,4.781250,3.468750,3.500000,1.866544,27271200
1994-04-01,3.453125,3.687500,3.359375,3.562500,1.906355,17429600
1994-05-01,3.562500,3.781250,3.546875,3.773438,2.019231,18903200
1994-06-01,3.781250,3.968750,3.281250,3.312500,1.772576,27726400
1994-07-01,3.343750,3.562500,3.078125,3.507813,1.885125,21101600
1994-08-01,3.468750,4.343750,3.468750,4.000000,2.149630,15676800
1994-09-01,4.000000,4.281250,3.906250,4.187500,2.250395,14225600
1994-10-01,4.187500,4.312500,3.718750,4.281250,2.309738,20652000
1994-11-01,4.250000,4.265625,3.656250,3.656250,1.972550,12360800
1994-12-01,3.656250,3.906250,3.468750,3.750000,2.023129,14701600
1995-01-01,3.687500,3.781250,3.375000,3.437500,1.864479,15536800
1995-02-01,3.437500,4.140625,3.406250,4.000000,2.169576,22412800
1995-03-01,3.953125,4.656250,3.843750,4.546875,2.466197,20482400
1995-04-01,4.500000,5.125000,4.437500,4.593750,2.504045,22281600
1995-05-01,4.593750,4.968750,4.406250,4.562500,2.487010,21030400
1995-06-01,4.562500,4.937500,4.437500,4.812500,2.623285,20063200
1995-07-01,4.843750,5.500000,4.218750,5.500000,3.011331,29404800
1995-08-01,5.437500,6.125000,5.218750,5.937500,3.250868,28651200
1995-09-01,5.875000,6.468750,5.562500,6.406250,3.507518,20807200
1995-10-01,6.406250,6.437500,5.625000,6.218750,3.416365,21307200
1995-11-01,6.218750,7.093750,6.156250,6.609375,3.630962,26652800
1995-12-01,6.593750,6.968750,5.812500,6.156250,3.382030,23993600
1996-01-01,6.078125,6.812500,5.328125,6.750000,3.723625,44153600
1996-02-01,6.781250,6.968750,6.156250,6.718750,3.706385,18672000
1996-03-01,6.781250,7.312500,6.500000,6.625000,3.654668,27618400
1996-04-01,6.718750,7.468750,6.687500,6.968750,3.858898,19924800
1996-05-01,7.125000,7.437500,6.187500,7.000000,3.876203,10856800
1996-06-01,6.937500,7.812500,6.500000,7.687500,4.256901,11112000
1996-07-01,7.750000,7.750000,5.687500,7.031250,3.908294,25976800
1996-08-01,6.906250,7.781250,6.906250,7.250000,4.029887,12008400
1996-09-01,7.125000,8.937500,7.125000,8.125000,4.516252,18002000
1996-10-01,8.187500,9.125000,8.000000,8.531250,4.757434,15169200
1996-11-01,8.468750,9.500000,8.468750,9.031250,5.036257,11979600
1996-12-01,9.031250,11.406250,8.625000,10.875000,6.064422,17187200
1997-01-01,10.937500,11.375000,10.093750,10.312500,5.767313,17530400
1997-02-01,10.375000,13.562500,10.375000,11.031250,6.169280,27967600
1997-03-01,11.062500,12.500000,9.281250,9.281250,5.190583,19963200
1997-04-01,9.281250,12.000000,9.125000,11.562500,6.486431,25977600
1997-05-01,11.750000,12.656250,10.500000,12.312500,6.907172,24755200
1997-06-01,12.500000,13.000000,11.687500,12.906250,7.240256,16780000
1997-07-01,12.878906,14.687500,12.500000,13.562500,7.628241,20186000
1997-08-01,13.687500,14.437500,12.843750,13.750000,7.733698,17741600
1997-09-01,13.812500,16.968750,13.687500,16.812500,9.456205,17440000
1997-10-01,16.718750,18.437500,14.625000,16.562500,9.334334,31808400
