Date,Open,High,Low,Close,Adj Close,Volume
1994-03-01,1.375000,1.578125,1.312500,1.437500,1.250135,25761600
1994-04-01,1.421875,1.515625,1.359375,1.515625,1.318077,9470400
1994-05-01,1.515625,1.515625,1.390625,1.500000,1.304488,11724800
1994-06-01,1.515625,1.632813,1.468750,1.578125,1.372430,5552000
1994-07-01,1.609375,1.781250,1.531250,1.671875,1.453961,8835200
1994-08-01,1.656250,1.687500,1.546875,1.687500,1.467549,5878400
1994-09-01,1.656250,1.750000,1.640625,1.746094,1.518507,13660800
1994-10-01,1.718750,1.765625,1.484375,1.656250,1.440373,13472000
1994-11-01,1.656250,1.656250,1.453125,1.515625,1.318077,12963200
1994-12-01,1.492188,1.515625,1.187500,1.312500,1.141427,22532800
1995-01-01,1.312500,1.515625,1.265625,1.437500,1.250135,4419200
1995-02-01,1.437500,1.453125,1.406250,1.453125,1.263723,16126400
1995-03-01,1.453125,1.453125,1.281250,1.328125,1.155016,2841600
1995-04-01,1.281250,1.359375,1.281250,1.328125,1.155016,5956800
1995-05-01,1.328125,1.390625,1.203125,1.234375,1.073485,10550400
1995-06-01,1.234375,1.234375,1.140625,1.203125,1.046308,8886400
1995-07-01,1.203125,1.531250,1.203125,1.468750,1.277312,5987200
1995-08-01,1.437500,1.484375,1.406250,1.406250,1.222958,15124800
1995-09-01,1.406250,1.468750,1.187500,1.250000,1.087074,2137600
1995-10-01,1.234375,1.250000,0.984375,0.984375,0.856071,4027200
1995-11-01,0.984375,1.250000,0.914063,1.250000,1.087074,22371200
1995-12-01,1.250000,1.281250,1.203125,1.234375,1.073485,4056000
1996-01-01,1.281250,1.421875,1.234375,1.406250,1.222958,4216000
1996-02-01,1.375000,1.546875,1.375000,1.531250,1.331665,20438400
1996-03-01,1.546875,1.718750,1.500000,1.656250,1.440373,9592000
1996-04-01,1.656250,1.703125,1.437500,1.437500,1.250135,11395200
1996-05-01,1.437500,1.562500,1.375000,1.546875,1.345254,13507200
1996-06-01,1.546875,1.640625,1.421875,1.421875,1.236547,8966400
1996-07-01,1.468750,1.468750,1.296875,1.339844,1.165207,4779200
1996-08-01,1.296875,1.437500,1.296875,1.437500,1.250135,5486400
1996-09-01,1.421875,1.437500,1.328125,1.335938,1.161810,14851200
1996-10-01,1.328125,1.390625,1.226563,1.296875,1.127839,13672000
1996-11-01,1.320313,1.421875,1.296875,1.312500,1.141427,5710400
1996-12-01,1.312500,1.359375,1.265625,1.289063,1.121045,2152000
1997-01-01,1.265625,1.312500,1.234375,1.265625,1.100662,9600000
1997-02-01,1.312500,1.312500,1.187500,1.203125,1.046308,11097600
1997-03-01,1.203125,1.234375,1.140625,1.203125,1.046308,3630400
1997-04-01,1.203125,1.234375,1.078125,1.171875,1.019131,5368000
1997-05-01,1.171875,1.328125,1.171875,1.281250,1.114250,15000000
1997-06-01,1.296875,1.343750,1.078125,1.125000,0.978366,6059200
1997-07-01,1.093750,1.140625,1.015625,1.078125,0.937601,9368000
1997-08-01,1.078125,1.171875,1.015625,1.125000,0.978366,2668800
1997-09-01,1.171875,1.289063,1.109375,1.234375,1.073485,2716800
1997-10-01,1.250000,1.375000,1.156250,1.234375,1.073485,7929600
1997-11-01,1.203125,1.234375,0.859375,1.000000,0.869659,2755200
1997-12-01,1.007813,1.031250,0.867188,0.921875,0.801717,4332800
1998-01-01,0.890625,0.921875,0.835938,0.875000,0.760952,9763200
1998-02-01,0.898438,1.171875,0.859375,1.156250,1.005543,9092800
1998-03-01,1.164063,1.460938,1.078125,1.289063,1.121045,14712000
1998-04-01,1.328125,1.671875,1.281250,1.609375,1.399608,13094400
1998-05-01,1.671875,1.671875,1.480469,1.507813,1.311283,9292800
1998-06-01,1.507813,1.609375,1.398438,1.554688,1.352048,8483200
1998-07-01,1.562500,1.632813,1.531250,1.531250,1.331665,11896000
1998-08-01,1.531250,1.609375,1.234375,1.234375,1.073485,25716800
1998-09-01,1.250000,1.304688,1.093750,1.234375,1.073485,7936000
1998-10-01,1.250000,1.625000,1.203125,1.546875,1.345254,8211200
1998-11-01,1.546875,1.687500,1.445313,1.640625,1.426784,5219200
1998-12-01,1.613281,1.640625,1.171875,1.500000,1.304488,5392000
1999-01-01,1.531250,1.722656,1.304688,1.718750,1.494726,8920000
1999-02-01,1.718750,1.890625,1.562500,1.726563,1.501521,14992000
1999-03-01,1.726563,1.828125,1.515625,1.597656,1.389416,6574400
1999-04-01,1.601563,1.875000,1.578125,1.718750,1.494726,16152000
1999-05-01,1.750000,1.875000,1.718750,1.859375,1.617022,12134400
1999-06-01,1.859375,1.906250,1.562500,1.707031,1.484535,11544000
1999-07-01,1.742188,1.750000,1.097656,1.218750,1.059897,41454400
1999-08-01,1.222656,1.289063,1.109375,1.289063,1.121045,16161600
1999-09-01,1.273438,1.437500,1.125000,1.187500,1.032720,5184000
1999-10-01,1.171875,1.250000,1.007813,1.250000,1.087074,16867200
1999-11-01,1.210938,1.304688,1.046875,1.058594,0.920615,10832000
1999-12-01,1.062500,1.078125,0.796875,1.000000,0.869659,21204800
2000-01-01,1.003906,1.171875,0.914063,1.125000,0.978366,7723200
2000-02-01,1.085938,1.156250,0.949219,1.125000,0.978366,9616000
2000-03-01,1.125000,1.312500,1.000000,1.281250,1.114250,6675200
2000-04-01,1.296875,1.375000,1.000000,1.031250,0.896836,5052800
2000-05-01,1.062500,1.179688,0.921875,0.945313,0.822100,5104000
2000-06-01,0.945313,1.117188,0.750000,1.035156,0.900233,10892800
2000-07-01,1.023438,1.074219,0.785156,0.914063,0.794923,8168000
2000-08-01,0.894531,0.921875,0.750000,0.812500,0.706598,4515200
2000-09-01,0.816406,0.855469,0.605469,0.687500,0.597891,10275200
2000-10-01,0.691406,0.691406,0.531250,0.566406,0.492580,14505600
2000-11-01,0.560547,0.587891,0.406250,0.464844,0.404256,9460800
2000-12-01,0.500000,0.562500,0.457031,0.531250,0.462006,17937600
2001-01-01,0.531250,0.921875,0.531250,0.921875,0.801717,13033600
2001-02-01,0.925781,0.929688,0.851563,0.902344,0.784732,12012800
2001-03-01,0.906250,0.933594,0.820313,0.875000,0.760952,9540800
2001-04-01,0.888672,0.950000,0.843750,0.950000,0.826176,7059200
2001-05-01,0.943750,1.028125,0.943125,0.971250,0.844656,7064000
2001-06-01,0.968125,1.025000,0.950000,0.999375,0.869115,10920000
2001-07-01,0.993750,1.488125,0.925000,1.375000,1.195781,21222400
2001-08-01,1.359375,1.530000,1.223750,1.493750,1.299053,8416000
2001-09-01,1.496250,1.511875,1.061875,1.186875,1.032177,11116800
2001-10-01,1.156250,1.812500,1.091875,1.687500,1.467549,41312000
2001-11-01,1.695000,2.018750,1.632500,1.834375,1.595281,35553600
2001-12-01,1.796875,2.186250,1.781875,2.130000,1.852373,26200000
2002-01-01,2.140625,2.543750,2.106250,2.326875,2.023588,53579200
2002-02-01,2.341875,2.788125,2.262500,2.706875,2.354059,28240000
2002-03-01,2.749375,2.912500,2.515625,2.875000,2.500269,21457600
2002-04-01,2.884375,3.500000,2.849375,3.446875,2.997606,48294400
2002-05-01,3.469375,3.746250,3.381250,3.491875,3.036740,25641600
2002-06-01,3.450000,4.578125,3.450000,4.436875,3.858569,52950400
2002-07-01,4.425000,4.433750,3.173125,3.736250,3.249263,60019200
2002-08-01,3.968750,4.473750,3.550000,4.153750,3.612345,33285600
2002-09-01,4.112500,4.512500,3.710000,3.972500,3.454720,26996000
2002-10-01,3.902500,5.037500,3.513750,4.748750,4.129793,45559200
2002-11-01,4.792500,5.687500,4.625000,5.558750,4.834217,67040000
2002-12-01,5.625000,5.655000,4.240000,4.700000,4.087398,43829600
2003-01-01,4.757500,5.507500,4.590000,4.613750,4.012389,58080800
2003-02-01,4.613750,4.637500,3.800000,4.133750,3.594953,58564800
2003-03-01,4.086250,4.437500,3.672500,4.127500,3.589517,81072800
2003-04-01,4.206250,5.431250,4.075000,5.290000,4.600496,58025600
2003-05-01,5.271250,5.776250,4.781250,5.662500,4.924445,64120800
2003-06-01,5.680000,6.648750,5.637500,5.920000,5.148380,55977600
2003-07-01,5.920000,7.150000,5.756250,6.925000,6.022390,52775200
2003-08-01,6.922500,8.862500,6.581250,8.625000,7.500809,51644800
2003-09-01,8.817500,9.525000,8.165000,8.202500,7.133378,45335600
2003-10-01,8.085000,11.047500,7.837500,10.510000,9.140118,54448400
2003-11-01,10.602500,10.990000,9.987500,10.885000,9.466234,29220000
2003-12-01,11.115000,11.217500,9.125000,9.747500,8.476998,43272800
2004-01-01,9.735000,11.455000,9.325000,10.587500,9.207516,43120400
2004-02-01,10.565000,10.932500,10.137500,10.705000,9.309698,26280000
2004-03-01,10.730000,11.095000,9.625000,9.680000,8.418298,25779200
2004-04-01,9.677500,10.742500,9.500000,9.737500,8.468305,30126400
2004-05-01,9.782500,10.000000,8.345000,9.632500,8.376990,32889600
2004-06-01,9.675000,10.545000,9.317500,10.455000,9.092285,21934000
2004-07-01,10.532500,10.532500,8.542500,9.077500,7.894329,38823600
2004-08-01,9.040000,9.100000,8.075000,8.705000,7.570379,25040400
2004-09-01,8.652500,9.952500,7.760000,7.860000,6.835519,42289600
2004-10-01,7.962500,9.217500,7.560000,9.070000,7.887804,39812400
2004-11-01,9.075000,9.247500,7.930000,7.930000,6.896394,43287600
2004-12-01,8.000000,9.432500,7.995000,9.302500,8.090002,29695600
2005-01-01,9.375000,9.442500,8.300000,8.950000,7.783448,28696400
2005-02-01,8.875000,11.362500,8.875000,10.647500,9.259696,45420400
2005-03-01,10.650000,11.180000,10.435000,10.912500,9.490153,23307200
2005-04-01,10.917500,11.230000,9.812500,10.055000,8.744423,39922400
2005-05-01,10.027500,11.110000,10.000000,11.105000,9.657560,26567600
2005-06-01,11.062500,12.550000,11.000000,12.275000,10.675065,30080400
2005-07-01,12.337500,14.660000,11.977500,14.055000,12.223055,30716400
2005-08-01,14.055000,14.350000,12.287500,12.865000,11.188163,37800000
2005-09-01,12.775000,13.307500,11.275000,11.412500,9.924987,39234400
2005-10-01,11.382500,12.307500,10.187500,12.125000,10.544613,46642400
2005-11-01,12.155000,13.495000,12.077500,13.465000,11.709958,23904400
2005-12-01,13.462500,14.235000,13.150000,13.235000,11.509933,26499200
2006-01-01,13.337500,13.950000,12.125000,12.770000,11.105540,29758400
2006-02-01,12.720000,16.092501,12.612500,15.795000,13.736264,46346000
2006-03-01,15.762500,16.897499,15.250000,16.584999,14.423291,26570000
2006-04-01,16.584999,16.605000,15.142500,16.197500,14.086300,18186000
2006-05-01,16.177500,16.337500,13.625000,13.902500,12.090435,25532000
2006-06-01,13.985000,15.110000,11.537500,13.817500,12.016512,68814800
2006-07-01,13.725000,13.772500,10.917500,11.435000,9.944552,52099600
2006-08-01,11.397500,12.037500,10.345000,10.645000,9.257518,33901200
2006-09-01,10.705000,12.372500,9.687500,12.065000,10.492435,42278000
2006-10-01,12.035000,13.530000,11.917500,12.105000,10.527223,55891200
2006-11-01,12.120000,12.540000,11.497500,11.900000,10.348940,34511600
2006-12-01,11.867500,12.557500,10.940000,11.177500,9.720613,35673200
2007-01-01,11.235000,12.720000,11.217500,12.582500,10.942483,49587600
2007-02-01,12.012500,12.947500,11.387500,12.792500,11.125111,55883600
2007-03-01,12.607500,13.540000,12.317500,12.875000,11.196860,60555200
2007-04-01,12.910000,14.425000,12.665000,12.935000,11.249040,56710000
2007-05-01,13.052500,13.420000,12.477500,13.302500,11.568642,36560000
2007-06-01,13.280000,13.750000,12.790000,13.012500,11.316439,38900800
2007-07-01,13.055000,13.162500,11.302500,11.880000,10.331547,54367600
2007-08-01,11.920000,13.387500,11.050000,12.040000,10.470693,57527200
2007-09-01,12.057500,12.900000,11.235000,11.522500,10.020646,23566000
2007-10-01,11.475000,12.312500,10.182500,10.360000,9.009666,44422000
2007-11-01,10.187500,10.520000,9.625000,10.255000,8.918355,43452800
2007-12-01,10.305000,10.360000,8.772500,8.985000,7.813886,35300000
2008-01-01,8.922500,9.972500,7.002500,9.635000,8.379166,66327200
2008-02-01,9.715000,10.492500,9.305000,9.360000,8.140010,39057600
2008-03-01,9.322500,10.812500,8.767500,9.880000,8.592230,34127200
2008-04-01,9.762500,10.517500,8.267500,8.890000,7.731267,58774000
2008-05-01,8.870000,9.202500,7.832500,8.542500,7.429062,39581600
2008-06-01,8.872500,9.090000,7.095000,7.260000,6.313723,74761200
2008-07-01,7.167500,10.250000,6.675000,9.502500,8.263935,94119200
2008-08-01,9.560000,11.142500,9.370000,10.655000,9.266214,60066800
2008-09-01,10.932500,11.875000,10.277500,10.512500,9.142290,63644400
2008-10-01,10.487500,10.607500,8.092500,10.390000,9.035759,104824400
2008-11-01,10.370000,10.687500,7.922500,9.595000,8.344378,62456800
2008-12-01,9.465000,10.815000,8.152500,9.035000,7.857367,78216800
2009-01-01,9.222500,9.312500,7.752500,8.427500,7.329052,74068400
2009-02-01,8.317500,8.942500,7.510000,7.810000,6.792036,49803200
2009-03-01,7.707500,9.492500,7.167500,9.015000,7.839974,62862000
2009-04-01,8.922500,10.930000,8.867500,10.095000,8.779206,56774800
2009-05-01,10.102500,10.147500,8.542500,9.595000,8.344378,38630800
2009-06-01,9.650000,10.700000,9.185000,10.330000,8.983575,47240800
2009-07-01,10.472500,12.192500,9.920000,11.992500,10.429384,67064400
2009-08-01,12.042500,12.247500,10.965000,11.770000,10.235886,35104400
2009-09-01,11.682500,12.217500,11.397500,12.105000,10.527223,31572800
2009-10-01,12.015000,13.625000,11.157500,11.175000,9.718437,60976000
2009-11-01,11.305000,12.332500,11.082500,11.672500,10.151093,27883200
2009-12-01,11.722500,13.625000,11.700000,13.242500,11.516457,29569200
2010-01-01,13.300000,13.605000,12.280000,12.617500,10.972921,37714000
2010-02-01,12.722500,13.880000,12.450000,13.680000,11.896935,22243600
2010-03-01,13.950000,15.142500,13.825000,14.512500,12.620925,32996400
2010-04-01,14.562500,17.965000,14.552500,16.792500,14.639206,37268400
2010-05-01,16.807501,17.905001,14.812500,16.940001,14.767804,38512800
2010-06-01,16.867500,17.344999,15.132500,15.242500,13.314685,86710000
2010-07-01,15.225000,17.625000,14.775000,17.377501,15.179654,50233600
2010-08-01,17.555000,18.097500,16.587500,16.995001,14.845529,35818400
2010-09-01,17.117500,19.975000,17.067499,19.830000,17.357609,29346000
2010-10-01,19.950001,20.264999,18.500000,19.790001,17.322590,34371600
2010-11-01,19.900000,21.389999,19.410000,21.235001,18.587435,17484000
2010-12-01,21.540001,24.735001,21.485001,24.245001,21.258125,25478000
2011-01-01,24.535000,26.594999,22.625000,25.655001,22.494421,33171000
2011-02-01,25.665001,26.975000,24.525000,26.035000,22.827612,21765000
2011-03-01,26.055000,29.995001,25.174999,29.930000,26.277485,29838400
2011-04-01,30.000000,32.500000,29.719999,30.934999,27.159838,38352600
2011-05-01,31.209999,31.995001,28.555000,31.580000,27.726124,31596800
2011-06-01,31.590000,34.099998,28.870001,33.439999,29.416788,31710800
2011-07-01,33.610001,36.544998,31.920000,32.959999,28.994534,37392200
2011-08-01,33.174999,33.314999,24.510000,30.684999,26.993254,37106000
2011-09-01,30.785000,35.049999,28.365000,31.264999,27.562160,32123000
2011-10-01,31.010000,37.255001,29.245001,35.470001,31.269135,38489200
