Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.872780,4.569880,3.614594,4.466606,2.586953,35129806
1991-02-01,4.440787,5.447710,4.337513,5.370254,3.110325,43462970
1991-03-01,5.344436,5.550984,4.466606,4.789337,2.793590,44624925
1991-04-01,4.840974,5.189525,4.544061,4.647335,2.710761,30740518
1991-05-01,4.647335,5.370254,4.647335,5.370254,3.132435,18281444
1991-06-01,5.357345,5.550984,5.034613,5.215343,3.064117,25213481
1991-07-01,5.254071,5.486438,5.150797,5.215343,3.064117,20043741
1991-08-01,5.228252,5.370254,4.621517,4.957158,2.912429,30775377
1991-09-01,4.905521,5.292799,4.879702,5.124978,3.030982,17578462
1991-10-01,5.124978,5.421891,4.815156,5.254071,3.107329,23874326
1991-11-01,5.279889,5.512256,4.440787,4.647335,2.748496,22367655
1991-12-01,4.660245,5.680077,4.350422,5.680077,3.380833,27307907
1992-01-01,5.654258,6.196447,5.421891,6.118992,3.642077,34132465
1992-02-01,6.054445,6.854820,5.873716,6.364268,3.788070,27196552
1992-03-01,6.364268,6.777364,6.093173,6.428814,3.847649,28727429
1992-04-01,6.351358,6.583725,5.770441,6.299721,3.770385,26059770
1992-05-01,6.248084,6.661181,6.144810,6.286812,3.762661,13287938
1992-06-01,6.286812,6.506270,5.241162,5.680077,3.418560,21618194
1992-07-01,5.731714,5.886625,5.163706,5.731714,3.449638,18693937
1992-08-01,5.783351,5.989899,5.163706,5.266980,3.169936,17062841
1992-09-01,5.266980,6.248084,5.241162,6.015717,3.645462,26578295
1992-10-01,5.989899,6.686999,5.447710,6.273903,3.801917,21732939
1992-11-01,6.222266,7.074277,5.964080,6.557907,3.974022,30275736
1992-12-01,6.506270,6.609544,5.989899,6.015717,3.666074,23300611
1993-01-01,5.964080,7.151733,5.938262,6.919366,4.216772,26519227
1993-02-01,6.867729,7.513192,6.454633,7.125914,4.342645,31161728
1993-03-01,7.074277,7.125914,6.196447,6.428814,3.937651,33425123
1993-04-01,6.377177,6.971003,6.093173,6.738636,4.127417,30684842
1993-05-01,6.790273,7.151733,6.609544,6.971003,4.269742,21628845
1993-06-01,6.971003,7.306644,6.816092,6.996822,4.307892,22842121
1993-07-01,7.022640,7.125914,6.402995,6.816092,4.196617,27960055
1993-08-01,6.712818,8.029563,6.635362,7.797196,4.800675,28857182
1993-09-01,7.797196,8.210293,7.384100,7.823015,4.840352,25213966
1993-10-01,7.797196,7.848833,7.229188,7.539011,4.664629,29772704
1993-11-01,7.487374,7.926289,7.409918,7.900470,4.888274,22522582
1993-12-01,7.900470,8.236111,7.461555,7.900470,4.911426,20189473
1994-01-01,8.055381,8.597570,7.461555,7.900470,4.911426,48686448
1994-02-01,7.900470,8.236111,7.693922,7.926289,4.927478,19343181
1994-03-01,7.926289,8.261930,7.151733,7.693922,4.804310,23819136
1994-04-01,7.590648,7.797196,6.764455,7.229188,4.514114,26071876
1994-05-01,7.539011,7.539011,7.022640,7.229188,4.514114,22325051
1994-06-01,7.255007,8.029563,7.151733,7.255007,4.553250,19699028
1994-07-01,7.255007,7.616466,7.255007,7.513192,4.715289,12523467
1994-08-01,7.539011,8.003744,7.332463,7.874652,4.942138,18484786
1994-09-01,7.874652,7.874652,7.100096,7.306644,4.609019,16931639
1994-10-01,7.332463,7.487374,6.867729,7.358281,4.641591,19233281
1994-11-01,7.332463,7.409918,6.351358,6.661181,4.201863,24473703
1994-12-01,6.686999,6.738636,6.093173,6.506270,4.126351,26418041
1995-01-01,6.532088,7.022640,6.351358,6.557907,4.159099,26980621
1995-02-01,6.661181,6.816092,6.299721,6.583725,4.175474,19490846
1995-03-01,6.583725,6.790273,5.860806,6.790273,4.332014,41310446
1995-04-01,6.790273,7.487374,6.738636,7.384100,4.710858,35806647
1995-05-01,7.384100,8.003744,7.332463,7.693922,4.908513,34058387
1995-06-01,7.668103,8.132837,7.435737,7.900470,5.065701,38096671
1995-07-01,7.926289,8.700845,7.797196,8.623389,5.529232,33052328
1995-08-01,8.597570,8.752482,7.771378,7.823015,5.016037,24155616
1995-09-01,7.874652,8.442659,7.358281,7.745559,4.989452,28596227
1995-10-01,7.745559,7.771378,7.125914,7.306644,4.706717,24593772
1995-11-01,7.461555,7.977926,7.100096,7.926289,5.105872,31063444
1995-12-01,7.900470,7.926289,6.945185,7.255007,4.697260,28198740
1996-01-01,7.435737,8.416841,7.255007,8.287748,5.365911,36194452
1996-02-01,8.236111,8.829937,8.055381,8.442659,5.466208,24996582
1996-03-01,8.442659,8.855756,8.261930,8.416841,5.473747,26240843
1996-04-01,8.468478,8.545933,7.693922,8.003744,5.205095,29846297
1996-05-01,8.055381,9.139760,7.771378,8.700845,5.658442,36792855
1996-06-01,8.649208,9.165578,8.287748,9.036486,5.903114,26172577
1996-07-01,9.010667,9.113941,7.823015,8.804119,5.751320,29961039
1996-08-01,8.778300,9.707767,8.597570,8.829937,5.768187,32233632
1996-09-01,8.675026,9.811041,8.597570,9.811041,6.438344,23989067
1996-10-01,9.811041,9.836860,8.442659,8.597570,5.642022,30878985
1996-11-01,8.597570,9.681949,8.391022,9.604493,6.302800,33437227
1996-12-01,9.578675,9.836860,8.959030,9.191397,6.060027,20876479
1997-01-01,9.191397,9.578675,8.855756,9.423763,6.213228,32549295
1997-02-01,9.423763,10.198319,9.268852,9.811041,6.468565,24529377
1997-03-01,9.811041,10.017590,8.984848,8.984848,5.949057,36175085
1997-04-01,8.881574,10.198319,8.623389,10.146682,6.718329,44729018
1997-05-01,10.095045,11.360153,9.991771,11.282698,7.470510,33123011
1997-06-01,11.334335,12.935084,11.205242,12.754354,8.478106,40294703
1997-07-01,12.754354,14.122736,12.547806,14.058190,9.344803,29138474
1997-08-01,14.071099,14.122736,12.392894,12.418713,8.254998,34200726
1997-09-01,12.392894,13.535364,11.618339,13.341725,8.900143,28722910
1997-10-01,13.399817,14.329284,11.095513,12.063708,8.047591,31812102
1997-11-01,12.237983,12.741445,10.746963,12.663989,8.448030,47286775
1997-12-01,12.663989,13.148086,11.889433,12.547806,8.404089,27585162
1998-01-01,12.625261,12.896356,11.308516,12.354167,8.274399,34517521
1998-02-01,12.547806,14.794018,12.547806,14.755290,9.882587,33040546
1998-03-01,14.677834,15.258751,14.251829,14.852109,9.981560,26532302
1998-04-01,14.852109,16.730408,14.174373,14.271192,9.591145,39573647
1998-05-01,14.329284,14.871473,13.806459,13.961370,9.382925,25868694
1998-06-01,14.000098,14.058190,12.702717,13.651548,9.204354,33192890
1998-07-01,13.709639,14.542287,12.431622,13.709639,9.243523,56376500
1998-08-01,13.748367,14.755290,12.315439,12.315439,8.303504,37406271
1998-09-01,12.315439,13.012539,10.805055,11.753886,7.951503,39984201
1998-10-01,11.695794,15.684757,10.533960,15.665393,10.597633,49125570
1998-11-01,15.665393,16.149490,13.748367,14.522923,9.824754,40081034
1998-12-01,14.406740,14.774654,12.605897,14.639107,9.935579,35431270
1999-01-01,14.484195,15.452390,13.825823,14.755290,10.014429,27273372
1999-02-01,14.948929,15.917124,14.484195,14.755290,10.014429,35868298
1999-03-01,14.716562,16.246309,14.522923,15.374935,10.466501,38041801
1999-04-01,15.800940,21.997389,15.452390,21.435835,14.592462,57598490
1999-05-01,21.358379,22.868763,19.673719,19.731812,13.432449,42680588
1999-06-01,19.654356,21.668201,19.112167,20.022270,13.659925,38651506
1999-07-01,20.022270,20.060999,18.589342,19.925451,13.593872,37041549
1999-08-01,19.847996,20.971102,17.814787,19.712448,13.448552,40422843
1999-09-01,19.634993,19.847996,16.420586,17.020866,11.644445,42172554
1999-10-01,16.885319,18.124607,14.329284,16.188217,11.074811,50090640
1999-11-01,16.420586,16.420586,14.174373,15.007021,10.266719,61600138
1999-12-01,14.948929,17.117685,13.903278,17.059593,11.713028,58987027
2000-01-01,16.904682,17.892241,13.787095,14.581015,10.011249,54892099
2000-02-01,14.484195,14.832745,10.882510,11.870069,8.149928,69989138
