Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.351563,2.640625,2.125000,2.335938,1.435749,217312000
1991-02-01,2.328125,2.718750,2.273438,2.593750,1.594210,138902400
1991-03-01,2.585938,2.859375,2.335938,2.492188,1.531787,132566400
1991-04-01,2.476563,2.976563,2.476563,2.515625,1.553203,175854400
1991-05-01,2.515625,2.554688,2.250000,2.445313,1.509790,137276800
1991-06-01,2.468750,2.523438,2.031250,2.078125,1.283080,119518400
1991-07-01,2.164063,2.343750,1.984375,2.031250,1.260914,113622400
1991-08-01,2.015625,2.132813,1.843750,1.976563,1.226967,125766400
1991-09-01,1.976563,2.015625,1.726563,1.765625,1.096025,111510400
1991-10-01,1.765625,2.062500,1.734375,1.976563,1.234532,128331200
1991-11-01,1.968750,2.046875,1.734375,1.742188,1.088145,102152000
1991-12-01,1.718750,1.960938,1.625000,1.921875,1.200375,110107200
1992-01-01,1.906250,2.304688,1.875000,2.234375,1.405147,160049600
1992-02-01,2.210938,2.531250,2.125000,2.343750,1.473930,139744000
1992-03-01,2.203125,2.296875,2.039063,2.039063,1.282319,145574400
1992-04-01,2.015625,2.320313,1.968750,2.164063,1.368093,79985600
1992-05-01,2.171875,2.398438,2.125000,2.351563,1.486628,89681600
1992-06-01,2.343750,2.429688,2.015625,2.195313,1.387849,86345600
1992-07-01,2.226563,2.625000,2.218750,2.617188,1.663200,175478400
1992-08-01,2.578125,2.648438,2.296875,2.414063,1.534114,106547200
1992-09-01,2.445313,2.812500,2.406250,2.710938,1.722776,146409600
1992-10-01,2.718750,3.203125,2.437500,3.070313,1.959125,204825600
1992-11-01,3.054688,3.265625,2.953125,3.070313,1.959125,122728000
1992-12-01,3.070313,3.171875,2.820313,2.914063,1.859424,140793600
1993-01-01,2.914063,3.703125,2.859375,3.375000,2.161843,282475200
1993-02-01,3.390625,3.656250,3.156250,3.531250,2.261929,180051200
1993-03-01,3.539063,3.960938,3.406250,3.640625,2.331988,175169600
1993-04-01,3.625000,3.718750,3.226563,3.562500,2.289050,197257600
1993-05-01,3.562500,4.179688,3.554688,4.046875,2.600279,199486400
1993-06-01,4.054688,4.523438,4.031250,4.367188,2.806094,192171200
1993-07-01,4.375000,4.781250,4.117188,4.421875,2.848773,177766400
1993-08-01,4.437500,5.265625,4.382813,5.039063,3.246394,235328000
1993-09-01,4.953125,5.054688,4.578125,4.718750,3.040033,199592000
1993-10-01,4.781250,4.781250,3.875000,4.101563,2.648545,459523200
1993-11-01,4.140625,4.203125,3.484375,4.015625,2.593051,333952000
1993-12-01,4.062500,4.156250,3.671875,3.968750,2.562783,226768000
1994-01-01,3.953125,4.632813,3.812500,4.375000,2.833616,246310400
1994-02-01,4.398438,5.109375,4.304688,5.062500,3.278897,195153600
1994-03-01,5.078125,5.593750,4.546875,4.828125,3.127096,319683200
1994-04-01,4.718750,5.187500,3.953125,4.781250,3.104199,277217600
1994-05-01,4.796875,5.046875,4.359375,5.015625,3.256367,215292800
1994-06-01,5.007813,5.359375,4.609375,4.968750,3.225931,258683200
1994-07-01,4.968750,5.468750,4.679688,4.914063,3.200887,274942400
1994-08-01,4.914063,5.343750,4.781250,4.867188,3.170355,271153600
1994-09-01,4.828125,4.937500,4.109375,4.250000,2.768336,401937600
1994-10-01,4.296875,4.726563,3.960938,4.679688,3.059553,324180800
1994-11-01,4.656250,5.039063,4.593750,4.718750,3.085093,230086400
1994-12-01,4.695313,4.859375,4.343750,4.679688,3.059553,175644800
1995-01-01,4.687500,4.781250,4.296875,4.312500,2.829330,298561600
1995-02-01,4.328125,5.046875,4.312500,4.921875,3.229126,287196800
1995-03-01,4.968750,6.125000,4.960938,5.531250,3.628923,478192000
1995-04-01,5.539063,6.671875,5.421875,6.625000,4.358066,381166400
1995-05-01,6.609375,7.882813,6.507813,7.226563,4.753788,474276800
1995-06-01,7.265625,9.000000,7.203125,8.367188,5.504116,439707200
1995-07-01,8.312500,9.984375,8.312500,9.765625,6.439579,396595200
1995-08-01,9.734375,10.265625,8.312500,9.328125,6.151087,372692800
1995-09-01,9.312500,10.468750,9.046875,9.984375,6.583824,380944800
1995-10-01,9.968750,10.156250,7.937500,8.562500,5.646222,457327200
1995-11-01,8.531250,8.562500,6.531250,7.234375,4.780616,558109600
1995-12-01,7.093750,7.171875,5.750000,6.437500,4.254025,471246400
1996-01-01,6.406250,6.484375,5.343750,5.796875,3.842897,524918400
1996-02-01,5.750000,6.968750,5.687500,6.234375,4.132928,482237600
1996-03-01,6.156250,6.859375,5.906250,6.359375,4.215794,349925600
1996-04-01,6.328125,7.453125,6.203125,7.062500,4.681912,333732000
1996-05-01,7.031250,7.312500,6.328125,7.031250,4.676823,315859200
1996-06-01,7.015625,7.062500,6.078125,6.234375,4.146783,218428000
1996-07-01,6.375000,6.531250,5.062500,5.406250,3.595958,331677600
1996-08-01,5.421875,6.078125,5.296875,5.843750,3.900253,209612800
1996-09-01,5.750000,7.406250,5.453125,6.890625,4.598963,352719200
1996-10-01,6.843750,7.171875,5.937500,6.015625,4.026796,279982400
1996-11-01,6.015625,8.015625,5.953125,7.968750,5.334197,318448800
1996-12-01,7.937500,8.546875,7.625000,7.968750,5.334197,249892000
1997-01-01,8.000000,10.062500,7.765625,9.796875,6.575323,387696000
1997-02-01,9.921875,10.640625,9.125000,9.640625,6.470450,301756000
1997-03-01,9.656250,10.906250,8.953125,9.359375,6.281687,352785600
1997-04-01,9.359375,11.296875,9.203125,11.156250,7.504206,359043200
1997-05-01,11.171875,12.046875,10.671875,11.218750,7.546246,292104800
1997-06-01,11.234375,11.343750,10.109375,10.507813,7.068036,282593600
1997-07-01,10.531250,14.937500,10.531250,14.375000,9.688054,349072000
1997-08-01,14.468750,16.414063,14.203125,14.203125,9.572213,363406400
1997-09-01,14.281250,17.750000,14.281250,16.750000,11.288684,304044800
1997-10-01,16.898438,17.812500,12.625000,13.335938,8.999315,474901600
1997-11-01,13.562500,15.234375,11.250000,12.406250,8.371943,601651600
1997-12-01,12.437500,13.000000,9.906250,11.250000,7.591686,406602400
1998-01-01,11.406250,14.125000,10.062500,13.656250,9.232982,349020400
1998-02-01,14.093750,15.687500,13.046875,14.500000,9.803440,282443600
1998-03-01,14.437500,14.453125,12.906250,13.531250,9.148467,293502400
1998-04-01,13.531250,16.234375,12.875000,16.031250,10.838710,261607200
1998-05-01,16.000000,16.750000,12.812500,12.859375,8.706437,202361200
1998-06-01,12.750000,15.328125,11.718750,14.578125,9.870129,340317600
1998-07-01,14.750000,15.921875,13.828125,14.843750,10.049963,229696000
1998-08-01,14.750000,15.875000,11.718750,11.843750,8.030385,176389600
1998-09-01,12.312500,14.359375,11.515625,13.250000,8.983864,196011200
