Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,2.856250,5.000000,2.825000,4.788750,4.788750,233988000
2006-01-01,4.648750,5.237500,3.910000,4.998750,4.998750,255068800
2006-02-01,4.968750,5.093750,3.381250,3.523750,3.523750,171244800
2006-03-01,3.500000,4.392500,3.231250,4.050000,4.050000,98536000
2006-04-01,4.087500,5.062500,3.843750,4.597500,4.597500,98681600
2006-05-01,4.598750,4.762500,4.031250,4.462500,4.462500,116972000
2006-06-01,4.493750,5.437500,4.191250,5.327500,5.327500,169377600
2006-07-01,5.345000,5.437500,4.698750,5.018750,5.018750,171274400
2006-08-01,4.995000,5.062500,4.025000,4.305000,4.305000,147574400
2006-09-01,4.312500,5.293750,4.072500,5.002500,5.002500,132999200
2006-10-01,5.000000,6.248750,4.916250,5.793750,5.793750,181416000
2006-11-01,5.870000,6.200000,5.402500,5.865000,5.865000,158475200
2006-12-01,5.883750,6.750000,5.706250,6.306250,6.306250,143060800
2007-01-01,6.343750,6.537500,5.826250,6.350000,6.350000,104583200
2007-02-01,5.815000,6.143750,5.578750,5.737500,5.737500,167400000
2007-03-01,5.687500,6.462500,5.417500,6.412500,6.412500,120761600
2007-04-01,6.407500,6.653750,6.110000,6.312500,6.312500,107480000
2007-05-01,5.767500,6.125000,5.171250,5.978750,5.978750,236175200
2007-06-01,5.998750,6.072500,5.531250,5.706250,5.706250,149537600
2007-07-01,5.858750,8.093750,5.707500,7.676250,7.676250,285549600
2007-08-01,7.676250,9.175000,6.812500,8.126250,8.126250,311651200
2007-09-01,8.038750,8.415000,7.256250,7.477500,7.477500,217568800
2007-10-01,7.562500,7.987500,6.632500,7.781250,7.781250,520240000
2007-11-01,7.523750,7.548750,5.625000,6.210000,6.210000,382904800
2007-12-01,6.310000,6.318750,5.188750,5.458750,5.458750,213920800
2008-01-01,5.461250,5.895000,3.173750,5.031250,5.031250,534868000
2008-02-01,5.183750,5.850000,4.445000,4.602500,4.602500,246746400
2008-03-01,4.587500,4.993750,4.072500,4.575000,4.575000,212710400
2008-04-01,4.593750,4.862500,4.006250,4.166250,4.166250,251259200
2008-05-01,4.230000,4.826250,4.066250,4.475000,4.475000,236247200
2008-06-01,4.500000,4.513750,3.156250,3.205000,3.205000,202329600
2008-07-01,3.163750,4.030000,2.937500,3.643750,3.643750,237224800
2008-08-01,3.730000,4.575000,3.601250,4.213750,4.213750,151276000
2008-09-01,4.311250,5.440000,3.761250,3.970000,3.970000,191560000
2008-10-01,3.947500,3.992500,2.006250,3.250000,3.250000,227398400
2008-11-01,3.250000,3.436250,2.125000,2.873750,2.873750,123562400
2008-12-01,2.796250,3.675000,2.558750,2.980000,2.980000,145122400
2009-01-01,3.008750,3.310000,2.193750,2.312500,2.312500,142819200
2009-02-01,2.280000,2.332500,1.650000,1.798750,1.798750,132591200
2009-03-01,1.811250,2.343750,1.492500,2.053750,2.053750,162459200
2009-04-01,2.013750,3.187500,1.972500,2.942500,2.942500,190514400
2009-05-01,2.926250,3.183750,2.517500,3.067500,3.067500,148721600
2009-06-01,3.123750,3.310000,2.593750,2.797500,2.797500,93850400
2009-07-01,2.845000,3.421250,2.436250,3.036250,3.036250,110525600
2009-08-01,3.062500,3.152500,2.875000,2.983750,2.983750,58865600
2009-09-01,2.962500,3.905000,2.775000,3.478750,3.478750,106676800
2009-10-01,3.471250,4.163750,3.157500,3.356250,3.356250,130308800
2009-11-01,3.405000,3.697500,3.193750,3.200000,3.200000,72911200
2009-12-01,3.226250,3.500000,3.183750,3.408750,3.408750,77195200
2010-01-01,3.433750,3.748750,3.171250,3.175000,3.175000,135619200
2010-02-01,3.225000,3.415000,2.965000,3.257500,3.257500,97583200
2010-03-01,3.270000,3.895000,3.250000,3.676250,3.676250,125397600
2010-04-01,3.718750,4.561250,3.705000,4.218750,4.218750,169274400
2010-05-01,4.250000,4.391250,3.640000,4.211250,4.211250,172250400
2010-06-01,4.138750,4.858750,3.785000,4.141250,4.141250,136842400
2010-07-01,4.126250,5.000000,3.953750,4.695000,4.695000,128876000
2010-08-01,4.788750,4.836250,4.275000,4.483750,4.483750,105784800
2010-09-01,4.595000,5.762500,4.567500,5.630000,5.630000,139487200
2010-10-01,5.665000,6.073750,5.508750,5.835000,5.835000,128673600
2010-11-01,5.868750,7.336250,5.731250,7.216250,7.216250,116443200
2010-12-01,7.312500,7.517500,6.670000,6.855000,6.855000,118876000
2011-01-01,6.872500,7.622500,6.471250,7.482500,7.482500,126120800
2011-02-01,7.500000,8.803750,7.417500,8.278750,8.278750,120975200
2011-03-01,8.285000,8.836250,7.816250,8.506250,8.506250,130803200
2011-04-01,8.558750,10.000000,8.445000,8.557500,8.557500,188336800
2011-05-01,8.561250,8.656250,7.695000,8.147500,8.147500,181564800
2011-06-01,8.130000,9.893750,7.761250,9.663750,9.663750,255106400
2011-07-01,9.708750,10.368750,8.900000,9.176250,9.176250,216299200
2011-08-01,9.328750,9.457500,6.577500,8.857500,8.857500,322333600
2011-09-01,8.825000,10.100000,8.055000,8.301250,8.301250,221375200
2011-10-01,8.188750,10.925000,7.812500,10.551250,10.551250,240677600
2011-11-01,10.150000,10.750000,9.193750,10.166250,10.166250,163633600
2011-12-01,9.998750,10.607500,8.711250,8.973750,8.973750,155102400
2012-01-01,9.233750,10.055000,8.782500,9.952500,9.952500,258406400
2012-02-01,9.996250,11.235000,9.640000,11.155000,11.155000,176443200
2012-03-01,11.187500,12.418750,11.000000,11.750000,11.750000,158100000
2012-04-01,11.760000,12.857500,11.456250,12.241250,12.241250,161879200
2012-05-01,12.198750,12.737500,11.075000,12.591250,12.591250,162612800
2012-06-01,12.245000,13.482500,11.125000,11.810000,11.810000,200246400
2012-07-01,11.672500,13.997500,11.017500,13.610000,13.610000,209204400
2012-08-01,13.735000,14.677500,13.255000,14.552500,14.552500,120847600
2012-09-01,14.502500,15.240000,13.320000,13.957500,13.957500,101516000
2012-10-01,14.010000,15.050000,12.507500,13.065000,13.065000,141593600
2012-11-01,13.020000,13.800000,12.225000,12.957500,12.957500,129884000
2012-12-01,13.077500,13.347500,11.527500,12.132500,12.132500,129426000
2013-01-01,12.425000,12.985000,11.080000,12.717500,12.717500,207122000
2013-02-01,12.810000,12.872500,11.577500,12.320000,12.320000,106631200
2013-03-01,12.275000,12.937500,11.902500,12.800000,12.800000,112868000
2013-04-01,12.775000,14.630000,12.572500,14.270000,14.270000,148683200
2013-05-01,14.215000,16.387501,14.045000,15.500000,15.500000,111119600
2013-06-01,15.462500,15.747500,13.907500,14.927500,14.927500,109241600
2013-07-01,14.950000,17.387501,14.862500,16.782499,16.782499,107372400
2013-08-01,16.985001,18.645000,16.910000,18.160000,18.160000,101246000
2013-09-01,18.385000,20.410000,18.334999,19.862499,19.862499,117038000
2013-10-01,20.097500,21.504999,18.860001,20.287500,20.287500,134191200
2013-11-01,20.377501,20.955000,19.007500,20.174999,20.174999,74252800
2013-12-01,20.282499,21.980000,19.879999,21.825001,21.825001,71959600
2014-01-01,21.825001,27.180000,20.487499,27.027500,27.027500,127924800
2014-02-01,26.642500,29.992500,25.750000,28.287500,28.287500,129935600
2014-03-01,27.837500,31.197500,27.502501,28.660000,28.660000,107750400
2014-04-01,28.750000,29.945000,22.725000,24.445000,24.445000,264473800
2014-05-01,24.469999,25.485001,22.525000,25.395000,25.395000,118672400
2014-06-01,25.500000,30.084999,25.330000,29.745001,29.745001,115336400
2014-07-01,29.860001,35.470001,28.395000,33.375000,33.375000,125908200
2014-08-01,33.459999,35.895000,33.224998,34.180000,34.180000,75084200
2014-09-01,34.279999,36.709999,32.570000,34.549999,34.549999,110034600
2014-10-01,34.450001,34.505001,30.000000,32.790001,32.790001,145124000
2014-11-01,32.855000,36.490002,31.825001,36.244999,36.244999,79282600
2014-12-01,36.275002,36.375000,33.185001,33.950001,33.950001,78848200
2015-01-01,34.209999,36.834999,31.885000,36.040001,36.040001,95423400
2015-02-01,36.099998,38.639999,35.505001,38.505001,38.505001,99312000
2015-03-01,38.494999,41.334999,37.200001,40.375000,40.375000,78064600
2015-04-01,40.314999,44.075001,38.529999,38.775002,38.775002,137075000
2015-05-01,38.904999,39.845001,38.075001,39.205002,39.205002,70144000
2015-06-01,39.290001,43.150002,38.775002,41.720001,41.720001,72424400
2015-07-01,42.130001,50.009998,41.654999,49.665001,49.665001,117772600
2015-08-01,49.830002,50.910000,40.060001,47.764999,47.764999,124133000
