Date,Open,High,Low,Close,Adj Close,Volume
2006-03-01,35.259998,43.000000,35.060001,39.930000,37.340271,32340400
2006-04-01,39.500000,40.049999,33.610001,36.009998,33.674507,29720600
2006-05-01,35.860001,39.700001,28.309999,29.430000,27.521267,35663500
2006-06-01,29.350000,33.049999,26.020000,31.020000,29.008146,37719700
2006-07-01,30.799999,32.169998,25.799999,26.139999,24.444645,45773200
2006-08-01,25.610001,25.799999,21.900000,25.000000,23.378582,48357400
2006-09-01,25.070000,29.440001,24.450001,26.570000,24.846758,48653500
2006-10-01,26.969999,37.750000,26.770000,35.939999,33.609047,72363400
2006-11-01,35.860001,44.500000,34.180000,40.580002,37.948116,76013700
2006-12-01,40.849998,46.540001,39.950001,44.000000,41.146305,47069000
2007-01-01,44.799999,51.570000,40.900002,43.200001,40.398190,88433000
2007-02-01,43.000000,46.500000,38.340000,39.990002,37.396381,52346600
2007-03-01,39.439999,41.560001,36.639999,38.169998,35.694416,63885200
2007-04-01,38.299999,44.320000,33.200001,33.400002,31.233788,74622800
2007-05-01,32.900002,40.529999,31.620001,39.259998,36.713722,74316800
2007-06-01,39.540001,40.849998,33.889999,40.590000,37.957466,72461500
2007-07-01,40.509998,50.000000,40.330002,44.139999,41.277225,90713000
2007-08-01,44.000000,47.849998,35.900002,47.470001,44.391254,76537100
2007-09-01,47.900002,48.570000,42.400002,46.529999,43.512215,40013800
2007-10-01,46.529999,51.599998,45.509998,47.900002,44.793365,51287000
2007-11-01,47.230000,49.480000,35.869999,40.939999,38.284763,81384900
2007-12-01,40.270000,42.830002,33.480000,35.660000,33.347210,55400400
2008-01-01,35.250000,38.049999,23.530001,37.950001,35.488689,117671500
2008-02-01,38.130001,41.470001,30.139999,30.299999,30.299999,60382500
2008-03-01,30.129999,30.580000,19.709999,21.530001,21.530001,91679400
2008-04-01,22.100000,24.870001,12.780000,14.900000,14.900000,150299100
2008-05-01,15.000000,16.459999,7.360000,8.540000,8.540000,130255200
2008-06-01,8.490000,10.430000,5.220000,5.220000,5.220000,237036000
2008-07-01,5.010000,10.200000,2.800000,8.310000,8.310000,381869200
2008-08-01,8.890000,15.840000,7.680000,11.110000,11.110000,645178500
2008-09-01,13.420000,14.290000,3.000000,8.790000,8.790000,386738500
2008-10-01,8.840000,16.200001,4.550000,14.560000,14.560000,382852700
2008-11-01,15.450000,16.730000,7.000000,11.250000,11.250000,188416800
2008-12-01,10.770000,12.370000,8.420000,11.020000,11.020000,148422900
2009-01-01,11.080000,12.880000,9.110000,9.440000,9.440000,172156200
2009-02-01,9.460000,9.520000,4.560000,4.910000,4.910000,138761000
2009-03-01,4.710000,6.490000,3.450000,4.480000,4.480000,176197100
2009-04-01,4.450000,6.900000,4.320000,4.920000,4.920000,189961900
2009-05-01,5.000000,6.490000,4.350000,4.650000,4.650000,143639000
2009-06-01,4.770000,5.310000,3.080000,3.190000,3.190000,210929400
2009-07-01,3.190000,4.250000,3.070000,4.120000,4.120000,153254500
2009-08-01,4.200000,6.840000,4.050000,6.230000,6.230000,211147400
2009-09-01,6.200000,9.770000,5.430000,9.220000,9.220000,231862300
2009-10-01,8.390000,8.490000,6.230000,6.510000,6.510000,394476600
2009-11-01,6.560000,7.820000,6.260000,7.760000,7.760000,146762500
2009-12-01,7.900000,13.330000,7.840000,12.910000,12.910000,308748400
2010-01-01,12.990000,14.150000,12.130000,12.230000,12.230000,231401600
2010-02-01,12.350000,17.280001,12.140000,17.150000,17.150000,205223500
2010-03-01,17.250000,20.590000,17.230000,19.549999,19.549999,202164200
2010-04-01,19.530001,23.830000,18.500000,21.600000,21.600000,253151400
2010-05-01,22.299999,22.549999,16.389999,20.010000,20.010000,212142800
2010-06-01,19.740000,24.590000,19.340000,20.559999,20.559999,178538800
2010-07-01,20.650000,25.000000,18.420000,23.740000,23.740000,135570000
2010-08-01,24.100000,24.440001,19.090000,21.200001,21.200001,107225800
2010-09-01,21.500000,23.950001,20.480000,23.660000,23.660000,117583500
2010-10-01,25.000000,29.750000,23.760000,29.040001,29.040001,136717500
2010-11-01,28.910000,29.590000,26.660000,27.680000,27.680000,85959000
2010-12-01,28.129999,28.590000,23.100000,23.820000,23.820000,110667800
2011-01-01,24.129999,27.469999,23.629999,25.400000,25.400000,125771000
2011-02-01,25.459999,27.719999,21.650000,24.040001,24.040001,157531200
2011-03-01,23.840000,25.660000,21.950001,22.990000,22.990000,167638300
