Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.162782,2.692444,2.074506,2.648305,1.190939,19907828
1991-02-01,2.618879,3.060264,2.574741,3.045551,1.369580,23030110
1991-03-01,3.016125,3.177966,2.780720,3.148540,1.415895,19568836
1991-04-01,3.089689,3.501648,2.942561,3.280956,1.489908,26679989
1991-05-01,3.251530,3.678202,3.133828,3.648776,1.656936,15273258
1991-06-01,3.634063,3.751766,3.383945,3.383945,1.536675,22375913
1991-07-01,3.398658,3.634063,3.369233,3.398658,1.555904,28193127
1991-08-01,3.369233,4.060734,3.295669,3.810617,1.744499,24773487
1991-09-01,3.840042,4.252001,3.619350,4.252001,1.946565,15934248
1991-10-01,4.266714,4.560970,3.943032,4.369703,2.016077,19434600
1991-11-01,4.369703,4.649247,3.987170,4.134298,1.907467,20089643
1991-12-01,4.104873,4.884652,4.104873,4.663960,2.151840,20107483
1992-01-01,4.634534,5.031780,4.560970,4.663960,2.168158,24649441
1992-02-01,4.678672,5.237759,4.531544,4.972928,2.311790,24060673
1992-03-01,4.943503,5.517302,4.840513,5.237759,2.434903,21507622
1992-04-01,5.178908,5.635005,5.002354,5.355461,2.505350,24902625
1992-05-01,5.370174,5.532015,5.237759,5.443738,2.546648,25681710
1992-06-01,5.399600,5.458451,4.766949,5.178908,2.422758,20163555
1992-07-01,5.134769,5.532015,5.061205,5.517302,2.596302,33713827
1992-08-01,5.502589,5.796846,5.311323,5.576153,2.623995,35656864
1992-09-01,5.532015,5.914548,5.502589,5.605579,2.637843,19707321
1992-10-01,5.620292,6.046963,5.311323,5.914548,2.799189,18407434
1992-11-01,5.958686,6.767891,5.914548,6.738465,3.189126,19863647
1992-12-01,6.723752,6.753178,6.091102,6.267655,2.966304,30343461
1993-01-01,6.238230,6.517773,6.091102,6.355932,3.023965,39856436
1993-02-01,6.370645,6.650188,5.267185,5.899835,2.806967,44726340
1993-03-01,5.914548,6.444209,5.826271,6.149953,2.925966,50091567
