Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,5.102825,5.102825,4.910265,4.910265,0.992380,282511
1991-02-01,4.958405,5.120877,4.916283,5.030615,1.016704,2575827
1991-03-01,5.006545,5.536083,5.006545,5.536083,1.140586,166182
1991-04-01,5.632363,6.498880,5.584223,6.167919,1.270761,646035
1991-05-01,6.161901,6.547020,6.101727,6.408618,1.320352,243041
1991-06-01,6.438706,7.281153,6.077657,6.198006,1.296308,328626
1991-07-01,6.258181,6.559055,6.258181,6.559055,1.371821,46946
1991-08-01,6.559055,6.619230,6.288268,6.619230,1.384406,124219
1991-09-01,6.679405,6.739580,6.498880,6.709492,1.424190,146657
1991-10-01,6.679405,6.679405,5.957307,6.258181,1.328393,134606
1991-11-01,6.228094,6.318356,5.897132,6.228094,1.322007,78936
1991-12-01,6.228094,6.498880,6.017482,6.498880,1.402472,157456
1992-01-01,6.438706,7.251066,6.288268,7.251066,1.564795,199003
1992-02-01,7.251066,8.304125,7.130716,7.401503,1.597260,114666
1992-03-01,7.401503,7.702377,7.160803,7.612114,1.664909,235565
1992-04-01,7.582027,7.732464,7.281153,7.612114,1.664909,56917
1992-05-01,7.612114,8.153688,7.521852,7.762552,1.697812,76027
1992-06-01,7.702377,7.702377,7.401503,7.401503,1.639243,206480
1992-07-01,7.401503,7.582027,7.341328,7.582027,1.679225,41547
1992-08-01,7.582027,8.153688,7.582027,8.063426,1.785843,162858
1992-09-01,8.063426,8.304125,7.521852,8.123600,1.822275,138762
1992-10-01,8.123600,8.394387,8.063426,8.243950,1.849272,57747
1992-11-01,8.304125,8.935960,8.183775,8.725349,1.957258,91815
1992-12-01,8.695261,9.989020,8.274037,9.989020,2.268837,268799
1993-01-01,9.838583,9.928845,8.966048,9.357184,2.125325,219776
1993-02-01,9.417359,11.493390,9.417359,11.102254,2.521688,876197
1993-03-01,11.102254,12.576537,11.042079,12.546450,2.879310,263813
1993-04-01,12.636712,14.983530,12.636712,14.803005,3.397171,418781
1993-05-01,14.757874,14.757874,11.914614,12.862367,2.951812,9514777
1993-06-01,12.862367,13.088023,12.501318,12.952630,3.274975,1592029
1993-07-01,12.817236,12.952630,12.636712,12.817236,3.240740,635922
1993-08-01,12.862367,13.539334,12.681843,13.403941,3.389086,1107330
1993-09-01,13.584465,15.164054,13.088023,14.803005,3.789468,1541343
1993-10-01,14.803005,14.893267,13.539334,14.080907,3.604616,872735
1993-11-01,14.126039,14.803005,12.456187,13.449072,3.442871,732864
1993-12-01,13.539334,13.539334,11.643827,12.095138,3.130710,1446617
1994-01-01,12.095138,12.817236,12.095138,12.636712,3.270892,814293
1994-02-01,12.501318,12.952630,11.327910,12.952630,3.352663,2552841
1994-03-01,12.997761,13.178285,12.591581,12.636712,3.321999,977430
1994-04-01,12.546450,12.546450,11.598696,11.869483,3.120306,731481
1994-05-01,11.869483,13.178285,11.824352,13.042892,3.428777,984910
1994-06-01,13.042892,13.629596,12.726974,13.178285,3.517465,825374
