Date,Open,High,Low,Close,Adj Close,Volume
1997-06-01,23.409843,25.693731,23.267101,24.123558,6.492884,7643109
1997-07-01,24.266300,25.194130,22.553387,22.981615,6.185529,7715092
1997-08-01,23.052986,23.052986,21.340071,22.910242,6.166320,8096023
1997-09-01,23.052986,25.336872,22.196527,23.552588,6.339208,9340041
1997-10-01,23.838072,24.730215,15.202124,15.416238,4.149298,37247374
1997-11-01,15.701724,15.880153,13.489209,13.846066,3.726684,12216716
1997-12-01,13.846066,14.845267,13.132351,13.953123,3.755500,16768603
1998-01-01,14.060180,14.524095,12.632751,13.988809,3.765104,11546282
1998-02-01,16.272696,16.986410,14.202923,16.379753,4.408629,22952447
1998-03-01,16.308382,17.343267,15.844467,17.093468,4.600726,10801584
1998-04-01,17.129154,17.271896,14.880952,15.487610,4.168507,21650983
1998-05-01,17.700127,20.697727,17.700127,18.413839,4.956106,10954394
1998-06-01,18.271097,18.342468,15.416238,15.773096,4.245346,7406147
1998-07-01,15.773096,17.129154,11.419436,13.346466,3.592215,12878131
1998-08-01,13.417837,13.846066,11.990408,12.133151,3.265650,5610962
1998-09-01,12.061779,14.131552,11.776293,13.560580,3.649845,2641021
1998-10-01,13.417837,13.489209,10.848464,13.060980,3.515378,4870729
1998-11-01,13.060980,14.988010,13.060980,13.703323,3.688265,3757104
1998-12-01,13.560580,14.131552,12.918237,13.917437,3.745893,2906446
1999-01-01,13.846066,15.701724,12.204522,13.060980,3.515378,3039818
1999-02-01,12.918237,12.918237,8.279091,9.206920,2.562201,5745905
1999-03-01,9.206920,9.421035,5.281489,6.851662,1.906754,7972199
1999-04-01,5.852461,5.852461,3.639945,5.138746,1.430066,11775101
1999-05-01,5.138746,6.923033,4.639146,6.137947,1.708134,2462382
1999-06-01,6.280690,6.851662,5.281489,6.137947,1.708134,6269577
1999-07-01,6.137947,6.209318,4.924632,5.067375,1.410204,4541466
1999-08-01,4.924632,5.566975,3.996803,4.353660,1.211583,2107458
1999-09-01,4.353660,6.280690,3.854060,5.424232,1.509514,4576932
1999-10-01,5.424232,5.923832,4.996003,5.566975,1.549237,1835295
1999-11-01,5.709718,6.137947,4.496403,5.638346,1.569099,1457602
1999-12-01,5.566975,5.566975,4.210917,4.781889,1.330755,3355418
2000-01-01,4.853260,4.853260,3.854060,4.139546,1.151998,1319941
2000-02-01,4.139546,4.425031,3.568574,3.854060,1.072550,1664181
2000-03-01,3.854060,4.496403,3.068973,3.782688,1.052688,2308172
2000-04-01,3.782688,4.567774,3.711317,4.496403,1.251308,571304
2000-05-01,4.567774,4.853260,4.139546,4.353660,1.211583,685411
2000-06-01,4.282288,4.567774,3.568574,3.657788,1.017929,1453048
2000-07-01,3.711317,5.210118,3.711317,5.210118,1.449928,1123260
2000-08-01,5.138746,6.137947,4.924632,5.638346,1.569099,680157
2000-09-01,5.566975,6.637547,5.352861,5.709718,1.588962,1355673
2000-10-01,5.638346,5.923832,5.424232,5.709718,1.785796,775346
2000-11-01,5.709718,5.781089,4.924632,5.138746,1.607216,1107235
2000-12-01,5.138746,6.566176,5.067375,6.423433,2.009021,2187850
2001-01-01,6.352061,8.279091,6.352061,8.107799,2.684095,3610951
2001-02-01,8.107799,9.706520,7.879411,9.626584,3.186892,8975224
2001-03-01,9.626584,9.843554,9.478132,9.706520,3.213354,4363876
2001-04-01,9.706520,10.597236,9.649423,10.083362,3.338107,5737760
2001-05-01,10.220395,10.620075,10.003426,10.562978,3.583715,4381740
2001-06-01,10.562978,12.584218,10.517300,12.504282,4.242344,3081852
2001-07-01,12.504282,12.664154,11.579308,12.527121,4.250090,2815637
2001-08-01,12.549960,14.673975,12.390088,13.394998,4.641889,4625012
2001-09-01,13.509193,13.931712,11.956149,12.390088,4.293649,2862138
2001-10-01,12.412927,14.388489,12.275894,14.217198,5.032252,2726580
