Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.037037,3.055556,2.537037,2.962963,2.522836,32718600
1991-02-01,2.962963,3.462963,2.907407,3.333333,2.838190,34686900
1991-03-01,3.296296,3.981481,3.222222,3.981481,3.390059,28326375
1991-04-01,3.925926,4.148148,3.407407,3.537037,3.017701,32696325
1991-05-01,3.500000,3.685185,3.259259,3.555556,3.033500,26722575
1991-06-01,3.592593,3.944444,3.574074,3.592593,3.065099,16400475
1991-07-01,3.592593,3.740741,3.444444,3.685185,3.150096,14740650
1991-08-01,3.685185,4.203704,3.555556,4.166667,3.561668,16263450
1991-09-01,4.129630,5.185185,4.074074,5.074074,4.337318,23215275
1991-10-01,5.037037,5.518519,4.833333,5.407407,4.629483,19390725
1991-11-01,5.407407,5.907407,5.296296,5.407407,4.629483,15409575
1991-12-01,5.407407,6.314815,5.333333,6.166667,5.279514,16546950
1992-01-01,6.092593,6.407407,5.000000,5.018519,4.302337,32158350
1992-02-01,4.962963,5.444444,4.666667,5.018519,4.302337,31855275
1992-03-01,5.055556,5.685185,4.888889,5.611111,4.810361,26919675
1992-04-01,5.555556,5.629630,4.925926,5.222222,4.482966,16411950
1992-05-01,5.222222,5.351852,5.000000,5.185185,4.451170,10854000
1992-06-01,5.203704,5.851852,5.203704,5.851852,5.023464,23919975
1992-07-01,5.870370,6.592593,5.740741,6.444444,5.539581,17356950
1992-08-01,6.518519,7.444444,6.518519,7.111111,6.112641,23329018
1992-09-01,7.111111,8.148148,7.111111,7.555556,6.494680,18472393
1992-10-01,7.481481,8.222222,7.111111,8.037037,6.916243,15515218
1992-11-01,7.888889,9.444444,7.629630,8.888889,7.649304,17811230
1992-12-01,8.814815,9.333333,8.074074,9.333333,8.031766,14910419
1993-01-01,9.148148,10.962963,8.444444,10.629630,9.156525,19198692
1993-02-01,10.740741,11.148148,7.037037,9.037037,7.784637,39389293
1993-03-01,8.962963,9.370370,7.592593,8.592593,7.401789,25762057
1993-04-01,8.481481,8.481481,6.962963,8.037037,6.930924,36899216
1993-05-01,8.074074,9.111111,8.000000,8.592593,7.410025,17491281
1993-06-01,8.703704,8.851852,7.888889,8.074074,6.962865,18109242
1993-07-01,8.037037,8.074074,6.703704,6.925926,5.979112,35560355
1993-08-01,6.814815,7.518519,5.814815,6.703704,5.787269,70722118
1993-09-01,6.777778,9.000000,6.370370,8.703704,7.513856,66312005
1993-10-01,8.703704,9.703704,8.481481,8.740741,7.556531,49712405
1993-11-01,8.814815,9.888889,7.851852,7.962963,6.884128,61950829
1993-12-01,7.888889,8.111111,6.962963,7.518519,6.499897,42822006
1994-01-01,7.444444,7.481481,6.814815,7.037037,6.093802,55842755
1994-02-01,7.000000,7.333333,6.851852,7.000000,6.061731,23597330
1994-03-01,6.925926,7.074074,4.703704,5.185185,4.490171,57778655
1994-04-01,5.000000,5.592593,4.629630,5.592593,4.853394,33631881
1994-05-01,5.444444,6.000000,5.333333,5.666667,4.917675,33006830
1994-06-01,5.703704,6.814815,5.592593,6.296296,5.464084,37429767
1994-07-01,6.370370,7.037037,6.074074,6.555556,5.699681,27710443
1994-08-01,6.592593,8.111111,6.370370,7.629630,6.633527,41808493
1994-09-01,7.629630,7.814815,7.111111,7.555556,6.569126,22892966
1994-10-01,7.629630,8.851852,7.444444,8.296296,7.228057,44277303
1994-11-01,8.259259,8.814815,7.925926,8.518519,7.421670,24656404
1994-12-01,8.518519,8.777778,7.259259,8.000000,6.969914,32797244
1995-01-01,8.074074,8.481481,7.333333,8.296296,7.244231,24570006
1995-02-01,8.407407,9.296296,8.333333,9.259259,8.085082,24537605
1995-03-01,9.185185,10.000000,8.666667,9.407407,8.214441,29567707
1995-04-01,9.333333,9.592593,8.888889,9.111111,7.967569,16315430
1995-05-01,9.111111,9.444444,8.185185,8.481481,7.416962,42394393
1995-06-01,8.407407,9.370370,8.296296,9.111111,7.967569,25494417
1995-07-01,9.111111,9.296296,8.037037,8.888889,7.785953,44834516
1995-08-01,8.925926,10.333333,8.629630,10.166667,8.905182,38831853
1995-09-01,10.166667,10.666667,8.722222,8.944444,7.834609,41802300
1995-10-01,8.944444,9.055556,8.166667,8.500000,7.459869,36347625
1995-11-01,8.388889,10.388889,8.388889,10.388889,9.117616,25510950
1995-12-01,10.333333,10.888889,9.666667,10.444444,9.166375,18863325
1996-01-01,10.333333,10.388889,8.222222,8.444444,7.423816,34714350
1996-02-01,8.444444,9.222222,8.333333,8.666667,7.619182,31116375
1996-03-01,8.722222,9.500000,8.444444,9.333333,8.205276,34321725
1996-04-01,9.388889,9.611111,8.555556,8.666667,7.634167,20420775
1996-05-01,8.666667,8.888889,8.277778,8.444444,7.438419,18875025
1996-06-01,8.500000,9.055556,7.222222,7.722222,6.802238,35074125
1996-07-01,7.666667,7.777778,6.333333,6.666667,5.885426,37403325
