Date,Open,High,Low,Close,Adj Close,Volume
1995-07-01,7.062500,9.500000,7.062500,9.250000,8.515526,4340800
1995-08-01,9.187500,9.187500,7.937500,8.125000,7.479850,371600
1995-09-01,8.000000,8.125000,7.062500,7.187500,6.616793,1035400
1995-10-01,7.187500,7.562500,4.312500,4.375000,4.027613,4400600
1995-11-01,4.375000,5.312500,4.312500,4.625000,4.257763,2947000
1995-12-01,4.625000,5.375000,4.312500,5.312500,4.896038,3660200
1996-01-01,5.312500,5.375000,4.437500,4.625000,4.262433,1824000
1996-02-01,4.625000,6.062500,4.500000,5.750000,5.299242,3050800
1996-03-01,5.750000,5.937500,5.062500,5.375000,4.953636,2184400
1996-04-01,5.437500,7.062500,5.312500,7.062500,6.514455,2112000
1996-05-01,7.000000,7.000000,6.125000,6.250000,5.765004,2089800
1996-06-01,6.187500,6.750000,5.687500,6.562500,6.057961,932400
1996-07-01,6.562500,6.625000,5.000000,5.562500,5.134842,851800
1996-08-01,5.500000,6.187500,5.437500,6.187500,5.711789,289800
1996-09-01,6.000000,6.312500,5.500000,5.625000,5.196961,1043000
1996-10-01,5.687500,5.812500,5.187500,5.437500,5.023727,1801200
1996-11-01,5.562500,5.687500,5.437500,5.562500,5.139216,2155600
1996-12-01,5.500000,6.625000,5.500000,6.312500,5.837391,695400
1997-01-01,6.312500,6.500000,6.062500,6.312500,5.837391,1721600
1997-02-01,6.312500,6.625000,6.125000,6.312500,5.837391,528800
1997-03-01,6.312500,7.125000,6.187500,6.500000,6.015638,894600
1997-04-01,6.500000,7.375000,6.312500,7.187500,6.651910,1181000
1997-05-01,7.250000,9.000000,7.125000,8.250000,7.635232,1785200
1997-06-01,8.250000,10.000000,7.812500,10.000000,9.261004,1485000
1997-07-01,9.937500,10.250000,9.500000,9.750000,9.029481,1834600
1997-08-01,9.750000,9.968750,8.812500,9.625000,8.913716,1092800
1997-09-01,9.687500,11.562500,9.687500,11.562500,10.713605,1266600
1997-10-01,11.687500,14.468750,11.250000,12.406250,11.495406,1283800
1997-11-01,12.437500,13.093750,11.500000,11.500000,10.655691,686400
1997-12-01,11.625000,13.031250,10.687500,12.812500,11.876526,1245400
1998-01-01,12.875000,12.875000,11.093750,12.375000,11.470991,1434000
1998-02-01,12.375000,13.031250,11.937500,12.625000,11.702728,849400
1998-03-01,12.625000,14.906250,12.343750,14.750000,13.678075,1153200
1998-04-01,14.906250,14.906250,13.750000,14.031250,13.011559,1014800
1998-05-01,14.093750,14.156250,13.062500,13.812500,12.808708,905800
1998-06-01,13.750000,13.750000,12.000000,13.125000,12.175694,768400
1998-07-01,12.937500,13.375000,10.937500,10.937500,10.146411,1011800
1998-08-01,11.000000,11.187500,9.500000,10.093750,9.363685,1718400
1998-09-01,10.000000,10.500000,8.562500,9.875000,9.165433,1001200
1998-10-01,9.937500,11.562500,9.625000,10.750000,9.977554,1269200
1998-11-01,10.687500,11.656250,10.375000,11.000000,10.209596,1120400
1998-12-01,11.062500,12.406250,9.937500,12.218750,11.345756,942400
1999-01-01,11.781250,11.812500,8.906250,9.500000,8.821246,1801400
1999-02-01,9.531250,10.125000,8.875000,9.906250,9.198475,717000
1999-03-01,9.906250,10.687500,9.812500,10.437500,9.696912,1097600
1999-04-01,10.437500,11.562500,10.093750,11.156250,10.364657,1079200
1999-05-01,11.031250,11.531250,10.000000,11.437500,10.625950,982000
1999-06-01,11.593750,12.968750,11.093750,12.968750,12.054027,3120800
1999-07-01,12.718750,12.875000,10.718750,11.875000,11.037426,1412400
1999-08-01,11.875000,12.250000,8.906250,10.093750,9.381816,3112600
1999-09-01,10.093750,10.375000,9.000000,9.093750,8.456041,1938000
1999-10-01,9.093750,9.375000,8.125000,9.187500,8.543221,4098200
1999-11-01,9.250000,9.718750,8.343750,9.062500,8.426983,2275600
1999-12-01,8.968750,9.187500,8.093750,8.875000,8.257471,5238800
2000-01-01,8.781250,8.781250,5.531250,5.562500,5.175457,6929800
2000-02-01,5.625000,6.531250,4.500000,4.750000,4.419489,6301000
2000-03-01,4.812500,6.000000,4.218750,5.312500,4.946770,8610200
2000-04-01,5.281250,6.125000,5.062500,5.656250,5.266856,4179800
2000-05-01,5.593750,6.375000,5.468750,5.539063,5.157738,2513200
2000-06-01,5.687500,5.812500,4.625000,5.187500,4.834383,3135600
2000-07-01,5.125000,5.468750,4.781250,5.031250,4.688769,2604200
2000-08-01,5.062500,5.562500,4.937500,5.187500,4.834383,3288200
2000-09-01,5.187500,5.500000,4.625000,5.031250,4.693085,2487400
2000-10-01,4.937500,5.156250,3.906250,5.062500,4.722235,4142600
2000-11-01,5.000000,5.375000,4.406250,4.500000,4.197543,2767400
2000-12-01,4.406250,6.406250,4.406250,5.875000,5.485646,4479600
2001-01-01,5.812500,6.925000,5.375000,6.925000,6.466058,2658400
2001-02-01,6.875000,7.100000,6.450000,7.000000,6.536087,3448000
2001-03-01,7.025000,7.250000,5.625000,6.350000,5.933567,2789800
2001-04-01,6.300000,6.990000,6.000000,6.680000,6.241923,2605000
2001-05-01,6.720000,7.100000,6.400000,6.525000,6.097085,2932200
2001-06-01,6.575000,7.500000,6.500000,7.500000,7.013546,3724000
2001-07-01,7.450000,7.620000,6.800000,7.250000,6.779762,2971600
2001-08-01,7.300000,7.300000,6.500000,6.945000,6.494542,3330600
2001-09-01,6.925000,6.940000,5.450000,5.450000,5.100392,2750400
2001-10-01,5.450000,6.250000,5.400000,6.100000,5.708694,3912600
2001-11-01,6.100000,6.625000,5.975000,6.000000,5.615108,2926800
2001-12-01,6.025000,6.600000,5.900000,6.150000,5.760191,4491800
2002-01-01,6.155000,6.875000,5.925000,6.875000,6.439238,6621800
2002-02-01,6.925000,7.350000,6.295000,7.045000,6.598461,3460600
2002-03-01,7.065000,7.740000,7.025000,7.495000,7.025337,5701400
2002-04-01,7.475000,7.995000,7.150000,7.645000,7.165938,4807800
2002-05-01,7.520000,7.625000,6.750000,6.850000,6.420756,3304200
2002-06-01,6.850000,7.500000,6.250000,7.125000,6.683269,5492800
2002-07-01,7.075000,7.075000,5.900000,6.255000,5.867207,5460800
2002-08-01,6.260000,7.050000,5.965000,6.445000,6.045429,3397000
2002-09-01,6.430000,7.045000,6.200000,7.040000,6.608599,4099200
2002-10-01,7.025000,7.145000,6.425000,7.120000,6.683700,3679200
2002-11-01,6.875000,7.365000,6.825000,7.155000,6.716553,2199600
2002-12-01,7.160000,7.295000,6.550000,7.020000,6.594601,3095400
2003-01-01,7.000000,7.140000,5.765000,6.000000,5.636409,3014400
2003-02-01,6.050000,6.215000,5.215000,5.500000,5.166712,4797000
2003-03-01,5.490000,5.895000,5.080000,5.805000,5.458225,5264200
2003-04-01,5.800000,6.245000,5.575000,6.130000,5.763813,4592000
2003-05-01,6.180000,6.855000,6.095000,6.855000,6.445502,3592200
2003-06-01,6.805000,7.485000,6.560000,6.955000,6.544547,3974000
2003-07-01,7.005000,7.700000,6.650000,7.380000,6.944469,4478800
2003-08-01,7.330000,8.035000,6.875000,7.825000,7.363202,6426400
2003-09-01,7.850000,8.415000,7.530000,7.925000,7.462489,6357200
2003-10-01,8.000000,9.220000,7.460000,7.650000,7.203539,11698800
2003-11-01,7.625000,7.995000,7.220000,7.825000,7.368325,17522000
2003-12-01,7.900000,8.825000,7.855000,8.520000,8.028152,9094400
2004-01-01,8.550000,8.720000,7.925000,8.135000,7.665377,5063600
2004-02-01,8.135000,8.450000,7.620000,7.925000,7.467500,6096000
2004-03-01,7.890000,8.200000,6.860000,7.120000,6.713274,7618000
2004-04-01,7.195000,8.200000,6.805000,8.150000,7.684437,13634000
2004-05-01,8.150000,8.500000,7.780000,8.245000,7.774011,8393800
2004-06-01,8.250000,9.200000,8.150000,9.020000,8.510056,9581400
2004-07-01,9.020000,9.440000,8.625000,9.100000,8.585537,8123200
2004-08-01,9.050000,9.150000,8.345000,8.555000,8.071346,5581400
2004-09-01,8.510000,9.455000,8.275000,9.345000,8.821918,8658600
2004-10-01,9.295000,10.245000,9.160000,10.135000,9.567699,8825200
2004-11-01,10.240000,11.350000,10.005000,10.285000,9.709303,10684400
2004-12-01,10.175000,10.800000,9.475000,10.660000,10.068055,10675200
2005-01-01,10.625000,10.765000,9.000000,9.320000,8.802469,8142800
2005-02-01,9.300000,9.460000,8.265000,9.205000,8.693851,12000400
2005-03-01,9.175000,10.750000,9.095000,10.245000,9.681545,16612200
2005-04-01,10.295000,10.845000,9.500000,10.000000,9.450015,12558400
2005-05-01,10.050000,10.475000,9.285000,10.350000,9.780768,9245000
2005-06-01,10.350000,11.195000,9.905000,10.740000,10.154477,15003600
2005-07-01,10.650000,12.285000,10.380000,12.215000,11.549063,12907000
2005-08-01,12.250000,13.185000,11.970000,13.000000,12.291267,13851400
2005-09-01,13.000000,13.825000,12.750000,13.640000,12.901567,9033000
2005-10-01,13.525000,14.100000,12.460000,13.600000,12.863740,14044600
2005-11-01,13.625000,14.490000,12.525000,12.915000,12.215819,20466600
2005-12-01,12.965000,13.935000,12.700000,13.450000,12.726387,12088200
2006-01-01,13.475000,15.975000,13.030000,15.785000,14.935760,17914400
2006-02-01,15.730000,17.055000,14.995000,16.514999,15.626479,17693400
2006-03-01,16.549999,16.844999,14.560000,16.299999,15.428051,18826000
2006-04-01,16.400000,20.040001,16.250000,18.264999,17.287930,19336400
2006-05-01,18.375000,20.030001,16.340000,17.485001,16.549664,20274400
2006-06-01,17.610001,18.700001,15.265000,18.700001,17.704119,23407800
2006-07-01,18.665001,18.750000,12.375000,13.280000,12.572764,36623400
2006-08-01,13.270000,14.155000,12.560000,14.105000,13.353830,21759400
2006-09-01,14.125000,14.305000,12.885000,13.565000,12.847670,19462200
2006-10-01,13.590000,16.600000,13.360000,15.695000,14.865033,21145200
2006-11-01,15.690000,16.490000,14.785000,16.424999,15.556427,15766200
2006-12-01,16.350000,16.940001,15.095000,15.190000,14.391390,14127000
2007-01-01,15.240000,16.355000,14.200000,16.010000,15.168280,15719400
2007-02-01,16.025000,17.500000,15.460000,16.070000,15.225127,12511400
2007-03-01,15.875000,17.500000,15.300000,17.245001,16.343561,18842600
2007-04-01,17.299999,19.690001,16.730000,18.575001,17.604040,17700000
2007-05-01,18.680000,20.010000,18.290001,19.580000,18.556507,19609600
2007-06-01,19.875000,19.930000,17.754999,18.264999,17.314798,16538200
2007-07-01,18.230000,20.995001,18.230000,20.420000,19.357687,23639600
2007-08-01,20.420000,20.700001,17.565001,18.735001,17.760344,31144000
2007-09-01,18.690001,19.754999,17.389999,18.730000,17.760311,16666200
2007-10-01,18.750000,19.820000,17.235001,18.764999,17.793514,22432800
2007-11-01,18.055000,18.500000,16.230000,16.969999,16.091448,35097200
2007-12-01,16.809999,18.129999,16.360001,17.219999,16.333117,15599600
2008-01-01,17.174999,17.385000,14.360000,17.195000,16.309404,24079800
2008-02-01,17.190001,18.575001,16.240000,17.305000,16.413742,17485600
2008-03-01,17.530001,18.955000,16.035000,18.830000,17.865498,20563200
2008-04-01,19.495001,22.105000,18.400000,21.440001,20.341812,26308800
2008-05-01,21.450001,23.834999,21.170000,23.285000,22.092304,21251200
2008-06-01,23.375000,25.750000,21.820000,24.309999,23.069839,29562400
2008-07-01,24.305000,29.120001,21.645000,27.750000,26.334335,48169200
2008-08-01,27.684999,30.020000,26.525000,29.535000,28.028284,31436400
2008-09-01,29.680000,30.375000,23.565001,25.615000,24.312529,40281200
2008-10-01,25.424999,27.905001,17.184999,19.879999,18.869152,55218800
2008-11-01,19.780001,21.325001,14.430000,19.295000,18.313894,44052400
2008-12-01,18.709999,22.514999,16.350000,19.875000,18.869530,35508800
2009-01-01,19.969999,20.370001,13.805000,14.965000,14.207926,42907600
2009-02-01,14.655000,16.969999,12.465000,13.380000,12.703114,33390400
2009-03-01,13.020000,14.570000,11.570000,13.190000,12.526727,33341400
2009-04-01,12.900000,19.969999,12.785000,19.070000,18.111052,34444400
2009-05-01,18.924999,19.754999,16.540001,17.840000,16.942905,21855600
2009-06-01,18.230000,18.900000,15.935000,16.084999,15.280431,40322200
2009-07-01,16.270000,18.200001,14.920000,16.825001,15.983416,29064000
2009-08-01,17.030001,19.150000,16.799999,18.725000,17.788383,17940800
2009-09-01,18.549999,20.090000,18.020000,18.764999,17.831224,19997200
2009-10-01,18.910000,21.084999,18.000000,18.379999,17.465374,22486200
2009-11-01,18.504999,21.455000,18.125000,19.250000,18.292084,16356800
2009-12-01,19.344999,20.879999,19.285000,20.420000,19.408638,10174600
2010-01-01,20.674999,21.660000,18.809999,19.165001,18.215794,14928600
