Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.226563,3.593750,3.085938,3.523438,2.118799,50769600
1991-02-01,3.523438,4.109375,3.500000,3.906250,2.349001,59632800
1991-03-01,3.875000,4.468750,3.859375,4.203125,2.537013,36123200
1991-04-01,4.234375,4.484375,3.953125,4.093750,2.470994,51260800
1991-05-01,4.093750,4.140625,3.750000,4.062500,2.452131,45428000
1991-06-01,4.062500,4.234375,3.953125,4.156250,2.518214,28588800
1991-07-01,4.218750,4.328125,3.984375,4.265625,2.584483,35022400
1991-08-01,4.250000,4.359375,4.000000,4.296875,2.603415,32360000
1991-09-01,4.328125,4.343750,3.984375,4.000000,2.431619,23841600
1991-10-01,4.031250,4.281250,3.578125,4.171875,2.536105,56428000
1991-11-01,4.171875,4.250000,3.984375,4.046875,2.460116,30464800
1991-12-01,4.015625,4.828125,4.000000,4.750000,2.898926,31592800
1992-01-01,4.718750,4.921875,4.531250,4.718750,2.879853,33045600
1992-02-01,4.718750,4.968750,4.406250,4.531250,2.765423,28012800
1992-03-01,4.531250,4.593750,4.343750,4.484375,2.746335,29018400
1992-04-01,4.484375,4.609375,3.937500,4.187500,2.564522,41451200
1992-05-01,4.203125,4.250000,3.843750,4.156250,2.545383,41104000
1992-06-01,4.171875,4.375000,3.796875,4.234375,2.603685,32991200
1992-07-01,4.281250,4.750000,4.203125,4.484375,2.757407,37373600
1992-08-01,4.484375,4.890625,4.437500,4.796875,2.949562,32572800
1992-09-01,4.812500,4.890625,4.625000,4.781250,2.950645,20866400
1992-10-01,4.796875,5.093750,4.687500,5.031250,3.104928,31055200
1992-11-01,5.015625,5.515625,5.000000,5.515625,3.403848,24120000
1992-12-01,5.500000,5.562500,5.218750,5.453125,3.377597,27603200
1993-01-01,5.484375,5.578125,4.875000,4.984375,3.087259,39312000
1993-02-01,5.000000,5.093750,4.421875,4.875000,3.019516,40636800
1993-03-01,4.875000,5.078125,4.515625,5.046875,3.138119,40673600
1993-04-01,5.031250,5.046875,4.531250,4.750000,2.953526,40768000
1993-05-01,4.734375,5.375000,4.718750,5.343750,3.322715,35200000
1993-06-01,5.328125,5.453125,4.953125,5.046875,3.150044,30316800
1993-07-01,5.046875,5.125000,4.562500,4.703125,2.935489,33168000
1993-08-01,4.703125,4.968750,4.671875,4.859375,3.033015,29616000
1993-09-01,4.859375,5.078125,4.562500,4.671875,2.927172,35836800
