Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.375000,2.812500,2.000000,2.687500,2.157519,7375400
1991-02-01,2.625000,3.375000,2.000000,2.250000,1.806296,21380000
1991-03-01,2.250000,2.812500,2.125000,2.687500,2.157519,15273000
1991-04-01,2.687500,3.125000,2.312500,2.562500,2.057170,16267800
1991-05-01,2.562500,2.625000,2.125000,2.312500,1.856470,8386800
1991-06-01,2.312500,2.375000,1.750000,2.000000,1.605596,5439000
1991-07-01,2.000000,2.062500,1.562500,1.625000,1.304547,5175000
1991-08-01,1.562500,2.062500,1.562500,1.750000,1.404896,6768800
1991-09-01,1.750000,1.750000,1.250000,1.500000,1.204197,4788800
1991-10-01,1.562500,1.687500,1.250000,1.312500,1.053672,3792600
1991-11-01,1.375000,1.500000,1.062500,1.187500,0.953323,4192200
1991-12-01,1.187500,1.375000,1.000000,1.312500,1.053672,5731600
1992-01-01,1.312500,2.312500,1.250000,2.125000,1.705946,10604400
1992-02-01,2.125000,2.375000,1.875000,2.250000,1.806296,6481600
1992-03-01,2.250000,2.250000,1.750000,1.937500,1.555421,4374800
1992-04-01,1.875000,2.125000,1.750000,2.125000,1.705946,4766600
1992-05-01,2.062500,2.812500,2.000000,2.750000,2.207694,11386600
1992-06-01,2.750000,2.750000,2.125000,2.437500,1.956820,4336000
1992-07-01,2.375000,2.625000,2.250000,2.312500,1.856470,6397400
1992-08-01,2.312500,2.375000,2.062500,2.187500,1.756120,3610200
1992-09-01,2.187500,2.750000,2.125000,2.687500,2.157519,4926600
1992-10-01,2.687500,3.625000,2.312500,3.437500,2.759618,23043600
1992-11-01,3.375000,4.000000,3.375000,3.625000,2.910143,12104400
1992-12-01,3.625000,4.375000,3.437500,4.312500,3.462066,10315200
1993-01-01,4.250000,4.812500,3.500000,4.500000,3.612591,23701800
1993-02-01,4.500000,4.812500,4.000000,4.062500,3.261367,16950200
1993-03-01,4.125000,4.437500,2.562500,2.812500,2.257869,26164600
1993-04-01,2.812500,2.812500,2.250000,2.437500,1.956820,8687200
1993-05-01,2.375000,2.750000,2.375000,2.562500,2.057170,6385200
1993-06-01,2.500000,2.562500,1.812500,2.062500,1.655771,10815800
1993-07-01,2.062500,2.250000,1.812500,2.125000,1.705946,7211400
1993-08-01,2.062500,3.125000,2.062500,2.812500,2.257869,15121800
1993-09-01,2.812500,2.875000,2.312500,2.500000,2.006995,6212800
1993-10-01,2.500000,4.062500,2.437500,3.937500,3.161017,24091200
1993-11-01,3.937500,5.125000,3.687500,4.937500,3.963814,22325000
1993-12-01,5.000000,5.250000,4.312500,4.562500,3.662766,11649000
1994-01-01,4.562500,6.562500,4.312500,6.000000,4.816786,29983200
1994-02-01,6.000000,7.625000,5.687500,7.562500,6.071160,30078800
1994-03-01,7.500000,10.187500,7.375000,8.437500,6.773607,49452000
1994-04-01,7.750000,9.750000,6.250000,7.875000,6.322034,38687600
1994-05-01,7.875000,8.625000,5.750000,7.000000,5.619584,28788800
1994-06-01,7.000000,7.687500,5.812500,6.375000,5.117837,29634200
1994-07-01,6.437500,7.937500,6.375000,7.625000,6.121334,24185200
1994-08-01,7.625000,8.187500,7.250000,7.500000,6.020984,17381600
1994-09-01,7.312500,8.250000,7.187500,7.437500,5.970808,13979600
1994-10-01,7.437500,8.687500,6.875000,8.562500,6.873957,16965200
1994-11-01,8.562500,9.437500,8.375000,9.250000,7.425878,18288800
1994-12-01,9.250000,9.500000,8.062500,8.375000,6.723432,14026200
1995-01-01,8.375000,9.687500,7.500000,7.687500,6.171510,32281200
1995-02-01,7.687500,8.375000,6.625000,7.500000,6.020984,21212400
1995-03-01,7.437500,7.562500,6.562500,6.875000,5.519235,24234600
1995-04-01,6.937500,8.250000,6.687500,8.000000,6.422383,28443200
1995-05-01,8.000000,9.812500,7.875000,8.812500,7.074656,35411200
1995-06-01,8.812500,10.875000,8.500000,8.750000,7.024482,45120800
1995-07-01,8.812500,10.062500,8.312500,9.687500,7.777104,38484200
1995-08-01,9.625000,11.062500,9.062500,10.312500,8.278852,36584200
1995-09-01,10.312500,10.562500,7.562500,7.937500,6.372210,51598200
1995-10-01,7.875000,8.437500,7.250000,7.750000,6.221684,17777600
1995-11-01,7.750000,8.437500,7.187500,7.625000,6.121334,17730200
1995-12-01,7.687500,9.437500,7.687500,8.937500,7.175007,21290600
1996-01-01,8.937500,9.937500,8.062500,9.250000,7.425878,29393200
1996-02-01,9.187500,10.687500,9.125000,10.437500,8.379203,17743200
1996-03-01,10.500000,10.500000,8.562500,9.625000,7.726929,15577400
1996-04-01,9.625000,11.875000,9.437500,11.750000,9.432876,20631200
1996-05-01,11.750000,14.500000,11.750000,13.000000,10.436375,40500800
1996-06-01,12.625000,13.062500,10.750000,13.062500,10.486545,27681600
1996-07-01,12.937500,15.062500,9.937500,14.937500,11.991796,26874400
1996-08-01,14.875000,18.250000,14.625000,17.562500,14.099136,22689000
1996-09-01,17.437500,20.625000,16.687500,20.062500,16.106133,19551200
1996-10-01,20.125000,25.125000,19.187500,24.250000,19.467850,28957400
1996-11-01,24.375000,29.812500,24.250000,26.875000,21.575193,27735200
1996-12-01,27.250000,31.687500,26.375000,28.437500,22.829561,29272800
1997-01-01,28.375000,37.937500,27.375000,36.250000,29.101431,44061800
1997-02-01,36.250000,38.625000,29.125000,29.500000,23.682537,52376200
1997-03-01,29.125000,33.187500,26.250000,28.312500,22.729214,68113400
1997-04-01,28.187500,35.250000,27.500000,30.812500,24.736214,77646200
1997-05-01,30.937500,37.125000,26.312500,27.062500,21.725719,105565000
1997-06-01,27.750000,33.937500,27.000000,31.625000,25.388481,57051400
1997-07-01,31.250000,44.500000,30.625000,38.500000,30.907717,47109100
1997-08-01,38.625000,54.750000,38.187500,48.125000,38.634647,57213600
1997-09-01,48.375000,50.875000,39.750000,40.000000,32.111919,59635000
1997-10-01,40.000000,42.750000,28.000000,30.000000,24.083937,59096900
1997-11-01,30.875000,32.437500,19.625000,20.187500,16.206486,51217100
1997-12-01,20.437500,21.312500,14.500000,16.000000,12.844767,52442800
1998-01-01,16.500000,19.187500,14.875000,18.875000,15.152813,53238800
1998-02-01,19.250000,20.437500,17.687500,18.250000,14.651062,49697600
1998-03-01,18.250000,18.625000,15.687500,17.562500,14.099136,36772200
1998-04-01,17.500000,22.062500,17.187500,19.750000,15.855258,56783000
1998-05-01,19.500000,20.687500,16.500000,17.062500,13.697742,27395200
1998-06-01,16.750000,16.750000,10.250000,11.812500,9.483051,44030800
1998-07-01,12.000000,12.875000,10.500000,11.125000,8.931127,18716200
1998-08-01,11.125000,13.500000,8.000000,8.125000,6.522733,21569800
1998-09-01,8.250000,11.562500,8.125000,10.750000,8.630075,17864500
1998-10-01,10.312500,10.875000,7.125000,10.500000,8.429378,22889000
1998-11-01,10.687500,15.187500,10.250000,13.062500,10.486545,36775500
1998-12-01,13.062500,18.562500,13.000000,15.062500,12.092142,39283000
1999-01-01,15.125000,21.437500,13.062500,13.625000,10.938121,55361000
1999-02-01,13.875000,14.500000,9.500000,9.500000,7.626581,31026600
1999-03-01,9.562500,10.375000,7.750000,7.875000,6.322034,18846100
1999-04-01,8.000000,8.875000,6.625000,8.062500,6.472557,22425300
1999-05-01,8.000000,9.875000,7.500000,8.000000,6.422383,19371400
1999-06-01,7.875000,8.125000,6.250000,6.500000,5.218187,19415900
1999-07-01,6.500000,7.250000,4.750000,4.875000,3.913640,34472600
1999-08-01,4.937500,7.562500,3.500000,6.125000,4.917137,76789100
1999-09-01,6.125000,6.625000,3.500000,3.687500,2.960317,37623100
1999-10-01,3.750000,4.375000,3.000000,3.250000,2.609094,31918300
1999-11-01,3.250000,4.562500,2.750000,3.875000,3.110842,72462300
1999-12-01,3.750000,4.500000,3.437500,4.187500,3.361716,52112000
2000-01-01,4.250000,6.687500,3.875000,4.750000,3.813290,86414500
2000-02-01,4.750000,5.562500,3.937500,4.500000,3.612591,41901200
2000-03-01,4.500000,8.812500,4.312500,7.437500,5.970808,109598500
2000-04-01,7.437500,7.875000,5.500000,6.875000,5.519235,43657700
2000-05-01,6.937500,7.187500,4.312500,4.687500,3.763115,24469100
2000-06-01,4.625000,5.375000,3.937500,5.000000,4.013990,32910100
2000-07-01,5.000000,5.750000,3.562500,4.125000,3.311541,29438800
2000-08-01,4.125000,6.437500,3.562500,5.875000,4.716438,46554700
2000-09-01,5.812500,6.312500,4.875000,5.875000,4.716438,46757300
2000-10-01,5.875000,6.812500,4.750000,6.000000,4.816786,61665300
2000-11-01,5.812500,6.250000,3.062500,3.250000,2.609094,33618200
2000-12-01,3.312500,3.812500,2.187500,2.437500,1.956820,49779700
2001-01-01,2.562500,5.437500,2.312500,5.280000,4.238773,44972600
2001-02-01,5.180000,5.940000,4.000000,4.120000,3.307527,22408900
2001-03-01,4.070000,4.760000,3.250000,4.760000,3.821318,24279000
