Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,2.593750,2.875000,2.343750,2.781250,1.182952,36936000
1991-02-01,2.796875,3.234375,2.703125,3.140625,1.350083,75697600
1991-03-01,3.125000,3.312500,3.000000,3.218750,1.383667,43543200
1991-04-01,3.203125,3.843750,3.109375,3.296875,1.417251,56898400
1991-05-01,3.390625,3.703125,3.375000,3.625000,1.558304,44327200
1991-06-01,3.640625,3.796875,3.343750,3.437500,1.489887,39488800
1991-07-01,3.390625,3.875000,3.359375,3.875000,1.679508,43000800
1991-08-01,3.812500,4.187500,3.625000,3.984375,1.726913,52072800
1991-09-01,3.968750,4.250000,3.781250,4.187500,1.828858,32217600
1991-10-01,4.187500,4.296875,3.890625,4.218750,1.842505,28012000
1991-11-01,4.203125,4.312500,3.625000,3.750000,1.637782,27829600
1991-12-01,3.671875,4.609375,3.593750,4.562500,2.007451,41950400
1992-01-01,4.515625,4.562500,4.156250,4.312500,1.897454,47149600
1992-02-01,4.250000,4.765625,4.234375,4.703125,2.069324,34640800
1992-03-01,4.703125,4.750000,4.281250,4.546875,2.015179,37048000
1992-04-01,4.546875,4.937500,4.343750,4.843750,2.146753,48833600
1992-05-01,4.843750,4.968750,4.593750,4.671875,2.070579,35632800
1992-06-01,4.640625,4.750000,4.531250,4.750000,2.119146,43739200
1992-07-01,4.750000,4.953125,4.671875,4.906250,2.188856,38408800
1992-08-01,4.828125,4.937500,4.437500,4.578125,2.042467,37039200
1992-09-01,4.562500,4.875000,4.500000,4.875000,2.191103,44532800
1992-10-01,4.875000,5.281250,4.656250,5.250000,2.359648,38833600
1992-11-01,5.234375,5.375000,5.218750,5.296875,2.380717,41539200
1992-12-01,5.296875,5.531250,5.234375,5.390625,2.439699,36815200
1993-01-01,5.406250,5.656250,5.156250,5.625000,2.545773,37090400
1993-02-01,5.578125,5.890625,5.390625,5.812500,2.630631,47568800
1993-03-01,5.812500,6.500000,5.812500,6.234375,2.839865,67116000
1993-04-01,6.312500,7.093750,6.000000,6.421875,2.925276,65871200
1993-05-01,6.421875,6.562500,5.953125,6.203125,2.825631,39615200
1993-06-01,6.203125,6.843750,5.718750,6.843750,3.137601,64558800
1993-07-01,6.843750,7.000000,6.531250,6.562500,3.008659,48514400
1993-08-01,6.531250,6.781250,6.406250,6.625000,3.037312,44604800
1993-09-01,6.593750,6.906250,6.406250,6.906250,3.186282,40857600
1993-10-01,6.875000,7.250000,6.281250,6.437500,2.970019,55810800
1993-11-01,6.375000,6.531250,5.625000,5.718750,2.638414,63553200
1993-12-01,5.812500,6.375000,5.687500,6.093750,2.829558,57630000
1994-01-01,6.062500,6.656250,5.812500,6.593750,3.061726,61870800
1994-02-01,6.562500,6.843750,5.812500,5.875000,2.747724,52440000
1994-03-01,5.812500,6.281250,5.562500,5.968750,2.791572,57165200
1994-04-01,5.875000,6.750000,5.781250,6.437500,3.010804,59054400
1994-05-01,6.437500,6.781250,6.218750,6.687500,3.127728,53502800
1994-06-01,6.687500,7.062500,6.437500,6.531250,3.076756,39284800
1994-07-01,6.562500,6.812500,6.250000,6.531250,3.076756,32359600
1994-08-01,6.500000,6.875000,6.343750,6.656250,3.135639,37520000
1994-09-01,6.593750,6.718750,6.187500,6.187500,2.935610,46136800
1994-10-01,6.187500,6.250000,5.906250,6.125000,2.905957,57364000
1994-11-01,6.156250,6.218750,5.281250,5.437500,2.601632,47974000
1994-12-01,5.406250,5.937500,5.250000,5.843750,2.796007,51808000
1995-01-01,5.750000,6.125000,5.656250,6.000000,2.870765,37376800
1995-02-01,6.000000,6.437500,5.843750,6.437500,3.106859,33213200
1995-03-01,6.437500,6.562500,6.093750,6.343750,3.061614,45276400
1995-04-01,6.343750,6.718750,6.312500,6.625000,3.197350,31322400
1995-05-01,6.593750,7.093750,6.406250,7.093750,3.423578,60859600
1995-06-01,7.031250,7.343750,6.843750,7.187500,3.496531,54897200
1995-07-01,7.187500,7.406250,6.812500,7.062500,3.435724,46020800
1995-08-01,7.031250,7.687500,6.718750,7.531250,3.663756,64200400
1995-09-01,7.531250,8.187500,7.468750,8.125000,3.986775,51449600
1995-10-01,8.187500,8.562500,7.312500,7.375000,3.618764,69281600
1995-11-01,7.343750,8.250000,7.312500,8.250000,4.048108,62421200
1995-12-01,8.250000,8.687500,8.125000,8.250000,4.081313,52632000
1996-01-01,8.281250,8.593750,7.625000,8.593750,4.251368,62991200
1996-02-01,8.593750,9.250000,8.218750,9.125000,4.546271,53405200
1996-03-01,9.156250,9.281250,8.281250,9.187500,4.577410,63993200
1996-04-01,9.218750,9.375000,8.593750,9.031250,4.499562,54786800
1996-05-01,8.968750,9.250000,8.375000,8.718750,4.343867,54781200
1996-06-01,8.593750,9.000000,8.250000,8.718750,4.378131,66952800
1996-07-01,8.718750,8.875000,8.000000,8.875000,4.456593,59185600
1996-08-01,8.812500,9.687500,8.812500,9.406250,4.723361,48069200
1996-09-01,9.281250,10.250000,9.187500,10.187500,5.153790,39779600
1996-10-01,10.218750,10.984375,10.218750,10.968750,5.549019,50340800
1996-11-01,11.000000,11.718750,10.562500,11.687500,5.912630,62766400
1996-12-01,11.687500,11.687500,10.187500,10.875000,5.535082,46074400
1997-01-01,10.937500,12.031250,10.687500,11.906250,6.059959,63624800
1997-02-01,11.906250,13.218750,11.718750,12.437500,6.330349,57687200
1997-03-01,12.281250,13.312500,11.500000,11.562500,5.921915,58358400
1997-04-01,11.375000,12.500000,11.093750,12.468750,6.386062,63830800
1997-05-01,12.500000,13.531250,12.437500,13.375000,6.850214,51188800
1997-06-01,13.437500,14.812500,13.062500,14.062500,7.243823,51537200
1997-07-01,14.093750,16.078125,14.062500,15.765625,8.121129,73499600
1997-08-01,15.734375,15.875000,14.125000,14.359375,7.396748,48724800
1997-09-01,14.406250,15.937500,14.406250,15.312500,7.926028,56856400
1997-10-01,15.375000,17.031250,14.875000,16.031250,8.298068,60704600
1997-11-01,16.687500,18.843750,15.531250,18.718750,9.689166,48550800
1997-12-01,18.718750,19.750000,17.312500,19.375000,10.079339,66967200
1998-01-01,19.125000,19.468750,17.375000,18.218750,9.477839,57749800
1998-02-01,18.625000,20.937500,18.375000,20.500000,10.664598,47384600
1998-03-01,20.437500,21.937500,20.218750,20.781250,10.857523,60535200
1998-04-01,20.781250,21.875000,18.500000,19.937500,10.416687,65833200
1998-05-01,19.968750,20.343750,18.656250,19.437500,10.155457,45436400
1998-06-01,19.750000,19.937500,17.000000,18.750000,9.837418,108230000
1998-07-01,18.843750,19.875000,17.875000,17.968750,9.427522,62594200
1998-08-01,17.781250,18.000000,14.437500,14.875000,7.804353,83970800
1998-09-01,14.750000,18.656250,13.750000,18.000000,9.495213,120332000
1998-10-01,17.531250,19.125000,15.093750,18.593750,9.808417,114279000
1998-11-01,18.718750,20.437500,17.812500,18.062500,9.577140,159038600
1998-12-01,17.875000,19.968750,16.875000,19.968750,10.587877,166521200
1999-01-01,19.968750,20.218750,17.218750,17.500000,9.278885,179923800
1999-02-01,17.437500,18.937500,16.062500,18.375000,9.742833,188755200
1999-03-01,18.375000,19.906250,17.531250,17.531250,9.346034,167004200
1999-04-01,17.656250,22.437500,17.187500,21.593750,11.511784,183090200
1999-05-01,21.468750,21.968750,19.000000,20.000000,10.662144,116041800
1999-06-01,20.062500,22.000000,19.562500,21.375000,11.447418,131017400
1999-07-01,21.406250,22.656250,19.281250,19.500000,10.443261,122733400
1999-08-01,19.875000,22.156250,18.218750,19.906250,10.660826,136955800
1999-09-01,19.937500,20.781250,18.468750,19.812500,10.665228,125484400
1999-10-01,19.562500,24.968750,19.187500,23.937500,12.885748,180905600
1999-11-01,23.500000,24.187500,22.000000,23.250000,12.515657,158900000
1999-12-01,23.187500,24.312500,19.250000,20.218750,10.930057,169498200
2000-01-01,20.156250,21.875000,17.718750,20.000000,10.811805,214574800
2000-02-01,20.000000,20.343750,16.000000,16.531250,8.936629,196807000
2000-03-01,16.531250,21.312500,15.500000,20.375000,11.074775,254520800
2000-04-01,20.468750,22.750000,18.937500,20.531250,11.159703,201296800
2000-05-01,20.562500,22.812500,19.625000,22.625000,12.297752,152264400
2000-06-01,22.625000,23.875000,18.656250,19.375000,10.587518,178503400
2000-07-01,20.125000,22.031250,19.937500,20.750000,11.338894,114902000
2000-08-01,20.875000,22.906250,20.468750,21.601563,11.804238,139260400
2000-09-01,22.000000,23.562500,21.343750,22.968750,12.618738,140344800
2000-10-01,23.000000,24.156250,19.812500,23.156250,12.721747,164978800
