Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.000000,6.000000,5.375000,5.750000,3.380475,404000
1991-02-01,0.000000,6.250000,5.625000,5.875000,3.453963,194500
1991-03-01,0.000000,9.500000,5.875000,9.125000,5.364667,447100
1991-04-01,0.000000,9.250000,8.000000,8.750000,5.144199,237100
1991-05-01,0.000000,9.875000,8.625000,9.250000,5.438156,114200
1991-06-01,0.000000,15.250000,9.875000,14.125000,8.304214,487500
1991-07-01,0.000000,15.500000,13.500000,14.500000,8.524674,258500
1991-08-01,14.500000,15.250000,14.000000,14.250000,8.377698,159800
1991-09-01,0.000000,18.000000,14.250000,17.000000,9.994447,233400
1991-10-01,17.500000,18.000000,16.000000,16.750000,9.847470,234100
1991-11-01,16.750000,16.750000,15.500000,16.000000,9.406539,223000
1991-12-01,15.750000,18.000000,15.500000,17.500000,10.288399,305300
1992-01-01,16.750000,18.500000,16.250000,17.125000,10.067938,274800
1992-02-01,17.250000,17.500000,15.500000,17.000000,9.994447,363000
1992-03-01,17.000000,17.500000,15.500000,15.500000,9.112583,412200
1992-04-01,15.500000,15.500000,12.000000,12.125000,7.128394,526700
1992-05-01,12.250000,14.500000,11.375000,13.000000,7.642812,330400
1992-06-01,13.000000,13.750000,12.500000,13.250000,7.789789,202400
1992-07-01,13.000000,13.750000,12.250000,13.250000,7.789789,429700
1992-08-01,13.250000,13.750000,12.000000,12.125000,7.128394,192200
1992-09-01,12.000000,12.500000,10.500000,11.250000,6.613972,1002200
1992-10-01,11.250000,13.000000,10.750000,13.000000,7.642812,673100
1992-11-01,13.000000,13.750000,12.750000,13.500000,7.936769,699200
1992-12-01,13.250000,14.500000,13.250000,14.500000,8.524674,648500
1993-01-01,14.250000,14.500000,13.500000,13.500000,7.936769,248400
1993-02-01,13.500000,14.500000,13.500000,14.000000,8.230721,1167900
1993-03-01,14.125000,14.500000,13.250000,13.250000,7.789789,602700
1993-04-01,13.750000,13.750000,12.250000,12.250000,7.201882,448400
