Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.211684,3.601452,3.164912,3.274047,1.115969,13815929
1991-02-01,3.320819,3.991219,3.196094,3.882084,1.323221,25444656
1991-03-01,3.897675,4.069173,3.788540,3.960038,1.365081,16716697
1991-04-01,3.944447,4.256261,3.866494,4.256261,1.467194,24555505
1991-05-01,4.240670,4.443350,4.193898,4.365396,1.504814,27171648
1991-06-01,4.349805,4.380987,3.944447,3.960038,1.378970,13924968
1991-07-01,3.960038,4.427759,3.928856,4.162717,1.449546,22921518
1991-08-01,4.162717,4.303033,3.944447,4.193898,1.460405,23303155
1991-09-01,4.225080,4.505712,4.162717,4.458940,1.569030,15511651
1991-10-01,4.474531,4.583666,4.084763,4.474531,1.574516,15424260
1991-11-01,4.458940,4.708391,4.271852,4.303033,1.514169,17695646
1991-12-01,4.287443,4.895480,4.193898,4.786345,1.700774,17229822
1992-01-01,4.755164,4.801936,4.334215,4.458940,1.584435,24794427
1992-02-01,4.490122,5.098159,4.427759,4.848708,1.722933,26705822
1992-03-01,4.864298,4.926661,4.287443,4.458940,1.584435,36430373
1992-04-01,4.427759,4.708391,3.741768,3.804131,1.366076,38749864
1992-05-01,3.788540,3.960038,3.554680,3.741768,1.343681,46203828
1992-06-01,3.757359,3.804131,3.476726,3.617042,1.315485,32690161
1992-07-01,3.617042,4.147126,3.539089,4.084763,1.485591,45159133
1992-08-01,4.100354,4.209489,3.991219,4.131536,1.502602,32375872
1992-09-01,4.115945,4.536894,4.037991,4.365396,1.606010,28369478
1992-10-01,4.380987,4.926661,4.131536,4.770754,1.755138,35813819
1992-11-01,4.770754,4.879889,4.630438,4.879889,1.795288,21762171
1992-12-01,4.895480,4.973433,4.708391,4.895480,1.818688,18617669
1993-01-01,4.926661,5.238475,4.474531,5.144931,1.911362,35270225
1993-02-01,5.144931,5.503517,4.957843,5.472336,2.032993,33019687
1993-03-01,5.472336,6.033601,5.456745,6.018010,2.235712,38010642
1993-04-01,6.018010,6.283052,5.830922,6.002420,2.248755,25220965
1993-05-01,6.049192,6.173917,5.893285,6.095964,2.283799,25729282
1993-06-01,6.064782,6.875499,5.908875,6.828727,2.578685,41328326
1993-07-01,6.844317,7.171722,6.548094,7.062587,2.666993,41179198
1993-08-01,7.078178,7.561490,6.984634,7.421173,2.802405,35865130
1993-09-01,7.421173,7.951257,7.218494,7.842122,2.980563,27813054
1993-10-01,7.810941,7.935666,7.031406,7.405583,2.814647,31647872
1993-11-01,7.405583,7.764169,6.205099,6.766364,2.571697,37988192
1993-12-01,6.735182,6.891089,6.080373,6.080373,2.328674,37816214
1994-01-01,6.111554,6.579275,5.675015,6.516913,2.495862,48225464
1994-02-01,6.516913,6.828727,6.111554,6.142736,2.352558,35515164
1994-03-01,6.142736,6.485731,5.612652,5.986829,2.312371,45436143
1994-04-01,5.893285,6.454550,5.519108,6.423368,2.480981,23907680
1994-05-01,6.361006,7.639443,6.267461,7.015815,2.709810,45254141
1994-06-01,6.984634,7.545899,6.797545,7.140541,2.778640,28211129
1994-07-01,7.171722,8.294252,6.984634,8.107164,3.154788,43382835
1994-08-01,8.107164,8.325434,7.202903,7.764169,3.021316,80957719
1994-09-01,7.764169,7.795350,7.389992,7.483536,2.931655,44747430
1994-10-01,7.514717,7.608262,7.015815,7.234085,2.833932,46044278
1994-11-01,7.234085,7.389992,6.704001,7.046996,2.760643,36490902
1994-12-01,7.046996,7.046996,5.799740,6.267461,2.474156,48299629
1995-01-01,6.298643,6.891089,6.111554,6.735182,2.658793,35986197
1995-02-01,6.766364,7.358810,6.735182,7.171722,2.831121,27285499
1995-03-01,7.140541,7.701806,7.140541,7.639443,3.044477,28317761
1995-04-01,7.639443,8.263071,7.545899,8.200708,3.268152,25507997
1995-05-01,8.169527,8.574885,7.951257,8.481341,3.379991,30820456
1995-06-01,8.418978,8.917880,8.263071,8.699611,3.495576,24925115
1995-07-01,8.699611,9.229694,8.574885,9.229694,3.708569,21508416
1995-08-01,9.136150,9.323239,8.949062,9.167332,3.683510,17154856
1995-09-01,9.042606,9.853322,9.011425,9.728597,3.938165,25099900
1995-10-01,9.697415,10.133955,9.354420,9.635053,3.900299,25967004
1995-11-01,9.666234,10.695220,9.635053,10.476950,4.241098,21150431
1995-12-01,10.508132,11.100578,10.414588,10.944671,4.459100,17339260
1996-01-01,10.882309,11.755388,10.601676,11.755388,4.789404,24602407
1996-02-01,11.880113,12.534923,11.630662,11.848932,4.827518,25061415
1996-03-01,11.880113,12.784374,11.630662,12.566104,5.155755,25788613
1996-04-01,12.566104,12.877918,12.036020,12.753193,5.232518,22996482
1996-05-01,12.753193,13.314458,12.254290,12.534923,5.142964,18106547
1996-06-01,12.472560,12.472560,11.568299,12.347834,5.099874,23895655
1996-07-01,12.347834,12.659648,11.412392,11.412392,4.713519,24064026
1996-08-01,11.412392,12.971462,11.412392,12.441379,5.138509,19337248
1996-09-01,12.379016,13.033825,12.254290,12.722011,5.289679,23445467
1996-10-01,12.722011,13.906904,12.441379,13.033825,5.419326,27487944
1996-11-01,13.065007,14.592895,11.848932,14.000449,5.821243,37893584
1996-12-01,13.938086,14.343444,13.501546,14.031630,5.834205,24133775
1997-01-01,14.125174,15.715426,13.517137,14.967072,6.266599,27543400
1997-02-01,15.013844,16.650867,14.265491,16.417007,6.873678,29149589
1997-03-01,16.276691,17.726625,16.042830,16.697639,6.991174,30028319
1997-04-01,16.604095,17.726625,15.528337,16.463779,6.932551,39890768
1997-05-01,16.323463,17.352449,15.855742,16.510551,6.952246,27828555
1997-06-01,16.650867,16.650867,14.499351,16.370235,6.934492,54057600
1997-07-01,16.697639,17.329063,15.855742,17.118589,7.251496,40838985
1997-08-01,17.071817,17.703239,16.300077,17.469379,7.400092,25404835
1997-09-01,17.422607,18.895927,17.399221,17.516151,7.462604,38876811
1997-10-01,17.492765,19.878143,17.118589,19.059631,8.120193,44095465
1997-11-01,19.270105,20.953901,18.919313,19.995073,8.518732,32446693
1997-12-01,20.088617,21.468393,19.457193,21.328077,9.086643,30288758
1998-01-01,21.328077,22.216747,19.644281,21.328077,9.138247,31041610
1998-02-01,21.421621,26.098831,21.140989,24.555353,10.521012,33474016
1998-03-01,24.461807,25.537567,22.824785,23.947315,10.260489,41276077
1998-04-01,23.947315,26.753641,22.684469,23.806999,10.246161,46571835
1998-05-01,23.853771,24.789213,22.918329,24.274719,10.447465,27161358
1998-06-01,23.947315,25.724655,21.561937,25.256933,10.870196,34714472
1998-07-01,25.163389,27.642311,23.806999,24.040859,10.396025,32707665
1998-08-01,24.368263,24.508579,17.025043,17.212133,7.443069,32201757
1998-09-01,17.212133,23.198961,14.967072,21.515165,9.352208,38112330
1998-10-01,21.140989,22.029659,18.615295,20.486179,8.904928,44226421
1998-11-01,20.392635,23.011873,18.895927,21.561937,9.372541,34703782
1998-12-01,21.468393,23.853771,19.457193,23.339277,10.145117,32838889
1999-01-01,23.198961,25.069845,21.515165,24.695669,10.792273,44555408
1999-02-01,24.648897,27.782627,24.040859,27.689083,12.100420,45845038
1999-03-01,27.689083,30.682499,24.976301,29.559967,12.918022,51768173
1999-04-01,29.700283,36.949959,29.045473,35.359707,15.521291,52063757
1999-05-01,35.172619,39.475651,33.535595,38.774071,17.020044,51452682
1999-06-01,38.914387,40.224007,31.243763,31.851801,13.981486,52855096
1999-07-01,31.898573,34.704899,28.905157,31.477623,13.856359,42582275
1999-08-01,31.477623,33.909775,28.858385,30.869587,13.588718,35152503
1999-09-01,31.150219,32.179207,25.584339,28.156803,12.436762,40088134
1999-10-01,28.016487,29.840599,24.695669,28.063259,12.395447,51243958
1999-11-01,28.110031,28.484209,24.134403,25.256933,11.155898,42253288
1999-12-01,25.069845,26.005287,20.953901,22.871557,10.102292,59962563
2000-01-01,23.198961,30.682499,22.076431,28.484209,12.641102,61839216
2000-02-01,29.045473,33.816227,27.969715,31.290535,13.886527,56348766
2000-03-01,31.617941,37.230591,30.682499,32.880787,14.592267,66741980
2000-04-01,32.927559,33.114647,25.631111,28.063259,12.492770,38909548
2000-05-01,28.297121,31.290535,25.818199,31.103447,13.846151,49538749
2000-06-01,31.430851,33.769455,27.174589,31.196991,13.887802,58381894
2000-07-01,31.196991,33.582367,29.747055,31.384079,14.019988,33051890
2000-08-01,31.430851,36.014519,31.430851,34.482731,15.404229,44523873
2000-09-01,35.172619,35.920975,29.653511,31.617941,14.171120,35978177
2000-10-01,32.085663,33.629139,28.437437,31.290535,14.024371,42199035
2000-11-01,31.290535,33.254963,22.731241,26.473009,11.865165,42055790
2000-12-01,26.379463,30.635727,22.637695,29.887371,13.395477,47778213
2001-01-01,29.793827,30.168005,24.415035,29.283075,13.177608,79651516
2001-02-01,29.283075,34.214725,28.519756,31.206345,14.043095,60085899
2001-03-01,31.767611,34.753540,27.314905,32.066952,14.430378,63737782
2001-04-01,32.740471,35.632393,29.185789,34.376984,15.522229,60255878
2001-05-01,34.809040,35.493809,30.570000,32.118881,14.502627,72404932
2001-06-01,31.466721,32.159641,26.004881,26.860840,12.128468,75832681
2001-07-01,27.472240,27.806473,24.455999,27.309200,12.379531,52077894
2001-08-01,27.309200,28.051031,25.189680,26.534760,12.028466,47152479
2001-09-01,26.306503,27.219528,20.168049,22.254959,10.146144,37397079
2001-10-01,22.254959,25.157072,20.991400,23.534824,10.729644,63353039
2001-11-01,23.355480,24.782080,19.646320,21.782145,9.930587,69858561
2001-12-01,21.399000,23.110920,16.956160,20.803904,9.484607,161385425
2002-01-01,21.260416,21.480520,12.122024,14.412736,6.623530,162840900
2002-02-01,14.412736,16.100201,11.453560,12.594840,5.788098,140822130
2002-03-01,12.431800,19.972401,12.391040,19.206112,8.826379,92988838
2002-04-01,19.238720,19.899033,15.105656,15.570320,7.218114,71278581
2002-05-01,15.937160,16.238785,11.160088,11.575840,5.420553,138601081
2002-06-01,10.801400,10.801400,4.320560,4.883048,2.286557,249207435
2002-07-01,5.054240,5.486296,0.635856,2.404840,1.146557,450696271
2002-08-01,3.252648,3.505360,1.834200,2.624944,1.251496,215928976
2002-09-01,2.470056,2.853200,1.369536,1.842352,0.881505,103835744
2002-10-01,1.858656,1.940176,1.059760,1.532576,0.733287,106300788
2002-11-01,1.548880,2.527120,1.467360,2.192888,1.049225,159534591
2002-12-01,2.282560,2.404840,1.752680,2.201040,1.053126,100770488
2003-01-01,2.258104,3.391232,2.135824,2.641248,1.269269,171882114
2003-02-01,2.624944,3.228192,2.046152,3.105912,1.492566,127830962
2003-03-01,3.138520,3.945568,2.926568,3.733616,1.794214,120239080
2003-04-01,3.774376,5.983568,3.774376,5.665640,2.730038,178088935
2003-05-01,5.681944,6.774312,5.217280,6.448232,3.107136,190147202
2003-06-01,6.806920,7.369408,6.032480,6.440080,3.103209,113465038
2003-07-01,6.301496,6.464536,5.135760,5.176520,2.497322,95671245
2003-08-01,5.176520,7.459080,4.931960,7.442776,3.590635,108535451
2003-09-01,7.442776,7.801464,6.921048,7.679184,3.709168,94473381
2003-10-01,7.744400,8.747096,7.679184,8.315040,4.016295,96376106
2003-11-01,8.355800,8.518840,7.165608,7.646576,3.693417,68005521
2003-12-01,7.703640,8.217216,7.679184,8.005264,3.866668,57360034
2004-01-01,8.005264,9.350344,7.948200,8.266128,3.996795,104817959
2004-02-01,8.233520,8.559600,6.921048,7.719944,3.732708,118642664
2004-03-01,7.719944,8.217216,7.222672,7.801464,3.772122,86670143
2004-04-01,7.825920,8.641120,7.793312,8.396560,4.064055,85917076
2004-05-01,8.347648,9.774248,8.257976,9.709032,4.699310,106413274
2004-06-01,9.700880,10.075872,9.374800,9.700880,4.695363,78955348
