Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,1.463192,1.550983,1.346136,1.453437,0.931896,11866182
1991-02-01,1.472946,1.765585,1.472946,1.736321,1.113272,12914405
1991-03-01,1.726566,1.814358,1.629020,1.716811,1.100763,25213716
1991-04-01,1.726566,1.794848,1.697302,1.755830,1.128913,29734660
1991-05-01,1.755830,1.887517,1.716811,1.828989,1.175950,12499215
1991-06-01,1.828989,1.843621,1.682670,1.726566,1.110098,6385014
1991-07-01,1.726566,1.872885,1.580247,1.631459,1.051875,12939180
1991-08-01,1.638775,1.668038,1.507087,1.550983,0.999989,17419114
1991-09-01,1.536351,1.558299,1.375400,1.404664,0.905650,20282717
1991-10-01,1.426612,1.675354,1.375400,1.624143,1.050470,23993782
1991-11-01,1.638775,1.668038,1.477824,1.624143,1.050470,13966044
1991-12-01,1.653406,1.785094,1.594879,1.785094,1.154570,26197867
1992-01-01,1.770462,1.946045,1.770462,1.946045,1.262310,33951466
1992-02-01,1.902149,2.121628,1.902149,1.989941,1.290783,11849098
1992-03-01,1.989941,2.048468,1.916781,1.938729,1.257564,13450050
1992-04-01,1.938729,1.997257,1.814358,1.872885,1.218102,15655843
1992-05-01,1.828989,1.916781,1.828989,1.916781,1.246652,26654063
1992-06-01,1.872885,1.960677,1.872885,1.953361,1.270443,24499528
1992-07-01,1.931413,2.121628,1.931413,2.055784,1.340699,15274830
1992-08-01,2.048468,2.106996,1.989941,2.048468,1.335929,7716009
1992-09-01,2.041152,2.575217,2.019204,2.575217,1.679454,24660133
1992-10-01,2.589849,2.794696,2.399634,2.736168,1.788697,39687217
1992-11-01,2.721536,2.765432,2.560585,2.575217,1.683480,19732549
1992-12-01,2.545953,2.721536,2.487426,2.516690,1.645220,38313507
1993-01-01,2.502058,2.589849,2.502058,2.575217,1.686950,18191397
1993-02-01,2.589849,2.955647,2.545953,2.743484,1.797177,38716733
1993-03-01,2.750800,2.823960,2.670325,2.750800,1.801970,24825868
1993-04-01,2.750800,2.765432,2.326475,2.516690,1.652164,24800236
1993-05-01,2.516690,2.531321,2.399634,2.414266,1.584924,28554018
1993-06-01,2.399634,2.428898,2.150892,2.275263,1.493671,20533882
1993-07-01,2.282579,2.575217,2.253315,2.487426,1.637164,26611347
1993-08-01,2.487426,2.714220,2.377686,2.663009,1.752728,13733677
1993-09-01,2.663009,2.809328,2.487426,2.487426,1.637164,7379417
1993-10-01,2.502058,2.502058,2.165524,2.253315,1.486292,25926202
1993-11-01,2.224051,2.253315,1.872885,2.106996,1.389780,51208260
1993-12-01,2.121628,2.150892,1.916781,2.048468,1.351174,36755269
1994-01-01,2.019204,2.136260,1.902149,2.092364,1.383893,62543077
1994-02-01,2.099680,2.150892,2.070416,2.092364,1.383893,55167075
1994-03-01,2.106996,2.224051,2.048468,2.048468,1.354861,29533042
1994-04-01,2.048468,2.194787,2.033836,2.136260,1.417097,17261921
1994-05-01,2.121628,2.399634,2.121628,2.267947,1.504453,23050639
1994-06-01,2.238683,2.458162,2.224051,2.267947,1.504453,16373456
1994-07-01,2.260631,2.282579,2.136260,2.209419,1.469670,11814927
1994-08-01,2.231367,2.253315,2.136260,2.143576,1.425871,8139742
1994-09-01,2.136260,2.180155,2.063100,2.106996,1.401540,39220768
1994-10-01,2.063100,2.121628,2.048468,2.121628,1.415598,13403919
1994-11-01,2.088706,2.121628,1.902149,1.938729,1.293563,14709284
1994-12-01,1.931413,2.238683,1.931413,2.194787,1.464411,8496836
1995-01-01,2.150892,2.319159,2.150892,2.180155,1.459450,19963210
1995-02-01,2.202103,2.202103,2.019204,2.092364,1.400680,9504907
1995-03-01,2.070416,2.194787,2.019204,2.143576,1.434962,17868474
1995-04-01,2.143576,2.282579,2.114312,2.194787,1.474158,5578558
1995-05-01,2.165524,2.282579,2.136260,2.150892,1.444675,12976768
1995-06-01,2.136260,2.165524,2.048468,2.077732,1.395537,14116402
1995-07-01,2.085048,2.297211,2.077732,2.245999,1.513690,18500652
1995-08-01,2.209419,2.575217,2.194787,2.509374,1.691190,19389122
1995-09-01,2.502058,2.750800,2.487426,2.655693,1.789803,48209682
1995-10-01,2.619113,2.743484,2.516690,2.531321,1.710556,72552015
1995-11-01,2.553269,2.677641,2.516690,2.648377,1.789658,20198997
1995-12-01,2.648377,3.248285,2.604481,3.145862,2.125835,30766648
1996-01-01,3.116598,3.145862,2.882487,2.941015,1.992239,26185909
1996-02-01,2.941015,2.941015,2.648377,2.648377,1.794006,21917842
1996-03-01,2.648377,2.853224,2.648377,2.706904,1.833652,16990256
1996-04-01,2.692273,2.736168,2.428898,2.516690,1.709582,70006213
1996-05-01,2.502058,2.641061,2.472794,2.545953,1.729460,46928235
1996-06-01,2.538637,2.597165,2.428898,2.443530,1.659884,15613129
1996-07-01,2.443530,2.487426,2.355738,2.385002,1.624962,10841027
1996-08-01,2.406950,2.750800,2.385002,2.663009,1.814376,20853388
1996-09-01,2.663009,2.692273,2.516690,2.677641,1.824344,12076344
1996-10-01,2.648377,3.072702,2.633745,3.043439,2.079716,57594987
1996-11-01,3.014175,3.101966,2.999543,3.072702,2.099713,20947359
1996-12-01,3.101966,3.131230,2.911751,2.970279,2.029722,31209175
1997-01-01,2.970279,2.999543,2.527663,2.823960,1.934516,32861381
1997-02-01,2.860540,3.043439,2.802012,3.006859,2.059810,24200521
1997-03-01,2.984911,3.219021,2.882487,2.984911,2.044773,44693394
1997-04-01,2.955647,2.984911,2.736168,2.882487,1.980420,37553180
1997-05-01,2.897119,3.189758,2.831276,3.036123,2.085976,34904862
1997-06-01,3.058070,3.467764,3.028807,3.445816,2.367456,30915298
1997-07-01,3.445816,3.570187,3.321445,3.379973,2.328526,32869927
1997-08-01,3.358025,3.482396,3.131230,3.237311,2.230244,25731419
1997-09-01,3.240969,3.780521,3.219021,3.780521,2.604471,30203382
1997-10-01,3.813443,4.071331,3.347051,3.610425,2.494258,43359551
1997-11-01,3.566529,3.796982,3.423868,3.654321,2.524585,21695725
1997-12-01,3.687243,3.972565,3.566529,3.851852,2.661048,13511561
1998-01-01,3.939643,3.950617,3.533608,3.610425,2.500929,19206874
1998-02-01,3.643347,4.071331,3.626886,4.005487,2.774586,18327515
1998-03-01,4.038409,4.296296,3.731139,4.159122,2.881008,19184093
1998-04-01,4.203018,4.345679,3.884774,4.093278,2.842755,31743395
1998-05-01,4.115226,4.378601,4.027435,4.104252,2.850377,20585139
1998-06-01,4.170096,4.301783,3.440329,3.517147,2.442636,60877196
1998-07-01,3.522634,3.665295,2.941015,2.941015,2.047800,40218018
1998-08-01,2.941015,3.182442,2.633745,2.776406,1.933185,22207167
1998-09-01,2.765432,2.897119,2.600823,2.622771,1.826210,29056343
1998-10-01,2.622771,2.765432,2.216735,2.647462,1.850233,41319495
1998-11-01,2.655693,3.138546,2.567901,2.941015,2.055389,31287772
1998-12-01,2.941015,3.204390,2.809328,2.990398,2.089902,25360090
1999-01-01,2.941015,3.182442,2.282579,2.282579,1.600775,20115847
1999-02-01,2.282579,2.556927,2.161866,2.513032,1.762393,48427244
1999-03-01,2.502058,2.534979,2.063100,2.150892,1.508423,49354439
1999-04-01,2.150892,2.556927,2.139918,2.414266,1.701436,13108333
1999-05-01,2.458162,2.458162,2.216735,2.227709,1.569961,18799089
1999-06-01,2.227709,2.293553,2.150892,2.194787,1.546759,24039916
1999-07-01,2.183813,2.452675,2.117970,2.117970,1.500178,28876372
1999-08-01,2.117970,2.227709,1.986283,1.997257,1.414677,22784668
