Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,0.000000,1.125000,0.958333,1.083333,0.907206,1060800
1991-02-01,0.000000,1.250000,1.083333,1.208333,1.011884,1788000
1991-03-01,0.000000,1.270833,1.166667,1.229167,1.029330,1550400
1991-04-01,0.000000,1.583333,1.250000,1.479167,1.238686,6988800
1991-05-01,1.479167,1.583333,1.375000,1.520833,1.273577,3038400
1991-06-01,1.520833,1.541667,1.333333,1.333333,1.116562,1724400
1991-07-01,1.354167,1.708333,1.354167,1.687500,1.413149,3172800
1991-08-01,1.687500,1.916667,1.645833,1.812500,1.517826,4660800
1991-09-01,1.854167,2.041667,1.833333,1.895833,1.587611,5041200
1991-10-01,1.885417,2.416667,1.854167,2.416667,2.023768,3960000
1991-11-01,2.291667,2.354167,2.229167,2.291667,1.919091,8686800
1991-12-01,2.333333,3.104167,2.270833,2.729167,2.285462,10891200
1992-01-01,2.708333,3.354167,2.666667,3.291667,2.756512,7507200
1992-02-01,3.250000,3.375000,2.833333,3.000000,2.512263,5174400
1992-03-01,2.979167,3.333333,2.958333,3.041667,2.547156,4497600
1992-04-01,3.083333,3.145833,2.875000,3.125000,2.616941,4998000
1992-05-01,3.125000,3.500000,3.104167,3.343750,2.800128,6765600
1992-06-01,3.375000,3.583333,3.000000,3.166667,2.651834,6768000
1992-07-01,3.166667,4.020833,3.166667,3.770833,3.157776,9189600
1992-08-01,3.770833,4.625000,3.739583,4.270833,3.576487,7357800
1992-09-01,4.333333,6.208333,4.145833,5.875000,4.919849,14218200
1992-10-01,5.729167,6.208333,5.000000,5.958333,4.989631,9478800
1992-11-01,6.041667,7.791667,5.875000,7.708333,6.455121,11183400
1992-12-01,7.750000,8.166667,6.583333,8.125000,6.804048,10152600
1993-01-01,7.958333,9.166667,7.416667,8.125000,6.804048,9314400
1993-02-01,8.125000,8.166667,6.166667,6.437500,5.390900,14136000
1993-03-01,6.583333,8.166667,6.250000,7.416667,6.210873,10165200
1993-04-01,7.416667,7.416667,5.791667,6.041667,5.059421,14395200
1993-05-01,5.958333,7.333333,5.958333,6.479167,5.425791,15033600
1993-06-01,6.375000,6.541667,5.250000,5.500000,4.605817,17344800
1993-07-01,5.541667,6.750000,5.458333,6.625000,5.547919,10159200
1993-08-01,6.708333,7.000000,5.708333,6.000000,5.024525,14476200
1993-09-01,6.125000,6.333333,5.750000,6.083333,5.094310,9964200
1993-10-01,6.083333,6.625000,6.000000,6.333333,5.303668,8996400
1993-11-01,6.375000,6.791667,6.250000,6.750000,5.652594,11982600
