Date,Open,High,Low,Close,Adj Close,Volume
1991-09-01,4.166667,4.166667,3.833333,3.916667,3.916667,5653800
1991-10-01,3.944444,3.944444,3.500000,3.666667,3.666667,3977100
1991-11-01,3.888889,4.055556,3.666667,3.833333,3.833333,3092850
1991-12-01,3.777778,3.944444,3.222222,3.722222,3.722222,8097300
1992-01-01,3.611111,4.944444,3.611111,4.611111,4.611111,6030450
1992-02-01,4.611111,4.666667,4.166667,4.444444,4.444444,3189600
1992-03-01,4.333333,4.444444,4.055556,4.055556,4.055556,1495350
1992-04-01,4.166667,4.166667,3.500000,3.944444,3.944444,4004100
1992-05-01,4.000000,4.611111,3.888889,4.333333,4.333333,4288050
1992-06-01,4.166667,4.333333,3.500000,4.055556,4.055556,1861200
1992-07-01,4.055556,4.333333,3.666667,3.833333,3.833333,4914450
1992-08-01,3.888889,3.888889,3.222222,3.777778,3.777778,3814200
1992-09-01,3.777778,4.166667,3.777778,3.944444,3.944444,2274750
1992-10-01,3.888889,4.333333,3.388889,4.277778,4.277778,4173750
1992-11-01,4.277778,4.888889,4.166667,4.777778,4.777778,3122550
1992-12-01,4.833333,5.500000,4.666667,5.333333,5.333333,3380850
1993-01-01,5.222222,5.777778,5.111111,5.388889,5.388889,2695050
1993-02-01,5.388889,5.555556,4.500000,5.166667,5.166667,2116350
1993-03-01,5.166667,5.944444,4.777778,5.777778,5.777778,12654900
1993-04-01,5.777778,6.944444,5.722222,6.722222,6.722222,12456450
1993-05-01,6.666667,8.555556,6.666667,8.111111,8.111111,9918450
1993-06-01,8.111111,9.388889,8.000000,9.111111,9.111111,6150150
1993-07-01,9.277778,9.388889,7.500000,7.611111,7.611111,13509900
1993-08-01,7.500000,10.111111,7.333333,8.611111,8.611111,8580150
1993-09-01,8.777778,10.000000,8.555556,9.888889,9.888889,9211500
1993-10-01,10.000000,11.666667,9.888889,11.500000,11.500000,12291300
1993-11-01,11.500000,13.500000,10.611111,12.722222,12.722222,16752150
1993-12-01,12.722222,13.333333,11.500000,12.583333,12.583333,10582200
1994-01-01,12.722222,12.722222,10.388889,10.666667,10.666667,8833500
1994-02-01,10.666667,11.722222,9.500000,10.222222,10.222222,9006300
1994-03-01,10.333333,12.444444,7.611111,8.777778,8.777778,18522900
1994-04-01,8.000000,8.444444,5.222222,6.388889,6.388889,38898450
1994-05-01,6.388889,7.000000,5.833333,6.611111,6.611111,13767300
1994-06-01,6.611111,8.000000,6.611111,7.055556,7.055556,10242900
1994-07-01,7.055556,8.333333,6.888889,7.944444,7.944444,10010700
1994-08-01,7.833333,9.000000,7.777778,8.722222,8.722222,8691300
1994-09-01,8.722222,9.055556,7.388889,8.166667,8.166667,15866550
1994-10-01,7.944444,9.166667,7.500000,8.944444,8.944444,5322150
1994-11-01,9.000000,9.583333,7.833333,8.333333,8.333333,9030150
1994-12-01,8.500000,8.888889,7.611111,8.680556,8.680556,4165200
1995-01-01,8.666667,9.333333,8.222222,8.888889,8.888889,3845250
1995-02-01,9.111111,9.555556,8.055556,8.083333,8.083333,6342300
1995-03-01,8.000000,9.444444,8.000000,9.111111,9.111111,6441750
1995-04-01,9.111111,10.444444,8.500000,10.194444,10.194444,7813800
1995-05-01,10.111111,10.277778,9.666667,10.000000,10.000000,4048650
1995-06-01,10.000000,12.166667,9.944444,11.833333,11.833333,8194050
1995-07-01,11.833333,14.000000,11.833333,13.944444,13.944444,8514900
1995-08-01,13.833333,14.222222,12.722222,12.944444,12.944444,7413750
1995-09-01,12.944444,13.944444,11.500000,11.833333,11.833333,7952850
1995-10-01,11.722222,13.222222,9.777778,13.222222,13.222222,7775550
1995-11-01,13.222222,14.944444,12.388889,14.833333,14.833333,8443350
1995-12-01,14.611111,15.666667,14.000000,15.111111,15.111111,7367175
1996-01-01,15.333333,15.888889,11.333333,13.777778,13.777778,6543450
1996-02-01,13.777778,15.333333,10.555556,13.666667,13.666667,8600625
