Date,Open,High,Low,Close,Adj Close,Volume
1991-01-01,3.812500,4.218750,3.593750,4.125000,2.354303,1409600
1991-02-01,4.125000,4.750000,4.093750,4.437500,2.532661,1419200
1991-03-01,4.375000,4.687500,4.375000,4.531250,2.586166,1097600
1991-04-01,4.531250,5.468750,4.468750,5.125000,2.925042,2722400
1991-05-01,5.250000,5.453125,5.125000,5.312500,3.062366,976800
1991-06-01,5.281250,5.281250,4.937500,5.000000,2.882225,3025600
1991-07-01,5.000000,5.687500,4.906250,5.625000,3.242504,4667200
1991-08-01,5.625000,6.250000,5.625000,6.109375,3.553705,1418400
1991-09-01,6.140625,6.218750,5.593750,5.593750,3.253774,892800
1991-10-01,5.593750,5.937500,5.484375,5.843750,3.399194,3744000
1991-11-01,5.812500,5.906250,5.250000,5.250000,3.078587,1031200
1991-12-01,5.312500,5.375000,4.781250,5.375000,3.151888,4195200
1992-01-01,5.359375,5.781250,4.937500,5.687500,3.363971,2471200
1992-02-01,5.781250,6.125000,5.656250,6.125000,3.622736,3428800
1992-03-01,6.093750,6.281250,5.875000,6.125000,3.622736,3829600
1992-04-01,6.125000,6.843750,5.937500,6.250000,3.724315,3348000
1992-05-01,6.375000,6.562500,6.250000,6.531250,3.891909,1903200
1992-06-01,6.437500,7.250000,6.437500,7.093750,4.227099,901600
1992-07-01,7.093750,7.218750,6.718750,7.031250,4.216721,2156000
1992-08-01,7.031250,7.187500,6.781250,6.843750,4.104277,1812000
1992-09-01,6.843750,7.562500,6.750000,7.500000,4.497837,1628000
1992-10-01,7.562500,7.875000,7.218750,7.718750,4.657441,2541600
1992-11-01,7.812500,9.375000,7.593750,9.093750,5.487106,5124800
1992-12-01,9.250000,9.750000,8.812500,9.500000,5.732237,3365600
1993-01-01,9.718750,11.000000,9.343750,10.937500,6.626374,3318400
1993-02-01,10.750000,11.937500,10.312500,11.562500,7.005023,2593600
1993-03-01,11.250000,12.312500,10.937500,12.000000,7.270080,1584400
1993-04-01,12.000000,12.250000,10.375000,10.562500,6.427302,1748800
1993-05-01,10.625000,10.625000,9.875000,10.562500,6.427302,1526000
1993-06-01,10.562500,10.562500,9.625000,10.000000,6.085022,2031600
1993-07-01,9.750000,10.437500,9.625000,10.218750,6.218132,2261200
1993-08-01,10.000000,10.875000,10.000000,10.750000,6.576811,1411200
1993-09-01,10.625000,11.062500,10.250000,10.562500,6.462098,1490400
1993-10-01,10.500000,11.375000,10.250000,10.937500,6.735898,1346400
1993-11-01,10.937500,10.937500,9.187500,9.250000,5.696649,2992400
1993-12-01,9.187500,9.500000,9.000000,9.250000,5.696649,2543200
1994-01-01,9.125000,9.625000,9.125000,9.375000,5.817356,5904800
